,0,1,2,3,4,5,6,7,8,9,10,11
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(41),,,,,,,,,,,
2,"Arctic Energy Services, LLC(15)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(39)",,,31640,,,18555,,0.5%,
3,"Class E Units (21,080 units)(39)",,20230,,-,,-%,,,,,
4,Class A Units (700 units)(39),,9006,,-,,-%,,,,,
5,Class C Units (10 units)(39),,-,,-,,-%,,,,,
6,,,,,60876,,18555,,0.5%,,,
7,CCPI Inc.(16),Ohio / Metals & Mining,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12088,,12088,,12088,,0.3%,,
8,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(40)",9320,,9320,,9320,,0.3%,,,,
9,"Common Stock (14,857 shares)",,6759,,21469,,0.6%,,,,,
10,,,,,28167,,42877,,1.2%,,,
11,CP Energy Services Inc.(17),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(39)",,98272,,73048,,2.1%,,,
12,"Common Stock (2,924 shares)(39)",,15227,,-,,-%,,,,,
13,,,,,113499,,73048,,2.1%,,,
14,"Credit Central Loan Company, LLC(18)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(40)",51370,,44112,,51370,,1.5%,,
15,"Class A Units (10,640,642 units)(13)(39)",,13731,,8312,,0.2%,,,,,
16,Net Revenues Interest (25% of Net Revenues)(13)(39),,-,,3299,,0.1%,,,,,
17,,,,,57843,,62981,,1.8%,,,
18,Echelon Aviation LLC,New York / Diversified Financial Services,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(40)",31055,,31055,,31055,,0.9%,,
19,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(12)(39)(40)",16044,,16044,,16044,,0.5%,,,,
20,Membership Interest (99%),,22738,,29760,,0.8%,,,,,
21,,,,,69837,,76859,,2.2%,,,
22,"Edmentum Ultimate Holdings, LLC(19)",Minnesota / Internet Software & Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",-,,-,,-,,-%,,
23,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(40)",6619,,6619,,6619,,0.2%,,,,
24,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(40)",30326,,23829,,26561,,0.8%,,,,
25,"Class A Units (370,964 units)(39)",,6577,,3432,,0.1%,,,,,
26,,,,,37025,,36612,,1.1%,,,
27,First Tower Finance Company LLC(20),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(13)(40)",258210,,258210,,258210,,7.5%,,
28,"Class A Units (93,997,533 units)(13)(39)",,78481,,97398,,2.8%,,,,,
29,,,,,336691,,355608,,10.3%,,,
30,"Freedom Marine Solutions, LLC(21)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(39),,41411,,26671,,0.8%,,,
31,,,,,41411,,26671,,0.8%,,,
32,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
