,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets,
1,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)  (40),,,,,,,,,,,,,,
3,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",,"$ 28,600",,"$ 28,600",,"$ 28,600",,1.0%,,
4,,,,,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",,12500,,12500,,12500,,0.4%,,
5,,,,,"Convertible Preferred Stock (9,919.684 shares)",,,,9920,,8920,,0.3%,,
6,,,,,Common Stock (100 shares),,,,-,,1391,,0.1%,,
7,,,,,,,,,51020,,51411,,1.8%,,
8,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",,19636,,19636,,19636,,0.7%,,
9,,,,,"Subordinated Unsecured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 3/30/2018)  (4)",,20008,,20008,,8448,,0.3%,,
10,,,,,"Convertible Preferred Stock - Series A (6,142.6 shares)",,,,6057,,-,,0.0%,,
11,,,,,Unrestricted Common Stock (6 shares),,,,-,,-,,0.0%,,
12,,,,,,,,,45701,,28084,,1.0%,,
13,"APH Property Holdings, LLC  (32)",,Georgia / Real Estate,,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,127374,,127374,,127374,,4.4%,,
14,,,,,"Common Stock (148,951 shares)",,,,26648,,26648,,0.9%,,
15,,,,,,,,,154022,,154022,,5.3%,,
16,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class A (1,800,000 units)",,,,-,,-,,0.0%,,
17,,,,,Members Units - Class B-1 (1 unit),,,,-,,-,,0.0%,,
18,,,,,"Members Units - Class B-2 (7,999,999 units)",,,,-,,-,,0.0%,,
19,,,,,,,,,-,,-,,0.0%,,
20,"Borga, Inc.",,California / Manufacturing,,"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",,1150,,1095,,562,,0.0%,,
21,,,,,"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",,1612,,1501,,-,,0.0%,,
22,,,,,"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",,9839,,707,,-,,0.0%,,
23,,,,,Common Stock (100 shares)  (21),,,,-,,-,,0.0%,,
24,,,,,"Warrants (33,750 warrants)  (21)",,,,-,,-,,0.0%,,
25,,,,,,,,,3303,,562,,0.0%,,
26,CCPI Holdings Inc.  (33),,Ohio / Manufacturing,,"Senior Secured Note (10.00%, due 12/31/2017)  (3)",,17550,,17550,,17550,,0.6%,,
27,,,,,"Senior Secured Note (12.00% plus 7.00% PIK, due 6/30/2018)",,7933,,7933,,7933,,0.3%,,
28,,,,,Common Stock (100 shares),,,,8581,,8012,,0.3%,,
29,,,,,Net Revenue Interest (4% of Net Revenue),,,,-,,428,,0.0%,,
30,,,,,,,,,34064,,33923,,1.2%,,
