0,1,2,3,4,5,6,7,8,9,10,11
"Arctic Energy Services, LLC(18)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(16)",Principal Value,Amortized Cost,31640,% of Net Assets,0,17370,0,0.5%,0
Class C Units (10 units)(16),Wyoming / Energy Equipment & Services,-,Principal Value,60876,31640,17370,0,0.5%,0,0,0
CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2966,60876,2966,17370,2966,0,0.1%,0,0
"Common Stock (14,857 shares)",18216,6759,18216,27941,18216,43052,0.5%,1.3%,0,0,0
CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(16)",18216,98273,18216,72216,0.5%,2.2%,0,0,0
"Common Stock (2,924 shares)(16)",Oklahoma / Energy Equipment & Services,15227,18216,113500,18216,72216,0.5%,2.2%,0,0,0
"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(48)",51855,113500,45255,72216,51855,0,1.5%,0,0
Net Revenues Interest (25% of Net Revenues)(14)(16),South Carolina / Consumer Finance,-,51855,58986,45255,64435,51855,1.9%,0,0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(48)",31055,58986,31055,64435,31055,0,0.9%,0,0
Membership Interest (99%),16044,22738,16044,69837,16044,71318,0.5%,2.1%,0,0,0
"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",7834,69837,7834,71318,7834,0,0.2%,0,0
"Class A Units (370,964 units)(16)",31870,6577,23829,45145,31870,46895,1.0%,1.4%,0,0,0
First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(48)",261114,45145,261114,46895,261114,0,7.8%,0,0
"Class A Units (93,997,533 units)(14)(16)",Mississippi / Consumer Finance,78481,261114,339595,261114,365588,261114,10.9%,0,0,0
"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),261114,42610,261114,23994,261114,0.7%,0,0,0
"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),261114,42610,261114,23994,261114,0.7%,0,0,0
"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",Principal Value,26250,Fair  Value(2),% of Net Assets,26250,0,0,26250.0,0.8%
"Common Stock (42,053 shares)",5659,6849,7200,64741,5659,76512,0.2%,2.3%,0,0,0
National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(48)",291315,64741,291315,76512,291315,0,8.7%,0,0
Net Operating Income Interest (5% of Net Operating Income),87130,-,87130,790296,87130,987304,2.6%,29.4%,0,0,0
Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(48)",16819,790296,16819,987304,16819,0,0.5%,0,0
"Class A Units (32,456,159 units)(14)",Illinois / Consumer Finance,18183,16819,35002,16819,36945,16819,1.1%,0,0,0
"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,35002,3714,36945,3714,0,0.1%,0,0
"Series B Preferred Stock (5,669 shares)(16)",6900,5669,6900,23483,6900,20825,0.2%,0.6%,0,0,0
"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",28622,23483,28622,20825,28622,0,0.9%,0,0
"Common Stock (745,107 shares)",Pennsylvania / Machinery,6866,28622,35488,28622,32678,28622,1.0%,0,0,0
"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (99,900 shares)(16)",28622,-,28622,1940,28622,0.1%,0,0,0
Common Stock (100 shares)(16),Texas / Energy Equipment & Services,-,28622,-,28622,1940,28622,0.1%,0,0,0
USES Corp.(30),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",Principal Value,31068,Fair  Value(2),% of Net Assets,28604,0,0,12517.0,0.4%
"Common Stock (268,962 shares)(16)",41475,-,35568,64172,-,12517,-%,0.4%,0,0,0
"Valley Electric Company, Inc.(31)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(48)",10430,64172,10430,12517,10430,0,0.3%,0,0
"Common Stock (50,000 shares)(16)",25624,26204,25624,62258,22079,32509,0.7%,1.0%,0,0,0
"Wolf Energy, LLC(32)",Kansas / Energy Equipment & Services,Membership Interest (100%)(16),25624,-,22079,-,0.7%,-%,0,0,0
Net Profits Interest (8% of Equity Distributions)(4)(16),Kansas / Energy Equipment & Services,-,25624,6801,22079,5677,0.7%,0.1%,0,0,0
American Gilsonite Company(34),Utah / Chemicals,Membership Interest (1.93%)(16),Principal Value,Amortized Cost,-,% of Net Assets,57.0%,-,0,-%,0
American Gilsonite Company(34),Utah / Chemicals,Membership Interest (1.93%)(16),Principal Value,-,-,-,57.0%,-%,0,0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 7/15/2023)(5)(14)(17)",23525,-,7597,-,7597,0,0.2%,0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 7/15/2023)(5)(14)(17)",23525,7597,7597,7597,7597,0.2%,0,0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.54%, due 10/17/2028)(5)(14)",40500,7597,30494,7597,24777,0,0.7%,0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.54%, due 10/17/2028)(5)(14)",40500,30494,30494,24777,24777,0.7%,0,0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 5.73%, due 4/15/2025)(5)(14)",44063,30494,30745,24777,26047,0,0.8%,0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 5.73%, due 4/15/2025)(5)(14)",44063,30745,30745,26047,26047,0.8%,0,0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.29%, due 10/20/2025)(5)(14)",36515,30745,29491,26047,26083,0,0.8%,0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.29%, due 10/20/2025)(5)(14)",36515,29491,29491,26083,26083,0.8%,0,0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.51%, due 10/20/2027)(5)(6)(14)",31350,29491,26991,26083,25432,0,0.8%,0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.51%, due 10/20/2027)(5)(6)(14)",31350,26991,26991,25432,25432,0.8%,0,0,0
"Ark-La-Tex Wireline Services, LLC(32)",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan B (12.73% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(13)",26080,26991,1630,25432,1630,0,-%,0,0
"Ark-La-Tex Wireline Services, LLC(32)",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan B (12.73% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(13)",26080,1630,1630,1630,1630,-%,0,0,0
Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (10.30% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,1630,6928,1630,7000,0,0.2%,0,0
Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (10.30% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,6928,6928,7000,7000,0.2%,0,0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Health Care Providers & Services,"Revolving Line of Credit – $7,000 Commitment (9.50% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(15)",3850,6928,3850,7000,3850,0,0.1%,0,0
