,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Portfolio Company,Industry,Investments(1)(44),Acquisition Date,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
3,CCPI Inc.(19),"Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",12/13/2012,,2825,,,2825,,,2825.0,,0.1%,,,,
4,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",12/13/2012,17651,,17651,,17651,,0.5%,,,,,,,,,
5,"Common Stock (14,857 shares)(16)",12/13/2012,,,6759,,14213,,0.4%,,,,,,,,,
6,,,,,,,27235,,34689,,1.0%,,,,,,,
7,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,35048,,35048,,35048,,1.0%,,,,,,,
8,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,,,63225,,63225,,1.9%,,,,,,,,,
9,"Common Stock (102,924 shares)(16)",8/2/2013,,,81203,,44367,,1.3%,,,,,,,,,
10,,,,,,,179476,,142640,,4.2%,,,,,,,
11,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,51855,,48345,,51855,,1.5%,,,,,,,
12,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,,,13731,,17477,,0.5%,,,,,,,,,
13,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,,,-,,1256,,0.1%,,,,,,,,,
14,,,,,,,62076,,70588,,2.1%,,,,,,,
15,"Echelon Transportation, LLC (f/k/a Echelon Aviation, LLC)",Aerospace & Defense,"Senior Secured Term Loan (11.83% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,32211,,32211,,32211,,0.9%,,,,,,,
16,"Senior Secured Term Loan (11.08% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,17012,,17012,,17012,,0.5%,,,,,,,,,
17,Membership Interest (100%)(16),3/31/2014,,,22738,,38152,,1.1%,,,,,,,,,
18,,,,,,,71961,,87375,,2.5%,,,,,,,
19,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.00% PIK, due 6/24/2019)(14)(46)",6/24/2014,272170,,272170,,272170,,7.9%,,,,,,,
20,"Class A Units (95,709,910 units)(14)(16)",6/24/2014,,,81146,,173571,,5.1%,,,,,,,,,
21,,,,,,,353316,,445741,,13.0%,,,,,,,
22,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),10/1/2009,,,43592,,14600,,0.4%,,,,,,,
23,,,,,,,43592,,14600,,0.4%,,,,,,,
24,"InterDent, Inc. (52)",Health Care Providers & Services,"Senior Secured Term Loan A (7.74% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,,77994,,77994,,2.3%,,,,,,,
25,"Senior Secured Term Loan B (16.00% PIK, due 9/5/2020)(13)(46)",8/3/2012,103090,,103090,,103090,,3.0%,,,,,,,,,
26,"Senior Secured Term Loan A/B (2.49% (LIBOR + 0.25% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,,14000,,14000,,0.4%,,,,,,,,,
27,"Senior Secured Term Loan C (18.00% PIK, due 9/5/2020)(46)",3/22/2018,35766,,35766,,25215,,0.7%,,,,,,,,,
28,"Senior Secured Term Loan D (1.00% PIK, due 9/5/2020)(46)",9/19/2018,5001,,5001,,-,,-%,,,,,,,,,
29,"Warrants (to purchase 99,900 shares of Common Stock, expires 9/19/2030)(16)",2/23/2018,,,-,,-,,-%,,,,,,,,,
30,,,,,,,235851,,220299,,6.4%,,,,,,,
31,Portfolio Company,Industry,Investments(1)(44),Acquisition Date,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
32,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
33,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
34,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",9/19/2013,,26250,,,26250,,,26250.0,,0.8%,,,,
35,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(11)(46)",6/23/2014,24652,,24652,,24652,,0.7%,,,,,,,,,
36,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(14)",9/19/2013,5702,,7200,,5702,,0.2%,,,,,,,,,
37,"Common Stock (42,053 shares)(16)",9/19/2013,,,6849,,1121,,-%,,,,,,,,,
38,,,,,,,64951,,57725,,1.7%,,,,,,,
39,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.39% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(11)(46)",4/1/2014,293203,,293203,,293203,,8.5%,,,,,,,
40,"Senior Secured Term Loan E (11.39% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.50% PIK, due 4/1/2019)(11)(46)",4/1/2014,217960,,217960,,217960,,6.4%,,,,,,,,,
