,0,1,2,3,4,5,6,7,8,9,10,11,12
0,"Arctic Energy Services, LLC(37)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",,,,31640,,,18235,,0.6%,
1,"Class E Units (14.00%, 21,080 units)(16)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",20230,,-,31640,-%,,,,,
2,"Class A Units (14.00%, 700 units)(16)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",9006,,-,31640,-%,,,,,
3,Class C Units (10 units)(16),Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",-,,-,31640,-%,,,,,
4,Class C Units (10 units)(16),Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",-,,60876,31640,18235,,0.6%,,,
5,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2938,,2938,31640,2938,,0.1%,,,
6,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17988,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",17988,,17988,31640,0.5%,,,,,
7,"Common Stock (14,857 shares)(16)",17988,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,,19710,31640,0.6%,,,,,
8,"Common Stock (14,857 shares)(16)",17988,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,,27685,31640,40636,,1.2%,,,
9,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",6759,,98273,31640,87341,,2.7%,,,
10,"Common Stock (2,924 shares)(16)",Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",15227,,-,31640,-%,,,,,
11,"Common Stock (2,924 shares)(16)",Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",15227,,113500,31640,87341,,2.7%,,,
12,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",51855,,45685,31640,51855,,1.5%,,,
13,"Class A Units (10,640,642 units)(14)(16)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",13731,,11953,31640,0.4%,,,,,
14,Net Revenues Interest (25% of Net Revenues)(14)(16),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",-,,2277,31640,0.1%,,,,,
15,Net Revenues Interest (25% of Net Revenues)(14)(16),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",-,,59416,31640,66085,,2.0%,,,
16,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",31055,,31055,31640,31055,,0.9%,,,
17,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(13)(46)",16044,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",16044,,16044,31640,0.5%,,,,,
18,Membership Interest (99%)(16),16044,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",22738,,23403,31640,0.7%,,,,,
19,Membership Interest (99%)(16),16044,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",22738,,69837,31640,70502,,2.1%,,,
20,"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",22738,,-,31640,-,,-%,,,
21,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(46)",7055,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",7055,,7055,31640,0.2%,,,,,
22,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 6/9/2020)",32685,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",23829,,22693,31640,0.7%,,,,,
23,"Class A Units (370,964 units)(16)",32685,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",6577,,1132,31640,-%,,,,,
24,"Class A Units (370,964 units)(16)",32685,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",6577,,37461,31640,30880,,0.9%,,,
25,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",260073,,260073,31640,260073,,7.9%,,,
26,"Class A Units (93,997,533 units)(14)(16)",Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",78481,,113604,31640,3.5%,,,,,
27,"Class A Units (93,997,533 units)(14)(16)",Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",78481,,338554,31640,373677,,11.4%,,,
28,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),78481,,42812,31640,25055,,0.8%,,,
29,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),78481,,42812,31640,25055,,0.8%,,,
30,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,25055,,,,,
31,"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",Principal Value,26250,Fair  Value(2),% of Net Assets,26250,,,26250.0,,0.8%
32,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(10)(11)(46)",24442,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",24442,26250,24442,% of Net Assets,0.7%,,,,,
33,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(14)",5897,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",7200,26250,5897,% of Net Assets,0.2%,,,,,
34,"Common Stock (42,053 shares)(16)",5897,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",6849,26250,21147,% of Net Assets,0.7%,,,,,
35,"Common Stock (42,053 shares)(16)",5897,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",6849,26250,64741,% of Net Assets,77736,,2.4%,,,
36,National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",292426,26250,292426,% of Net Assets,292426,,8.9%,,,
37,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(46)",137512,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",137512,26250,137512,% of Net Assets,4.2%,,,,,
38,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(14)(46)",30305,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",30305,26250,30305,% of Net Assets,0.9%,,,,,
39,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 12/15/2020)(10)(11)(14)(46)",116547,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",116547,26250,116547,% of Net Assets,3.5%,,,,,
40,"Common Stock (2,280,992 shares)(16)",116547,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",242939,26250,347263,% of Net Assets,10.6%,,,,,
41,Net Operating Income Interest (5% of Net Operating Income),116547,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",-,26250,88956,% of Net Assets,2.7%,,,,,
42,Net Operating Income Interest (5% of Net Operating Income),116547,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",-,26250,819729,% of Net Assets,1013009,,30.8%,,,
43,Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",16964,26250,16964,% of Net Assets,16964,,0.5%,,,
44,"Class A Units (32,456,159 units)(14)(16)",Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",18183,26250,19188,% of Net Assets,0.6%,,,,,
45,"Class A Units (32,456,159 units)(14)(16)",Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",18183,26250,35147,% of Net Assets,36152,,1.1%,,,
46,"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",3714,26250,3714,% of Net Assets,3714,,0.1%,,,
47,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6900,"Senior Secured Note (14.00%, due 5/6/2021)(3)",6900,26250,6900,% of Net Assets,0.2%,,,,,
48,"Series A Preferred Stock (7,200 shares)(16)",6900,"Senior Secured Note (14.00%, due 5/6/2021)(3)",7200,26250,6090,% of Net Assets,0.2%,,,,,
49,"Series B Preferred Stock (5,669 shares)(16)",6900,"Senior Secured Note (14.00%, due 5/6/2021)(3)",5669,26250,4795,% of Net Assets,0.1%,,,,,
50,"Series B Preferred Stock (5,669 shares)(16)",6900,"Senior Secured Note (14.00%, due 5/6/2021)(3)",5669,26250,23483,% of Net Assets,21499,,0.6%,,,
51,"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",28622,26250,28622,% of Net Assets,27094,,0.8%,,,
52,"Common Stock (745,107 shares)(16)",Pennsylvania / Machinery,"Senior Subordinated Note (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",6866,26250,764,% of Net Assets,-%,,,,,
53,"Common Stock (745,107 shares)(16)",Pennsylvania / Machinery,"Senior Subordinated Note (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",6866,26250,35488,% of Net Assets,27858,,0.8%,,,
54,"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",6866,26250,-,% of Net Assets,982,,-%,,,
