,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(41),,,,,,,,,,,
3,"Arctic Energy Services, LLC(15)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(39)",,,31640,,,18555,,0.5%,
4,"Class E Units (21,080 units)(39)",,20230,,-,,-%,,,,,
5,Class A Units (700 units)(39),,9006,,-,,-%,,,,,
6,Class C Units (10 units)(39),,-,,-,,-%,,,,,
7,,,,,60876,,18555,,0.5%,,,
8,CCPI Inc.(16),Ohio / Metals & Mining,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12088,,12088,,12088,,0.3%,,
9,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(40)",9320,,9320,,9320,,0.3%,,,,
10,"Common Stock (14,857 shares)",,6759,,21469,,0.6%,,,,,
11,,,,,28167,,42877,,1.2%,,,
12,CP Energy Services Inc.(17),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(39)",,98272,,73048,,2.1%,,,
13,"Common Stock (2,924 shares)(39)",,15227,,-,,-%,,,,,
14,,,,,113499,,73048,,2.1%,,,
15,"Credit Central Loan Company, LLC(18)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(40)",51370,,44112,,51370,,1.5%,,
16,"Class A Units (10,640,642 units)(13)(39)",,13731,,8312,,0.2%,,,,,
17,Net Revenues Interest (25% of Net Revenues)(13)(39),,-,,3299,,0.1%,,,,,
18,,,,,57843,,62981,,1.8%,,,
19,Echelon Aviation LLC,New York / Diversified Financial Services,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(40)",31055,,31055,,31055,,0.9%,,
20,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(12)(39)(40)",16044,,16044,,16044,,0.5%,,,,
21,Membership Interest (99%),,22738,,29760,,0.8%,,,,,
22,,,,,69837,,76859,,2.2%,,,
23,"Edmentum Ultimate Holdings, LLC(19)",Minnesota / Internet Software & Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",-,,-,,-,,-%,,
24,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(40)",6619,,6619,,6619,,0.2%,,,,
25,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(40)",30326,,23829,,26561,,0.8%,,,,
26,"Class A Units (370,964 units)(39)",,6577,,3432,,0.1%,,,,,
27,,,,,37025,,36612,,1.1%,,,
28,First Tower Finance Company LLC(20),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(13)(40)",258210,,258210,,258210,,7.5%,,
29,"Class A Units (93,997,533 units)(13)(39)",,78481,,97398,,2.8%,,,,,
30,,,,,336691,,355608,,10.3%,,,
31,"Freedom Marine Solutions, LLC(21)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(39),,41411,,26671,,0.8%,,,
32,,,,,41411,,26671,,0.8%,,,
33,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
34,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
35,Control Investments (greater than 25.00% voting control)(41),,,,,,,,,,,
36,Gulf Coast Machine & Supply Company,Texas / Energy Equipment & Services,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",,41980,,,35403,,,7487.0,0.2%
37,"Series A Convertible Preferred Stock (99,900 shares)(39)",,25950,,-,,-%,,,,,
38,Common Stock (100 shares)(39),-,,-,,-,,-%,,,,
39,,,,,61353,,7487,,0.2%,,,
40,"MITY, Inc.(22)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",18250,,18250,,18250,,0.5%,,
41,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(10)(11)(40)",16442,,16442,,16442,,0.5%,,,,
42,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(13)",5478,,7200,,5478,,0.2%,,,,
43,"Common Stock (42,053 shares)",,6849,,16789,,0.4%,,,,,
44,,,,,48741,,56959,,1.6%,,,
45,National Property REIT Corp.(23),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(40)",284421,,284421,,284421,,8.2%,,
46,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(40)",205591,,205591,,205591,,6.0%,,,,
47,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(40)",88556,,88556,,88556,,2.6%,,,,
48,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 12/15/2020)(10)(11)(13)(40)",46918,,46918,,46918,,1.4%,,,,
49,"Common Stock (1,743,534 shares)(39)",-,,184768,,254187,,7.4%,,,,
50,Net Operating Income Interest (5% of Net Operating Income)(39),-,,-,,68948,,1.9%,,,,
51,,,,,810254,,948621,,27.5%,,,
52,Nationwide Loan Company LLC(24),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(13)(40)",16819,,16819,,16819,,0.5%,,
53,"Class A Units (29,559,899 units)(13)",,16293,,19456,,0.6%,,,,,
54,,,,,33112,,36275,,1.1%,,,
55,"NMMB, Inc.(25)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,,3714,,3714,,0.1%,,
56,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,,7000,,7000,,0.2%,,,,
57,"Series A Preferred Stock (7,200 shares)(39)",,7200,,2558,,0.1%,,,,,
58,"Series B Preferred Stock (5,669 shares)(39)",,5669,,2014,,0.1%,,,,,
59,,,,,23583,,15286,,0.4%,,,
60,"R-V Industries, Inc.",Pennsylvania / Construction & Engineering,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(10)(11)",28622,,28622,,28622,,0.8%,,
61,"Common Stock (745,107 shares)",,6941,,6909,,0.2%,,,,,
62,,,,,35563,,35531,,1.0%,,,
63,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
64,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
65,Control Investments (greater than 25.00% voting control)(41),,,,,,,,,,,
66,USES Corp.(26),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",,27091,,,26158,,,27091.0,0.8%
67,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",37880,,35568,,16013,,0.4%,,,,
68,"Common Stock (268,962 shares)(39)",,-,,-,,-%,,,,,
69,,,,,61726,,43104,,1.2%,,,
70,"Valley Electric Company, Inc.(27)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(10)(11)(40)",10430,,10430,,10430,,0.3%,,
71,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2019)(40)",24568,,24568,,20491,,0.6%,,,,
72,"Common Stock (50,000 shares)(39)",,26204,,-,,-%,,,,,
73,,,,,61202,,30921,,0.9%,,,
74,"Wolf Energy, LLC",Kansas / Energy Equipment & Services,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",41758,,-,,-,,-%,,
75,Membership Interest (100%)(39),,-,,-,,-%,,,,,
76,Net Profits Interest (8% of Equity Distributions)(4)(39),,-,,15,,-%,,,,,
77,,,,,-,,15,,-%,,,
78,,,1880883,,,1867410,,54.0%,,,,
79,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
80,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
81,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,
