,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
1,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (12.95% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",10/1/2017,Principal Value,35048,Fair  Value(2),% of Net Assets,35048,,,35048.0,,1.1%,,,,,,,
2,"Senior Secured Term Loan A to Spartan Energy Services, Inc. (9.80% (LIBOR + 8.00% with 1.00% LIBOR floor), due 12/31/2022)(13)",10/20/2014,13156,10/1/2017,13156,35048,13156,% of Net Assets,0.4%,,,35048.0,,1.1%,,,,,,,
3,"Senior Secured Term Loan B to Spartan Energy Services, Inc. (15.80% PIK (LIBOR + 14.00% with 1.00% LIBOR floor), due 12/31/2022)(13)(46)",10/20/2014,23361,10/1/2017,23361,35048,20801,% of Net Assets,0.7%,,,35048.0,,1.1%,,,,,,,
4,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,23361,10/1/2017,63225,35048,32716,% of Net Assets,1.0%,,,35048.0,,1.1%,,,,,,,
5,"Common Stock (102,924 shares)(16)",8/2/2013,23361,10/1/2017,86241,35048,-,% of Net Assets,-%,,,35048.0,,1.1%,,,,,,,
6,"Common Stock (102,924 shares)(16)",8/2/2013,23361,10/1/2017,86241,35048,221031,% of Net Assets,101721,,3.2%,35048.0,,1.1%,,,,,,,
7,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,56862,35048,53696,% of Net Assets,56862,,1.8%,35048.0,,1.1%,,,,,,,
8,"Class A Units (14,867,312 units)(14)(16)",12/28/2012,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,19331,35048,20020,% of Net Assets,0.6%,,1.8%,35048.0,,1.1%,,,,,,,
9,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,-,35048,-,% of Net Assets,-%,,1.8%,35048.0,,1.1%,,,,,,,
10,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,-,35048,73027,% of Net Assets,76882,,2.4%,35048.0,,1.1%,,,,,,,
11,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (11.99% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,39917,35048,39917,% of Net Assets,39917,,1.3%,35048.0,,1.1%,,,,,,,
12,"Senior Secured Term Loan (11.24% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,19198,3/31/2014,19198,35048,19198,% of Net Assets,0.6%,,1.3%,35048.0,,1.1%,,,,,,,
13,Membership Interest (100%)(16),3/31/2014,19198,3/31/2014,22738,35048,31950,% of Net Assets,1.0%,,1.3%,35048.0,,1.1%,,,,,,,
14,Membership Interest (100%)(16),3/31/2014,19198,3/31/2014,22738,35048,81853,% of Net Assets,91065,,2.9%,35048.0,,1.1%,,,,,,,
15,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,277987,35048,277987,% of Net Assets,277987,,8.7%,35048.0,,1.1%,,,,,,,
16,"Class A Units (95,709,910 units)(14)(16)",6/14/2012,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,81146,35048,224798,% of Net Assets,7.1%,,8.7%,35048.0,,1.1%,,,,,,,
17,"Class A Units (95,709,910 units)(14)(16)",6/14/2012,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,81146,35048,359133,% of Net Assets,502785,,15.8%,35048.0,,1.1%,,,,,,,
18,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),11/9/2006,81146,35048,43892,% of Net Assets,14920,,0.5%,35048.0,,1.1%,,,,,,,
19,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),11/9/2006,81146,35048,43892,% of Net Assets,14920,,0.5%,35048.0,,1.1%,,,,,,,
20,"InterDent, Inc.(29)",Health Care Providers & Services,"Senior Secured Term Loan A/B (6.85% (LIBOR + 5.05% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,35048,14000,% of Net Assets,14000,,0.4%,35048.0,,1.1%,,,,,,,
21,"Senior Secured Term Loan A (7.30% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,8/1/2018,77994,35048,77994,% of Net Assets,2.5%,,0.4%,35048.0,,1.1%,,,,,,,
22,"Senior Secured Term Loan B (10.00% PIK, due 9/5/2020)(46)",8/3/2012,122188,8/1/2018,122188,35048,104977,% of Net Assets,3.3%,,0.4%,35048.0,,1.1%,,,,,,,
23,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,44763,8/1/2018,35766,35048,-,% of Net Assets,-%,,0.4%,35048.0,,1.1%,,,,,,,
24,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,5065,8/1/2018,5001,35048,-,% of Net Assets,-%,,0.4%,35048.0,,1.1%,,,,,,,
25,"Common Stock (99,900 shares)(16)",5/3/2019,5065,8/1/2018,1,35048,-,% of Net Assets,-%,,0.4%,35048.0,,1.1%,,,,,,,
26,"Common Stock (99,900 shares)(16)",5/3/2019,5065,8/1/2018,1,35048,254950,% of Net Assets,196971,,6.2%,35048.0,,1.1%,,,,,,,
27,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,196971,,6.2%,35048.0,,1.1%,,,,,,,
28,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%)(16),8/26/2019,Principal Value,Amortized Cost,Fair  Value(2),2378,196971,,4361,35048.0,0.1%,1.1%,,,,,,,
29,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%)(16),8/26/2019,Principal Value,Amortized Cost,2378,2378,4361,,0.1%,35048.0,0.1%,1.1%,,,,,,,
30,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 6/30/2020)(3)(11)",9/19/2013,Principal Value,26250,2378,26250,4361,26250,0.1%,0.8%,0.1%,1.1%,,,,,,,
31,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 6/30/2020)(3)(11)(46)",9/19/2013,31386,9/19/2013,31386,26250,29936,26250,1.0%,26250,0.1%,0.8%,0.1%,1.1%,,,,,,,
32,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5683,9/19/2013,6627,26250,-,26250,-%,26250,0.1%,0.8%,0.1%,1.1%,,,,,,,
33,"Common Stock (42,053 shares)(16)",9/19/2013,5683,9/19/2013,6849,26250,-,26250,-%,26250,0.1%,0.8%,0.1%,1.1%,,,,,,,
34,"Common Stock (42,053 shares)(16)",9/19/2013,5683,9/19/2013,6849,26250,71112,26250,56186,26250,1.8%,0.8%,0.1%,1.1%,,,,,,,
35,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,433553,26250,433553,26250,433553,26250,13.6%,0.8%,0.1%,1.1%,,,,,,,
36,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,79000,12/31/2018,79000,26250,79000,26250,2.5%,26250,13.6%,0.8%,0.1%,1.1%,,,,,,,
37,"Senior Secured Term Loan C (15.00% (LIBOR + 12.00% with 3.00% LIBOR floor) plus 2.25% PIK, due 12/31/2023)(11)(46)",10/31/2019,51428,12/31/2018,51428,26250,51428,26250,1.6%,26250,13.6%,0.8%,0.1%,1.1%,,,,,,,
38,Residual Profit Interest(37),12/31/2018,51428,12/31/2018,-,26250,37562,26250,1.2%,26250,13.6%,0.8%,0.1%,1.1%,,,,,,,
39,"Common Stock (3,203,927 shares)(52)",12/31/2013,51428,12/31/2018,176693,26250,425345,26250,13.4%,26250,13.6%,0.8%,0.1%,1.1%,,,,,,,
40,"Common Stock (3,203,927 shares)(52)",12/31/2013,51428,12/31/2018,176693,26250,740674,26250,1026888,26250,32.3%,0.8%,0.1%,1.1%,,,,,,,
41,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2020)(14)(46)",6/18/2014,19420,26250,19420,26250,19420,26250,0.6%,0.8%,0.1%,1.1%,,,,,,,
42,"Class A Units (32,456,159 units)(14)",1/31/2013,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2020)(14)(46)",6/18/2014,21962,26250,16807,26250,0.5%,26250,0.6%,0.8%,0.1%,1.1%,,,,,,,
43,"Class A Units (32,456,159 units)(14)",1/31/2013,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2020)(14)(46)",6/18/2014,21962,26250,41382,26250,36227,26250,1.1%,0.8%,0.1%,1.1%,,,,,,,
44,"NMMB, Inc.(28)",Media,"Senior Secured Note (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 12/30/2024)(11)",12/30/2019,15100,26250,15100,26250,15100,26250,0.5%,0.8%,0.1%,1.1%,,,,,,,
45,"Common Stock (21,419 shares)(16)",12/30/2019,-,12/30/2019,12869,26250,22818,26250,0.7%,26250,0.5%,0.8%,0.1%,1.1%,,,,,,,
46,"Common Stock (21,419 shares)(16)",12/30/2019,-,12/30/2019,12869,26250,27969,26250,37918,26250,1.2%,0.8%,0.1%,1.1%,,,,,,,
47,Pacific World Corporation(40),Personal Products,"Revolving Line of Credit – $26,000 Commitment (9.06% (LIBOR + 7.25% with 1.00% LIBOR floor), in non-accrual status effective 10/1/2019, due 9/26/2020)(13)(15)",9/26/2014,20825,26250,20825,26250,20825,26250,0.7%,0.8%,0.1%,1.1%,,,,,,,
48,"Senior Secured Term Loan A (7.06% PIK (LIBOR + 5.25% with 1.00% LIBOR floor), in non-accrual status effective 10/24/2018, due 9/26/2020)(13)",12/31/2014,105045,9/26/2014,96000,26250,41785,26250,1.3%,26250,0.7%,0.8%,0.1%,1.1%,,,,,,,
49,"Senior Secured Term Loan B (11.06% PIK (LIBOR + 9.25% with 1.00% LIBOR floor), in non-accrual status effective 5/21/2018, due 9/26/2020)(13)",12/31/2014,116671,9/26/2014,96500,26250,-,26250,-%,26250,0.7%,0.8%,0.1%,1.1%,,,,,,,
50,"Convertible Preferred Equity (227,330shares)(16)",6/15/2018,116671,9/26/2014,34100,26250,-,26250,-%,26250,0.7%,0.8%,0.1%,1.1%,,,,,,,
51,"Common Stock (6,778,414 shares)(16)",9/29/2017,116671,9/26/2014,-,26250,-,26250,-%,26250,0.7%,0.8%,0.1%,1.1%,,,,,,,
52,"Common Stock (6,778,414 shares)(16)",9/29/2017,116671,9/26/2014,-,26250,247425,26250,62610,26250,2.0%,0.8%,0.1%,1.1%,,,,,,,
53,"R-V Industries, Inc.",Machinery,"Senior Subordinated Note (10.95% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",6/12/2013,28622,26250,28622,26250,28622,26250,0.9%,0.8%,0.1%,1.1%,,,,,,,
54,"Common Stock (745,107 shares)(16)",6/26/2007,"Senior Subordinated Note (10.95% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",6/12/2013,6866,26250,7881,26250,0.2%,26250,0.9%,0.8%,0.1%,1.1%,,,,,,,
55,"Common Stock (745,107 shares)(16)",6/26/2007,"Senior Subordinated Note (10.95% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",6/12/2013,6866,26250,35488,26250,36503,26250,1.1%,0.8%,0.1%,1.1%,,,,,,,
56,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,36503,26250,1.1%,0.8%,0.1%,1.1%,,,,,,,
57,"Universal Turbine Parts, LLC(34)",Trading Companies & Distributors,"Delayed Draw Term Loan – $5,000 Commitment (10.25% (LIBOR + 7.75% with 2.50% LIBOR floor), due 7/22/2021)(13)(15)",2/28/2019,Principal Value,998,Fair  Value(2),% of Net Assets,998,26250,1.1%,998.0,0.1%,-%,,,,,,,
58,"Senior Secured Term Loan A (7.70% (LIBOR + 5.75% with 1.00% LIBOR floor), due 7/22/2021)(11)",7/22/2016,30388,2/28/2019,30388,998,27624,% of Net Assets,0.9%,26250,1.1%,998.0,0.1%,-%,,,,,,,
59,"Senior Secured Term Loan B (13.70% PIK (LIBOR + 11.75% with 1.00% LIBOR floor), in non-accrual status effective 7/1/2018, due 7/22/2021)(11)",7/22/2016,40163,2/28/2019,32500,998,-,% of Net Assets,-%,26250,1.1%,998.0,0.1%,-%,,,,,,,
60,"Common Stock (10,000 units)(16)",12/10/2018,40163,2/28/2019,-,998,-,% of Net Assets,-%,26250,1.1%,998.0,0.1%,-%,,,,,,,
61,"Common Stock (10,000 units)(16)",12/10/2018,40163,2/28/2019,-,998,63886,% of Net Assets,28622,26250,0.9%,998.0,0.1%,-%,,,,,,,
62,USES Corp.(30),Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/29/2022)",3/31/2014,42013,998,30651,% of Net Assets,16101,26250,0.5%,998.0,0.1%,-%,,,,,,,
63,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/29/2022)",3/31/2014,61318,3/31/2014,35568,998,-,% of Net Assets,-%,26250,0.5%,998.0,0.1%,-%,,,,,,,
64,"Common Stock (268,962 shares)(16)",6/15/2016,61318,3/31/2014,-,998,-,% of Net Assets,-%,26250,0.5%,998.0,0.1%,-%,,,,,,,
65,"Common Stock (268,962 shares)(16)",6/15/2016,61318,3/31/2014,-,998,66219,% of Net Assets,16101,26250,0.5%,998.0,0.1%,-%,,,,,,,
66,"Valley Electric Company, Inc.(31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(11)(46)",12/31/2012,10430,998,10430,% of Net Assets,10430,26250,0.3%,998.0,0.1%,-%,,,,,,,
67,"Senior Secured Note (8.00% plus 10.00% PIK, due 6/23/2024)(46)",6/24/2014,33301,12/31/2012,33301,998,33301,% of Net Assets,1.0%,26250,0.3%,998.0,0.1%,-%,,,,,,,
68,Consolidated Revenue Interest (2.0%)(38),6/22/2018,33301,12/31/2012,-,998,2746,% of Net Assets,0.1%,26250,0.3%,998.0,0.1%,-%,,,,,,,
69,"Common Stock (50,000 shares)",12/31/2012,33301,12/31/2012,22875,998,76023,% of Net Assets,2.4%,26250,0.3%,998.0,0.1%,-%,,,,,,,
70,"Common Stock (50,000 shares)",12/31/2012,33301,12/31/2012,22875,998,66606,% of Net Assets,122500,26250,3.8%,998.0,0.1%,-%,,,,,,,
71,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,122500,26250,3.8%,998.0,0.1%,-%,,,,,,,
