,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(45),,,,,,,,,,,
3,"AMU Holdings, Inc.(27)",Pennsylvania / Property Management,"Senior Secured Term Loan to AIRMALL USA Holdings, Inc. (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)(3)(4)",,27734,,,27734,,,27734.0,0.8%
4,"Senior Subordinated Term Loan to AMU Holdings, Inc. (12.00% plus 6.00% PIK, due 12/31/2015)",19993,,19993,,19993,,0.5%,,,,
5,"Series A Preferred Stock of AMU Holdings, Inc.(9,919.684 shares)",,9920,,234,,-%,,,,,
6,"Common Stock of AMU Holdings, Inc. (100 shares)",,-,,-,,-%,,,,,
7,,,,,57647,,47961,,1.3%,,,
8,"APH Property  Holdings, LLC(32)",Florida /  Real Estate,"Senior Term Loan to APH Property Holdings, LLC (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)(4)",167162,,167162,,167162,,4.7%,,
9,"Membership Interest in APH Property Holdings, LLC",,33304,,35242,,1.0%,,,,,
10,,,,,200466,,202404,,5.7%,,,
11,ARRM Holdings Inc.(42),South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19437,,19437,,18978,,0.5%,,
12,"Series B Preferred Stock of ARRM Holdings Inc. (25,000 shares)",,25000,,-,,-%,,,,,
13,"Series A Convertible Preferred Stock of ARRM Holdings Inc. (6,142.60 shares)",,6057,,-,,-%,,,,,
14,Common Stock of ARRM Holdings Inc. (6.00 shares),,-,,-,,-%,,,,,
15,,,,,50494,,18978,,0.5%,,,
16,"AWCNC, LLC(19)",North Carolina / Machinery,"Members Units – Class A (1,800,000 units)",,-,,-,,-%,,,
17,Members Units – Class B-1 (1 unit),,-,,-,,-%,,,,,
18,"Members Units – Class B-2 (7,999,999 units)",,-,,-,,-%,,,,,
19,,,,,-,,-,,-%,,,
20,BXC Holding  Company(20),"Georgia /  Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",1625,,1621,,1625,,-%,,
21,"Senior Secured Term Loan B to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",4930,,4917,,1712,,0.1%,,,,
22,"Senior Secured Term Loan C to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",2389,,2383,,-,,-%,,,,
23,"Senior Secured Term Loan to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",8389,,8228,,-,,-%,,,,
24,"Series A Preferred Stock of BXC Holding Company (1,000,000 shares)",,-,,-,,-%,,,,,
25,"Common Stock of BXC Holding Company  (10,000 shares)",,-,,-,,-%,,,,,
26,"Warrant (to purchase 15% of all classes of equity of BXC Holding Company, expires 8/31/2022)",,-,,-,,-%,,,,,
27,,,,,17149,,3337,,0.1%,,,
28,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
29,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,
30,Control Investments (greater than 25.00% voting control)(45),,,,,,,,,,,
