0,1,2,3,4,5,6,7,8,9,10,11
American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",Principal Value,69635,Fair  Value(2),% of Net Assets,69635,0,0,69635.0,2.0%
Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,Principal Value,94018,Fair  Value(2),111314,69635,3.2%,0,0,0
"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",Principal Value,94018,31640,111314,33882,0,1.0%,0,0
Class C Units (10 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,60876,-,52824,-%,1.6%,0,0,0
CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12538,60876,12538,52824,12538,0,0.4%,0,0
"Common Stock (14,857 shares)",9158,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6636,28332,19294,40990,0.6%,1.3%,0,0,0
CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",6636,28332,98273,40990,75501,0,2.2%,0,0
"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",15227,113500,-,75501,-%,2.2%,0,0,0
"Credit Central Loan Company, LLC(34)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",36333,113500,36333,75501,36333,0,1.1%,0,0
Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",-,47966,3920,54191,0.1%,1.6%,0,0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",40808,47966,40808,54191,40808,0,1.2%,0,0
Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,60715,25480,66288,0.7%,1.9%,0,0,0
"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(19)(25)",19907,60715,-,66288,-,0,-%,0,0
"Class A Common Units (370,964.14 units)",27430,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(19)(25)",6577,33585,8400,35669,0.2%,1.0%,0,0,0
First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(22)",255249,33585,255249,35669,255249,0,7.4%,0,0
"Class A Shares (86,711,624.89 shares)(22)",Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(22)",70476,325725,102822,358071,3.0%,10.4%,0,0,0
"Freedom Marine Solutions, LLC(8)",Louisiana / Oil & Gas Services,Membership Interest (100%),70476,325725,39811,358071,25560,0,0.7%,0,0
"Freedom Marine Solutions, LLC(8)",Louisiana / Oil & Gas Services,Membership Interest (100%),70476,39811,39811,25560,25560,0.7%,0,0,0
"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)(20)",25950,57874,-,9403,-%,0.3%,0,0,0
"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(20)",128586,57874,128586,9403,128586,0,3.7%,0,0
Class C Shares (535 shares),20688,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(20)",8702,302854,49635,343787,1.4%,9.9%,0,0,0
"MITY, Inc.(17)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(20)",18250,302854,18250,343787,18250,0,0.5%,0,0
"Common Stock (42,053 shares)",7200,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(20)",6849,48741,13966,53974,0.4%,1.6%,0,0,0
National Property REIT Corp.(40),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",171413,48741,171413,53974,171413,0,5.0%,0,0
Net Operating Income Interest (5% of Net Operating Income),131950,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",-,560296,21419,567875,0.6%,16.5%,0,0,0
Nationwide Loan Company LLC(36),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(6)(22)",16696,560296,16696,567875,16696,0,0.5%,0,0
