,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",Principal Value,78635,Fair  Value(2),% of Net Assets,78635,,,78635.0,2.2%
2,"Common Stock (301,845 shares)",Various / Real Estate,22912,Principal Value,33531,Fair  Value(2),0.9%,78635,,,,
3,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,Principal Value,8182,Fair  Value(2),0.2%,78635,,,,
4,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,Principal Value,101547,Fair  Value(2),120348,78635,3.3%,,,
5,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,Class D Units (32915.09 units),Principal Value,31640,Fair  Value(2),32915,78635,1.0%,,,
6,"Class E Units (21,080 units)",Wyoming / Oil & Gas Services,20230,Principal Value,21080,Fair  Value(2),0.6%,78635,,,,
7,Class A Units (700 units),Wyoming / Oil & Gas Services,9006,Principal Value,1600,Fair  Value(2),-%,78635,,,,
8,Class C Units (10 units),Wyoming / Oil & Gas Services,-,Principal Value,745,Fair  Value(2),-%,78635,,,,
9,Class C Units (10 units),Wyoming / Oil & Gas Services,-,Principal Value,60876,Fair  Value(2),56340,78635,1.6%,,,
10,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12650,60876,12650,56340,12650,,0.4%,,
11,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9000,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",9000,60876,9000,56340,0.2%,,,,
12,"Common Stock (14,857 shares)",9000,6636,9000,14756,9000,0.4%,0.2%,,,,
13,"Common Stock (14,857 shares)",9000,6636,9000,28286,9000,36406,0.2%,1.0%,,,
14,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(20)",11035,28286,11035,36406,11035,,0.3%,,
15,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, in non-accrual status effective 9/30/2015, due 4/1/2019)(3)(4)(6)(20)",75930,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(20)",72238,28286,71826,36406,2.0%,,,,
16,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(6)(20)",15924,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(20)",15000,28286,-,36406,-%,,,,
17,"Common Stock (2,924 shares)",15924,15227,15000,-,-,-%,-%,,,,
18,"Common Stock (2,924 shares)",15924,15227,15000,113500,-,82861,-%,2.3%,,,
19,"Credit Central Loan Company, LLC(34)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",36333,113500,36333,82861,36333,,1.1%,,
20,"Class A Shares (7,500,000 shares)(22)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",11633,113500,16110,82861,0.4%,,,,
21,Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,-,11633,4066,16110,0.1%,0.4%,,,,
22,Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,-,11633,47966,16110,56509,0.4%,1.6%,,,
23,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",40808,47966,40808,56509,40808,,1.2%,,
24,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,47966,19745,56509,0.5%,,,,
25,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,60715,19745,60553,0.5%,1.7%,,,
26,"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",-,60715,-,60553,-,,-%,,
27,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(6)",5948,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",5948,60715,5875,60553,0.2%,,,,
28,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(6)",26746,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",20249,60715,19868,60553,0.5%,,,,
29,"Class A Common Units (370,964.14 units)",26746,6577,20249,6577,19868,0.2%,0.5%,,,,
30,"Class A Common Units (370,964.14 units)",26746,6577,20249,32774,19868,32320,0.5%,0.9%,,,
31,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,0.5%,,,,
32,First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(22)",Principal Value,251246,Fair  Value(2),% of Net Assets,251246,,,251246.0,7.0%
33,"Class A Shares (83,729,323 shares)(22)",Mississippi / Consumer Finance,66473,Principal Value,112378,Fair  Value(2),3.1%,251246,,,,
34,"Class A Shares (83,729,323 shares)(22)",Mississippi / Consumer Finance,66473,Principal Value,317719,Fair  Value(2),363624,251246,10.1%,,,
35,"Freedom Marine Solutions, LLC(8)",Louisiana / Oil & Gas Services,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,317719,3500,363624,3500,,0.1%,,
36,"Senior Secured Note to Vessel Company II, LLC (13.00%, due 11/25/2018)",13000,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",12504,317719,8682,363624,0.2%,,,,
37,"Senior Secured Note to Vessel Company III, LLC (13.00%, due 12/3/2018)",16000,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",16000,317719,13794,363624,0.4%,,,,
38,Membership Interest (100%),16000,7808,16000,1121,13794,-%,0.4%,,,,
39,Membership Interest (100%),16000,7808,16000,39812,13794,27097,0.4%,0.7%,,,
40,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)(20)",30535,39812,28925,27097,8896,,0.2%,,
41,"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,30535,-,28925,-%,8896,,,,
42,"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,30535,54875,28925,8896,8896,0.2%,,,
43,"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(20)",128820,54875,128820,8896,128820,,3.6%,,
