,0,1,2,3,4,5,6,7,8,9,10,11,12
0,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
1,Control Investments (25.00% or greater of voting control),,,,,,,,,,,,
2,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",,"$ 28,900",,"$ 28,900",,"$ 28,900",,1.1%
3,,,,,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",,12500,,12500,,12500,,0.5%
4,,,,,"Convertible Preferred Stock (9,919.684 shares)",,,,9920,,9920,,0.4%
5,,,,,Common Stock (100 shares),,,,-,,374,,0.0%
6,,,,,,,,,51320,,51694,,2.0%
7,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 4/01/2013)  (3), (4)",,19837,,19837,,19837,,0.8%
8,,,,,"Subordinated Secured Note - Tranche B (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 4/01/2013)  (3), (4)",,15035,,15035,,15035,,0.6%
9,,,,,"Subordinated Unsecured Note (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 12/31/2017)  (4)",,3600,,3600,,3600,,0.1%
10,,,,,"Convertible Preferred Stock - Series A (6,142.6 shares)",,,,6057,,-,,0.0%
11,,,,,Unrestricted Common Stock (6 shares),,,,-,,-,,0.0%
12,,,,,,,,,44529,,38472,,1.5%
13,"APH Property Holdings, LLC  (32)",,Georgia / Real Estate,,"Senior Secured Note (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor) plus 2.00% PIK, due 10/24/2020)  (4)",,40018,,40018,,40018,,1.6%
14,,,,,"Common Stock (17,400 shares)",,,,7750,,7750,,0.3%
15,,,,,,,,,47768,,47768,,1.9%
16,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class A (1,800,000 units)",,,,-,,-,,0.0%
17,,,,Members Units - Class B-1 (1 unit),,,,-,,-,,0.0%,
18,,,,,"Members Units - Class B-2 (7,999,999 units)",,,,-,,-,,0.0%
19,,,,,,,,,-,,-,,0.0%
20,"Borga, Inc.",,California / Manufacturing,,"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",,1150,,1095,,480,,0.0%
21,,,,,"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",,1612,,1501,,-,,0.0%
22,,,,,"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",,9641,,706,,-,,0.0%
23,,,,,Common Stock (100 shares)  (21),,,,-,,-,,0.0%
24,,,,,"Warrants (33,750 warrants)  (21)",,,,-,,-,,0.0%
25,,,,,,,,,3302,,480,,0.0%
26,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
27,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
28,Control Investments (25.00% or greater of voting control),,,,,,,,,,,,
29,CCPI Holdings Inc.  (33),,Ohio / Manufacturing,,"Senior Secured Note (10.00%, due 12/31/2017)",,"$ 17,775",,"$ 17,775",,"$ 17,775",,0.7%
30,,,,,"Senior Secured Note (12.00% plus 7.00% PIK, due 6/30/2018)",,7526,,7526,,7526,,0.3%
31,,,,,Common Stock (100 shares),,,,8581,,8581,,0.3%
32,,,,,Net Revenue Interest (4% of Net Revenue),,,,-,,-,,0.0%
33,,,,,,,,,33882,,33882,,1.3%
34,"Credit Central Holdings of Delaware, LLC  (22), (34)",,Ohio / Consumer Finance,,"Senior Secured Revolving Credit Facility - $60,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 12/31/2020)  (4), (25)",,38082,,38082,,38082,,1.5%
35,,,,,Common Stock (100 shares),,,,9581,,7342,,0.3%
36,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,2907,,0.1%
37,,,,,,,,,47663,,48331,,1.9%
38,"Energy Solutions Holdings, Inc.  (8)",,Texas / Gas Gathering and Processing,,"Senior Secured Note (18.00%, due 12/11/2016)",,750,,750,,750,,0.0%
39,,,"Junior Secured Note (18.00%, due 12/12/2016)",,12000,,12000,,12000,,0.5%,,
40,,,,,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",,3500,,3500,,3500,,0.1%
41,,,,,"Subordinated Secured Note to Freedom Marine Holdings, LLC (12.00% (LIBOR + 6.11% with 5.89% LIBOR floor) plus 4.00% PIK, in non-accrual status effective 10/1/2010, due 12/31/2011)  (4)",,13765,,12503,,5134,,0.2%
42,,,,,"Senior Secured Debt to Yatesville Coal Holdings, Inc. (Non-accrual status effective 1/1/2009, past due)",,1449,,1449,,-,,0.0%
43,,,,,Escrow Receivable,,,,-,,-,,0.0%
44,,,,Common Stock (100 shares),,,,8318,,9558,,0.4%,
45,,,,,,,,,38520,,30942,,1.2%
46,"First Tower Holdings of Delaware, LLC  (22), (29)",,Mississippi / Consumer Finance,,"Senior Secured Revolving Credit Facility - $400,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 6/30/2022)  (4), (25)",,264760,,264760,,264760,,10.4%
47,,,,,"Common Stock (83,729,323 shares)",,,,43193,,30398,,1.2%
48,,,,,Net Revenue Interest (5% of Net Revenue & Distributions),,,,-,,-,,0.0%
49,,,,,,,,,307953,,295158,,11.6%
50,"Manx Energy, Inc. (“Manx”)  (12)",,Kansas / Oil & Gas Production,,"Senior Secured Note (13.00%, in non-accrual status effective 1/19/2010, due 6/21/2013)",,3550,,3550,,-,,0.0%
51,,,,,"Preferred Stock (6,635 shares)",,,,6307,,-,,0.0%
52,,,,"Common Stock (17,082 shares)",,,,1171,,-,,0.0%,
53,,,,,,,,,11028,,-,,0.0%
54,"Nationwide Acceptance Holdings, LLC  (22), (36)",,Chicago / Consumer Finance,,"Senior Secured Revolving Credit Facility - $30,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 1/31/2023)  (4), (25)",,21308,,21308,,21308,,0.8%
55,,,,,Membership Units (100 shares),,,,3843,,2127,,0.1%
