,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,
3,American Property REIT Corp.(32),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,105958,,,105958,,,105958.0,2.9%
4,"Common Stock (272,116 shares)",,24769,,30692,,0.8%,,,,,
5,,,,,130727,,136650,,3.7%,,,
6,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,,31640,,31640,,0.9%,,
7,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,,20230,,20230,,0.5%,,,,
8,Class A Units (700 units),,9006,,9774,,0.3%,,,,,
9,,,,,60876,,61644,,1.7%,,,
10,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16988,,16988,,16988,,0.5%,,
11,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8539,,8539,,8539,,0.2%,,,,
12,"Common Stock (14,857 shares)",,8553,,8011,,0.2%,,,,,
13,,,,,34080,,33538,,0.9%,,,
14,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,,11035,,11035,,0.3%,,
15,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(3)(4)",72238,,72238,,72238,,1.9%,,,,
16,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15000,,15000,,15000,,0.4%,,,,
17,"Common Stock (2,924 shares)",,15227,,20499,,0.6%,,,,,
18,,,,,113500,,118772,,3.2%,,,
19,"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,,36333,,36333,,1.0%,,
20,"Class A Shares (7,500,000 shares)(22)",,11473,,12637,,0.3%,,,,,
21,,,,,47806,,48970,,1.3%,,,
22,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",40808,,40808,,40808,,1.1%,,
23,"Class A Shares (11,335,318 shares)",,19907,,16632,,0.4%,,,,,
24,,,,,60715,,57440,,1.5%,,,
25,First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(22)",251246,,251246,,251246,,6.8%,,
26,"Class A Shares (83,729,323 shares)(22)",,65957,,82038,,2.2%,,,,,
27,,,,,317203,,333284,,9.0%,,,
28,"Freedom Marine Solutions, LLC(8)",Louisiana / Energy,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,,3500,,3500,,0.1%,,
29,"Senior Secured Note to Vessel Company II, LLC (13.00%, due 11/25/2018)",13000,,12504,,9499,,0.3%,,,,
