,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",Principal Value,69635,Fair  Value(2),% of Net Assets,69635,,,69635.0,2.0%
2,"Common Stock (307,846 shares)",Various / Real Estate,24383,Principal Value,34319,Fair  Value(2),1.0%,69635,,,,
3,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,Principal Value,7360,Fair  Value(2),0.2%,69635,,,,
4,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,Principal Value,94018,Fair  Value(2),111314,69635,3.2%,,,
5,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",Principal Value,94018,31640,111314,33882,,1.0%,,
6,"Class E Units (21,080 units)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",20230,94018,18942,111314,0.6%,,,,
7,Class A Units (700 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",9006,94018,-,111314,-%,,,,
8,Class C Units (10 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,94018,-,111314,-%,,,,
9,Class C Units (10 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,60876,-,52824,-%,1.6%,,,
10,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12538,60876,12538,52824,12538,,0.4%,,
11,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9158,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",9158,60876,9158,52824,0.3%,,,,
12,"Common Stock (14,857 shares)",9158,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6636,60876,19294,52824,0.6%,,,,
13,"Common Stock (14,857 shares)",9158,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6636,28332,19294,40990,0.6%,1.3%,,,
14,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",6636,28332,98273,40990,75501,,2.2%,,
15,"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",15227,28332,-,40990,-%,,,,
16,"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",15227,113500,-,75501,-%,2.2%,,,
17,"Credit Central Loan Company, LLC(34)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",36333,113500,36333,75501,36333,,1.1%,,
18,"Class A Shares (7,500,000 shares)(22)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",11633,113500,13938,75501,0.4%,,,,
19,Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",-,113500,3920,75501,0.1%,,,,
20,Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",-,47966,3920,54191,0.1%,1.6%,,,
21,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",40808,47966,40808,54191,40808,,1.2%,,
22,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,47966,25480,54191,0.7%,,,,
23,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,60715,25480,66288,0.7%,1.9%,,,
