,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",,2881,,,2881,,,2881.0,,0.1%,,,,,
1,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17819,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",17819,2881,17819,,0.5%,,,2881.0,,0.1%,,,,,
2,"Common Stock (14,857 shares)(16)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,2881,15056,,0.4%,,,2881.0,,0.1%,,,,,
3,"Common Stock (14,857 shares)(16)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,2881,27459,,35756,,1.0%,2881.0,,0.1%,,,,,
4,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",35048,2881,35048,,35048,,1.0%,2881.0,,0.1%,,,,,
5,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",-,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",63225,2881,63225,,1.9%,,1.0%,2881.0,,0.1%,,,,,
6,"Common Stock (102,924 shares)(16)",-,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",81203,2881,24988,,0.7%,,1.0%,2881.0,,0.1%,,,,,
7,"Common Stock (102,924 shares)(16)",-,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",81203,2881,179476,,123261,,3.6%,2881.0,,0.1%,,,,,
8,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",51855,2881,47496,,51855,,1.5%,2881.0,,0.1%,,,,,
9,"Class A Units (10,640,642 units)(14)(16)",-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",13731,2881,23196,,0.7%,,1.5%,2881.0,,0.1%,,,,,
10,Net Revenues Interest (25% of Net Revenues)(14)(16),-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",-,2881,1626,,0.1%,,1.5%,2881.0,,0.1%,,,,,
11,Net Revenues Interest (25% of Net Revenues)(14)(16),-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",-,2881,61227,,76677,,2.3%,2881.0,,0.1%,,,,,
12,"Echelon Transportation, LLC (f/a/a Echelon Aviation, LLC)",New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",31055,2881,31055,,31055,,0.9%,2881.0,,0.1%,,,,,
