,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
1,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
2,,Control Investments (greater than 25.00% voting control)  (42),,,,,,,,,,,,
3,,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",,"$ 27,881",,"$ 27,881",,"$ 27,881",,0.9%
4,,,,,,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",,19698,,19698,,19698,,0.6%
5,,,,,,"Convertible Preferred Stock (9,919.684 shares)",,,,9920,,1888,,0.1%
6,,,,,,Common Stock (100 shares),,,,-,,-,,0.0%
7,,,,,,,,,,57499,,49467,,1.6%
8,,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Senior Secured Note (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",,19536,,19536,,19536,,0.6%
9,,,,,,"Convertible Preferred Stock - Series B (25,000 shares)",,,,25000,,5045,,0.2%
10,,,,,,"Convertible Preferred Stock - Series A (6,142.6 shares)",,,,6057,,-,,0.0%
11,,,,,,Unrestricted Common Stock (6 shares),,,,-,,-,,0.0%
12,,,,,,,,,,50593,,24581,,0.8%
13,,"APH Property Holdings, LLC  (32)",,Florida / Real Estate,,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,161662,,161662,,161662,,5.0%
14,,,,,,Membership Units (100 shares),,,,32240,,32240,,1.0%
15,,,,,,,,,,193902,,193902,,6.0%
16,,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class A (1,800,000 units)",,,,-,,-,,0.0%
17,,,,,Members Units - Class B-1 (1 unit),,,,-,,-,,0.0%,
18,,,,,,"Members Units - Class B-2 (7,999,999 units)",,,,-,,-,,0.0%
19,,,,,,,,,,-,,-,,0.0%
20,,"Borga, Inc.",,California / Manufacturing,,"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",,1150,,1095,,474,,0.0%
21,,,,,,"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",,1612,,1501,,-,,0.0%
22,,,,,,"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",,9940,,707,,-,,0.0%
23,,,,,,Common Stock (100 shares)  (21),,,,-,,-,,0.0%
24,,,,,,"Warrants (33,750 warrants)  (21)",,,,-,,-,,0.0%
25,,,,,,,,,,3303,,474,,0.0%
26,,"CCPI Holdings, Inc.  (33)",,Ohio / Manufacturing,,"Senior Secured Note (10.00%, due 12/31/2017)  (3)",,17437,,17437,,17437,,0.5%
27,,,,,,"Senior Secured Note (12.00% plus 7.00% PIK, due 6/30/2018)",,8075,,8075,,8075,,0.2%
28,,,,,,Common Stock (100 shares),,,,8581,,13790,,0.4%
29,,,,,,Net Revenue Interest (4% of Net Revenue),,,,-,,516,,0.0%
30,,,,,,,,,,34093,,39818,,1.1%
