,0,1,2,3,4,5,6,7,8,9,10,11,12
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,
2,"Arctic Energy Services, LLC(15)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",,,31640,,,20167,,0.6%,,
3,"Class E Units (21,080 units)",,20230,,-,,-%,,,,,,
4,Class A Units (700 units),,9006,,-,,-%,,,,,,
5,Class C Units (10 units),,-,,-,,-%,,,,,,
6,,,,,60876,,20167,,0.6%,,,,
7,CCPI Inc.(16),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12200,,12200,,12200,,0.4%,,,
8,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(39)",9320,,9320,,9320,,0.3%,,,,,
9,"Common Stock (14,857 shares)",,6759,,20722,,0.5%,,,,,,
10,,,,,28279,,42242,,1.2%,,,,
11,CP Energy Services Inc.(17),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",,98273,,76002,,2.2%,,,,
12,"Common Stock (2,924 shares)",,15227,,-,,-%,,,,,,
13,,,,,113500,,76002,,2.2%,,,,
14,"Credit Central Loan Company, LLC(18)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(39)",50510,,42989,,50510,,1.5%,,,
15,"Class A Shares (10,640,642 shares)(13)",,13731,,9341,,0.3%,,,,,,
16,Net Revenues Interest (25% of Net Revenues)(13),,-,,4069,,0.1%,,,,,,
17,,,,,56720,,63920,,1.9%,,,,
18,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(39)",31055,,31055,,31055,,0.9%,,,
19,Membership Interest (99%),,19907,,23988,,0.7%,,,,,,
20,,,,,50962,,55043,,1.6%,,,,
21,"Edmentum Ultimate Holdings, LLC(19)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",-,,-,,-,,-%,,,
22,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(39)",6478,,6478,,6478,,0.2%,,,,,
23,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(39)",29571,,23073,,24766,,0.7%,,,,,
24,"Class A Common Units (370,964 units)",,6577,,4241,,0.1%,,,,,,
25,,,,,36128,,35485,,1.0%,,,,
26,First Tower Finance Company LLC(20),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(13)(39)",256578,,256578,,256578,,7.5%,,,
27,"Class A Shares (86,711,625 shares)(13)",,70476,,95275,,2.7%,,,,,,
28,,,,,327054,,351853,,10.2%,,,,
29,"Freedom Marine Solutions, LLC(21)",Louisiana / Oil & Gas Services,Membership Interest (100%),,41411,,26671,,0.8%,,,,
30,,,,,41411,,26671,,0.8%,,,,
31,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",38906,,33403,,7394,,0.2%,,,
32,"Series A Convertible Preferred Stock (99,900 shares)",,25950,,-,,-%,,,,,,
33,,,,,59353,,7394,,0.2%,,,,
34,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
35,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
36,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,
37,"MITY, Inc.(22)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(10)(11)",,18250,,,18250,,,18250.0,,0.5%
38,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(3)(10)(11)(39)",16442,,16442,,16442,,0.5%,,,,,
39,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(13)",5646,,7200,,5646,,0.2%,,,,,
40,"Common Stock (42,053 shares)",,6849,,13177,,0.4%,,,,,,
41,,,,,48741,,53515,,1.6%,,,,
42,National Property REIT Corp.(23),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",283972,,283972,,283972,,8.3%,,,
43,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(39)",212819,,212819,,212819,,6.2%,,,,,
44,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(39)",135818,,135818,,135818,,4.0%,,,,,
45,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(39)",11508,,11508,,11508,,0.3%,,,,,
46,"Common Stock (1,656,276 shares)",-,,188444,,267511,,7.7%,,,,,
47,Net Operating Income Interest (5% of Net Operating Income),-,,-,,68362,,2.0%,,,,,
48,,,,,832561,,979990,,28.5%,,,,
49,Nationwide Loan Company LLC(24),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(13)(39)",16819,,16819,,16819,,0.5%,,,
50,"Class A Shares (29,559,899 shares)(13)",,16292,,20690,,0.6%,,,,,,
51,,,,,33111,,37509,,1.1%,,,,
52,"NMMB, Inc.(25)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,,3714,,3404,,0.1%,,,
53,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,,7000,,6416,,0.2%,,,,,
54,"Series A Preferred Stock (7,200 shares)",,7200,,28,,-%,,,,,,
55,"Series B Preferred Stock (5,669 shares)",,5669,,35,,-%,,,,,,
56,,,,,23583,,9883,,0.3%,,,,
57,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(10)(11)",28622,,28622,,28622,,0.8%,,,
58,"Common Stock (545,107 shares)",,5087,,4824,,0.1%,,,,,,
59,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",,1681,,1769,,0.1%,,,,,,
60,,,,,35390,,35215,,1.0%,,,,
61,USES Corp.(26),Texas / Commercial Services,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",26683,,26158,,26683,,0.8%,,,
62,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",36905,,35568,,15704,,0.4%,,,,,
63,"Common Stock (268,962 shares)",,-,,-,,-%,,,,,,
64,,,,,61726,,42387,,1.2%,,,,
65,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
66,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
67,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,
68,"Valley Electric Company, Inc.(27)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(10)(11)(39)",,10430,,,10430,,,10430.0,,0.3%
69,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2019)(39)",24199,,24199,,20101,,0.6%,,,,,
70,"Common Stock (50,000 shares)",,26204,,-,,-%,,,,,,
71,,,,,60833,,30531,,0.9%,,,,
72,"Wolf Energy, LLC",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",38257,,-,,-,,-%,,,
73,Membership Interest (100%),,-,,-,,-%,,,,,,
74,Net Profits Interest (8% of Equity Distributions)(4),,-,,16,,-%,,,,,,
75,,,,,-,,16,,-%,,,,
76,,,1870228,,,1867823,,54.3%,,,,,
77,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
78,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
79,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,
80,"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",,,309,,,617,,-%,,
81,,,,,309,,617,,-%,,,,
82,"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(8)(10)(11)",11771,,11640,,11771,,0.3%,,,
83,,,,,11640,,11771,,0.3%,,,,
84,American Gilsonite Company(29),Utah / Metal Services & Minerals,Membership Interest (1.93%),,-,,-,,-%,,,,
85,,,,,-,,-,,-%,,,,
86,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.72%, due 7/15/2023)(5)(13)",23525,,19651,,18919,,0.6%,,,
87,,,,,19651,,18919,,0.6%,,,,
88,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.36%, due 1/17/2023)(5)(13)",38340,,29137,,25439,,0.7%,,,
89,,,,,29137,,25439,,0.7%,,,,
90,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.25%, due 4/15/2025)(5)(13)",44063,,33470,,29888,,0.9%,,,
91,,,,,33470,,29888,,0.9%,,,,
92,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.22%, due 10/20/2025)(5)(13)",36515,,30624,,24264,,0.7%,,,
93,,,,,30624,,24264,,0.7%,,,,
94,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.19%, due 10/20/2027)(5)(6)(13)",31350,,26735,,24751,,0.7%,,,
95,,,,,26735,,24751,,0.7%,,,,
96,"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(10)(11)",150000,,150000,,149324,,4.3%,,,
97,,,,,150000,,149324,,4.3%,,,,
98,"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",21322,,20706,,,9568,,0.3%,,
99,"Senior Secured Term Loan B (12.50% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",24755,,23239,,-,,-%,,,,,
100,,,,,43945,,9568,,0.3%,,,,
101,Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,,6912,,6912,,0.2%,,,
102,,,,,6912,,6912,,0.2%,,,,
103,"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(10)(11)(14)",2350,,2350,,2350,,0.1%,,,
104,"Senior Term Loan (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 2/21/2018)(3)(10)(11)",38067,,38067,,38067,,1.1%,,,,,
105,,,,,40417,,40417,,1.2%,,,,
106,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.09%, due 1/15/2026)(5)(6)(13)",52250,,42771,,40630,,1.2%,,,
107,,,,,42771,,40630,,1.2%,,,,
108,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
109,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
110,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,
111,"BNN Holdings, Corp.",Michigan / Healthcare,Escrow Receivable,,,,-,,,486,,-%,
112,,,,,-,,486,,-%,,,,
