,0,1,2,3,4,5,6,7,8,9,10,11
0,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,78077,,,78077,,,78077.0,2.1%
1,"Common Stock (301,845 shares)",Various / Real Estate,22115,,32098,,0.9%,78077,,,,
2,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,,8081,,0.2%,78077,,,,
3,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,,100192,,118256,78077,3.2%,,,
4,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,100192,31640,118256,31640,,0.9%,,
5,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,100192,20230,118256,0.5%,,,,
6,Class A Units (700 units),20230,8879,20230,8374,20230,0.2%,0.5%,,,,
7,Class C Units (10 units),20230,127,20230,120,20230,-%,0.5%,,,,
8,Class C Units (10 units),20230,127,20230,60876,20230,60364,0.5%,1.6%,,,
9,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16763,60876,16763,60364,16763,,0.5%,,
10,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8844,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",8844,60876,8844,60364,0.2%,,,,
11,"Common Stock (14,857 shares)",8844,8553,8844,15745,8844,0.4%,0.2%,,,,
12,"Common Stock (14,857 shares)",8844,8553,8844,34160,8844,41352,0.2%,1.1%,,,
13,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,34160,11035,41352,11035,,0.3%,,
14,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(3)(4)",74493,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",74493,34160,74493,41352,2.0%,,,,
15,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15563,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",15563,34160,5481,41352,0.2%,,,,
16,"Common Stock (2,924 shares)",15563,15227,15563,-,5481,-%,0.2%,,,,
17,"Common Stock (2,924 shares)",15563,15227,15563,116318,5481,91009,0.2%,2.5%,,,
18,"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,116318,36333,91009,36333,,1.0%,,
