,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Portfolio Company,Locale / Industry,Investments(1)(44)(47),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
1,"Arctic Energy Services, LLC(37)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",Principal Value,-,Fair  Value(2),% of Net Assets,31640,,,27017.0,,0.8%,,,,,
2,"Class E Units (14.00%, 21,080 units)(16)",-,"Class D Units (12.00%, 32,915 units)(16)",23800,-,-,% of Net Assets,-%,,,27017.0,,0.8%,,,,,
3,"Class A Units (14.00%, 700 units)(16)",-,"Class D Units (12.00%, 32,915 units)(16)",9006,-,-,% of Net Assets,-%,,,27017.0,,0.8%,,,,,
4,Class C Units (10 units)(16),-,"Class D Units (12.00%, 32,915 units)(16)",-,-,-,% of Net Assets,-%,,,27017.0,,0.8%,,,,,
5,Class C Units (10 units)(16),-,"Class D Units (12.00%, 32,915 units)(16)",-,-,64446,% of Net Assets,27017,,0.8%,27017.0,,0.8%,,,,,
6,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2881,-,2881,% of Net Assets,2881,,0.1%,27017.0,,0.8%,,,,,
7,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17819,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",17819,-,17819,% of Net Assets,0.5%,,0.1%,27017.0,,0.8%,,,,,
8,"Common Stock (14,857 shares)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,-,15557,% of Net Assets,0.5%,,0.1%,27017.0,,0.8%,,,,,
9,"Common Stock (14,857 shares)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,-,27459,% of Net Assets,36257,,1.1%,27017.0,,0.8%,,,,,
10,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Senior Secured Term Loan (12.69% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",35048,-,35048,% of Net Assets,35048,,1.0%,27017.0,,0.8%,,,,,
11,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",-,"Senior Secured Term Loan (12.69% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",63225,-,55135,% of Net Assets,1.7%,,1.0%,27017.0,,0.8%,,,,,
12,"Common Stock (2,924 shares)(16)",-,"Senior Secured Term Loan (12.69% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",15227,-,-,% of Net Assets,-%,,1.0%,27017.0,,0.8%,,,,,
13,"Common Stock (2,924 shares)(16)",-,"Senior Secured Term Loan (12.69% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",15227,-,113500,% of Net Assets,90183,,2.7%,27017.0,,0.8%,,,,,
