,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,"Arctic Energy Services, LLC(37)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",-,,,31640,,,24158,,0.7%,,,,,
1,"Class E Units (14.00%, 21,080 units)(16)",-,"Class D Units (12.00%, 32,915 units)(16)",20230,,-,31640,-%,,24158,,0.7%,,,,,
2,"Class A Units (14.00%, 700 units)(16)",-,"Class D Units (12.00%, 32,915 units)(16)",9006,,-,31640,-%,,24158,,0.7%,,,,,
3,Class C Units (10 units)(16),-,"Class D Units (12.00%, 32,915 units)(16)",-,,-,31640,-%,,24158,,0.7%,,,,,
4,Class C Units (10 units)(16),-,"Class D Units (12.00%, 32,915 units)(16)",-,,60876,31640,24158,,0.7%,,0.7%,,,,,
5,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2909,,2909,31640,2909,,0.1%,,0.7%,,,,,
6,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17904,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",17904,,17904,31640,0.5%,,0.1%,,0.7%,,,,,
7,"Common Stock (14,857 shares)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,,17824,31640,0.5%,,0.1%,,0.7%,,,,,
8,"Common Stock (14,857 shares)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,,27572,31640,38637,,1.1%,,0.7%,,,,,
9,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Senior Secured Term Loan (12.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(10)(11)",35048,,35048,31640,35048,,1.0%,,0.7%,,,,,
10,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",-,"Senior Secured Term Loan (12.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(10)(11)",63225,,51509,31640,1.5%,,1.0%,,0.7%,,,,,
11,"Common Stock (2,924 shares)(16)",-,"Senior Secured Term Loan (12.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(10)(11)",15227,,-,31640,-%,,1.0%,,0.7%,,,,,
12,"Common Stock (2,924 shares)(16)",-,"Senior Secured Term Loan (12.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(10)(11)",15227,,113500,31640,86557,,2.5%,,0.7%,,,,,
13,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",51855,,46195,31640,51855,,1.4%,,0.7%,,,,,
14,"Class A Units (10,640,642 units)(14)(16)",-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",13731,,20190,31640,0.6%,,1.4%,,0.7%,,,,,
15,Net Revenues Interest (25% of Net Revenues)(14),-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",-,,2667,31640,0.1%,,1.4%,,0.7%,,,,,
