,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
1,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
2,Control Investments (25.00% or greater of voting control),,,,,,,,,,,,
3,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",,"$ 28,900",,"$ 28,900",,"$ 28,900",,1.1%
4,,,,,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",,12500,,12500,,12500,,0.5%
5,,,,,"Convertible Preferred Stock (9,919.684 shares)",,,,9920,,9920,,0.4%
6,,,,,Common Stock (100 shares),,,,-,,374,,0.0%
7,,,,,,,,,51320,,51694,,2.0%
8,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 4/01/2013)  (3), (4)",,19837,,19837,,19837,,0.8%
9,,,,,"Subordinated Secured Note - Tranche B (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 4/01/2013)  (3), (4)",,15035,,15035,,15035,,0.6%
10,,,,,"Subordinated Unsecured Note (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 12/31/2017)  (4)",,3600,,3600,,3600,,0.1%
11,,,,,"Convertible Preferred Stock - Series A (6,142.6 shares)",,,,6057,,-,,0.0%
12,,,,,Unrestricted Common Stock (6 shares),,,,-,,-,,0.0%
13,,,,,,,,,44529,,38472,,1.5%
14,"APH Property Holdings, LLC  (32)",,Georgia / Real Estate,,"Senior Secured Note (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor) plus 2.00% PIK, due 10/24/2020)  (4)",,40018,,40018,,40018,,1.6%
15,,,,,"Common Stock (17,400 shares)",,,,7750,,7750,,0.3%
16,,,,,,,,,47768,,47768,,1.9%
17,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class A (1,800,000 units)",,,,-,,-,,0.0%
18,,,,Members Units - Class B-1 (1 unit),,,,-,,-,,0.0%,
19,,,,,"Members Units - Class B-2 (7,999,999 units)",,,,-,,-,,0.0%
20,,,,,,,,,-,,-,,0.0%
21,"Borga, Inc.",,California / Manufacturing,,"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",,1150,,1095,,480,,0.0%
22,,,,,"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",,1612,,1501,,-,,0.0%
23,,,,,"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",,9641,,706,,-,,0.0%
24,,,,,Common Stock (100 shares)  (21),,,,-,,-,,0.0%
25,,,,,"Warrants (33,750 warrants)  (21)",,,,-,,-,,0.0%
26,,,,,,,,,3302,,480,,0.0%
27,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
28,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
29,Control Investments (25.00% or greater of voting control),,,,,,,,,,,,
