,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,,,,,,,,,,,
2,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.11% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",10/1/2017,,35048,,,35048,,,35048.0,,1.1%,,,,,,,,
3,"Senior Secured Term Loan A to Spartan Energy Services, Inc. (10.04% (LIBOR + 8.00% with 1.00% LIBOR floor), due 12/31/2022)(13)",10/20/2014,13156,,13156,,13156,,0.4%,,,,,,,,,,,,,
4,"Senior Secured Term Loan B to Spartan Energy Services, Inc. (16.04% PIK (LIBOR + 14.00% with 1.00% LIBOR floor), due 12/31/2022)(13)(46)",10/20/2014,22440,,22440,,22440,,0.7%,,,,,,,,,,,,,
5,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,,,63225,,56293,,1.7%,,,,,,,,,,,,,
6,"Common Stock (102,924 shares)(16)",8/2/2013,,,81203,,2816,,0.1%,,,,,,,,,,,,,
7,,,,,,,215072,,129753,,4.0%,,,,,,,,,,,
8,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,56862,,53616,,56862,,1.8%,,,,,,,,,,,
9,"Class A Units (14,867,312 units)(14)(16)",12/28/2012,,,19331,,21219,,0.7%,,,,,,,,,,,,,
10,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,,,-,,-,,-%,,,,,,,,,,,,,
11,,,,,,,72947,,78081,,2.5%,,,,,,,,,,,
12,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (11.99% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,39917,,39917,,39917,,1.2%,,,,,,,,,,,
13,"Senior Secured Term Loan (11.24% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,19198,,19198,,19198,,0.6%,,,,,,,,,,,,,
14,Membership Interest (100%)(16),3/31/2014,,,22738,,31279,,1.0%,,,,,,,,,,,,,
15,,,,,,,81853,,90394,,2.8%,,,,,,,,,,,
16,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,278043,,278043,,278043,,8.5%,,,,,,,,,,,
17,"Class A Units (95,709,910 units)(14)(16)",6/14/2012,,,81146,,218976,,6.7%,,,,,,,,,,,,,
18,,,,,,,359189,,497019,,15.2%,,,,,,,,,,,
19,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),11/9/2006,,,43892,,14920,,0.5%,,,,,,,,,,,
20,,,,,,,43892,,14920,,0.5%,,,,,,,,,,,
21,"InterDent, Inc.(29)",Health Care Providers & Services,"Senior Secured Term Loan A/B (7.10% (LIBOR + 5.05% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,,14000,,14000,,0.4%,,,,,,,,,,,
