,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,,,,,,,,,,,,,,
3,CP Energy Services Inc. (20),Energy Equipment & Services,Senior Secured Term Loan,10/1/2017,12.00% (3ML+ 11.00%),1.00,,12/29/2022,,36744,,,36744,,,36744,,1.2%,(10)(45),,,,,,
4,"Senior Secured Term Loan A to Spartan Energy Services, LLC",10/20/2014,9.00% (1ML+ 8.00%),1.00,,12/31/2022,13156,,13156,,13156,,0.4%,(10),,,,,,,,,,,
5,"Senior Secured Term Loan B to Spartan Energy Services, LLC",10/20/2014,15.00% PIK (1ML+ 14.00%),1.00,,12/31/2022,25234,,23360,,5555,,0.1%,(9)(10),,,,,,,,,,,
6,Series B Convertible Preferred Stock (790 shares),10/30/2015,,-,,,-,,63225,,14430,,0.5%,(16),,,,,,,,,,,
7,"Common Stock (102,924 shares)",8/2/2013,,-,,,-,,86241,,-,,-%,(16),,,,,,,,,,,
8,,,,,,,,,,222726,,69885,,2.2%,,,,,,,,,,,
9,"Credit Central Loan Company, LLC (21)",Consumer Finance,Subordinated Term Loan,12/28/2012,10.00% plus 10.00% PIK,-,,6/26/2024,62859,,59870,,62859,,2.1%,(14)(45),,,,,,,,,
10,"Class A Units (14,867,312 units)",12/28/2012,,-,,,-,,19331,,12826,,0.4%,(14)(16),,,,,,,,,,,
11,Net Revenues Interest (25% of Net Revenues),1/28/2015,,-,,,-,,-,,-,,-%,(14)(16),,,,,,,,,,,
12,,,,,,,,,,79201,,75685,,2.5%,,,,,,,,,,,
13,"Echelon Transportation, LLC",Aerospace & Defense,Senior Secured Term Loan,3/31/2014,11.75% (1ML+ 9.75%) plus 2.25% PIK,2.00,,3/31/2022,45072,,45072,,45072,,1.4%,(10)(45),,,,,,,,,
14,Senior Secured Term Loan,12/9/2016,11.00% (1ML+ 9.00%) plus 1.00% PIK,2.00,,12/7/2024,20399,,20399,,20399,,0.7%,(10)(45),,,,,,,,,,,
15,Membership Interest (100%),3/31/2014,,-,,,-,,22737,,20156,,0.7%,(16),,,,,,,,,,,
16,,,,,,,,,,88208,,85627,,2.8%,,,,,,,,,,,
17,First Tower Finance Company LLC (23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC",6/24/2014,10.00% plus 10.50% PIK,-,,6/24/2024,277069,,277069,,277069,,9.0%,(14)(45),,,,,,,,,
18,"Class A Units (95,709,910 units)",6/14/2012,,-,,,-,,81146,,231396,,7.6%,(14)(16),,,,,,,,,,,
19,,,,,,,,,,358215,,508465,,16.6%,,,,,,,,,,,
20,"Freedom Marine Solutions, LLC (24)",Energy Equipment & Services,Membership Interest (100%),11/9/2006,,-,,,-,,43892,,12351,,0.4%,(16),,,,,,,,,
21,,,,,,,,,,43892,,12351,,0.4%,,,,,,,,,,,
22,"InterDent, Inc. (29)",Health Care Providers & Services,Senior Secured Term Loan A/B,8/1/2018,7.05% (1ML+ 5.05%),2.00,,9/5/2020,14249,,14249,,14249,,0.5%,(10)(45),,,,,,,,,
23,Senior Secured Term Loan A,8/3/2012,6.25% (1ML+ 5.50%),0.75,,9/5/2020,79242,,79242,,79242,,2.6%,(10)(45),,,,,,,,,,,
24,Senior Secured Term Loan B,8/3/2012,10.00% PIK,-,,9/5/2020,128443,,128443,,128443,,4.2%,(45),,,,,,,,,,,
25,Senior Secured Term Loan C,3/22/2018,18.00% PIK,-,,9/5/2020,48929,,35767,,8823,,0.3%,(9),,,,,,,,,,,
26,Senior Secured Term Loan D,9/19/2018,1.00% PIK,-,,9/5/2020,9458,,9351,,-,,-%,(9),,,,,,,,,,,
27,"Common Stock (99,900 shares)",5/3/2019,,-,,,-,,1,,-,,-%,(16),,,,,,,,,,,
28,,,,,,,,,267053,,230757,,7.6%,,,,,,,,,,,,
29,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%),8/26/2019,,-,,,-,,2378,,3286,,0.1%,(16),,,,,,,,,
30,,,,,,,,,,2378,,3286,,0.1%,,,,,,,,,,,
31,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
32,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
33,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,,,,,,,,,,,,,,
34,"MITY, Inc. (25)",Commercial Services & Supplies,Senior Secured Note A,9/19/2013,10.00% (3ML+ 7.00%),3.00,,4/30/2025,,26250,,,26250,,,26250,,0.9%,(10),,,,,,
35,Senior Secured Note B,6/23/2014,10.00% (3ML+ 7.00%) plus 10.00% PIK,3.00,,4/30/2025,33008,,33008,,25655,,0.8%,(10)(45),,,,,,,,,,,
36,Subordinated Unsecured Note to Broda Enterprises ULC,9/19/2013,10.00%,-,,1/1/2028,7200,,6350,,-,,-%,(14),,,,,,,,,,,
37,"Common Stock (42,053 shares)",9/19/2013,,-,,,-,,6849,,-,,-%,(16),,,,,,,,,,,
38,,,,,,,,,,72457,,51905,,1.7%,,,,,,,,,,,
39,National Property REIT Corp. (26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,Senior Secured Term Loan A,12/31/2018,4.44% (3ML+ 1.44%) plus 3.53% PIK,3.00,,12/31/2023,302633,,302633,,302633,,9.9%,(10)(45),,,,,,,,,
40,Senior Secured Term Loan B,12/31/2018,5.00% (3ML+ 2.00%) plus 5.50% PIK,3.00,,12/31/2023,45950,,45950,,45950,,1.5%,(10)(45),,,,,,,,,,,
41,Senior Secured Term Loan C,10/31/2019,11.00% (3ML+ 10.00%) plus 2.25% PIK,1.00,,12/31/2023,79200,,79200,,79200,,2.6%,(10)(45),,,,,,,,,,,
42,Senior Secured Term Loan D,6/19/2020,3.50% (3ML+ 0.50%) plus 2.50% PIK,3.00,,12/31/2023,183425,,183425,,183425,,6.0%,(10)(45),,,,,,,,,,,
43,Residual Profit Interest,12/31/2018,,-,,,-,,-,,21461,,0.7%,(37),,,,,,,,,,,
44,"Common Stock (3,254,594 shares)",12/31/2013,,-,,,-,,210,,246064,,8.1%,,,,,,,,,,,,
45,,,,,,,,,,611418,,878733,,28.8%,,,,,,,,,,,
46,Nationwide Loan Company LLC (27),Consumer Finance,Senior Subordinated Term Loan to Nationwide Acceptance LLC,6/18/2014,10.00% plus 10.00% PIK,-,,6/18/2021,20087,,20087,,20087,,0.6%,(14)(45),,,,,,,,,
