,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)  (40),,,,,,,,,,,,,,
2,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",,"$ 28,600",,"$ 28,600",,"$ 28,600",,1.0%,,
3,,,,,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",,12500,,12500,,12500,,0.4%,,
4,,,,,"Convertible Preferred Stock (9,919.684 shares)",,,,9920,,8920,,0.3%,,
5,,,,,Common Stock (100 shares),,,,-,,1391,,0.1%,,
6,,,,,,,,,51020,,51411,,1.8%,,
7,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",,19636,,19636,,19636,,0.7%,,
8,,,,,"Subordinated Unsecured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 3/30/2018)  (4)",,20008,,20008,,8448,,0.3%,,
9,,,,,"Convertible Preferred Stock - Series A (6,142.6 shares)",,,,6057,,-,,0.0%,,
10,,,,,Unrestricted Common Stock (6 shares),,,,-,,-,,0.0%,,
11,,,,,,,,,45701,,28084,,1.0%,,
12,"APH Property Holdings, LLC  (32)",,Georgia / Real Estate,,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,127374,,127374,,127374,,4.4%,,
13,,,,,"Common Stock (148,951 shares)",,,,26648,,26648,,0.9%,,
14,,,,,,,,,154022,,154022,,5.3%,,
15,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class A (1,800,000 units)",,,,-,,-,,0.0%,,
16,,,,,Members Units - Class B-1 (1 unit),,,,-,,-,,0.0%,,
17,,,,,"Members Units - Class B-2 (7,999,999 units)",,,,-,,-,,0.0%,,
18,,,,,,,,,-,,-,,0.0%,,
19,"Borga, Inc.",,California / Manufacturing,,"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",,1150,,1095,,562,,0.0%,,
20,,,,,"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",,1612,,1501,,-,,0.0%,,
21,,,,,"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",,9839,,707,,-,,0.0%,,
22,,,,,Common Stock (100 shares)  (21),,,,-,,-,,0.0%,,
23,,,,,"Warrants (33,750 warrants)  (21)",,,,-,,-,,0.0%,,
24,,,,,,,,,3303,,562,,0.0%,,
25,CCPI Holdings Inc.  (33),,Ohio / Manufacturing,,"Senior Secured Note (10.00%, due 12/31/2017)  (3)",,17550,,17550,,17550,,0.6%,,
26,,,,,"Senior Secured Note (12.00% plus 7.00% PIK, due 6/30/2018)",,7933,,7933,,7933,,0.3%,,
27,,,,,Common Stock (100 shares),,,,8581,,8012,,0.3%,,
28,,,,,Net Revenue Interest (4% of Net Revenue),,,,-,,428,,0.0%,,
29,,,,,,,,,34064,,33923,,1.2%,,
30,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets,
31,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,,,
32,Control Investments (greater than 25.00% voting control)  (40),,,,,,,,,,,,,,
33,CP Holdings of Delaware LLC  (38),,Oklahoma / Oil & Gas Production,,"Senior Secured Note (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 8/2/2018)  (4)",,"$ 58,773",,"$ 58,773",,"$ 58,773",,2.0%,,
34,,,,,"Senior Secured Note (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor), due 8/2/2018)  (4)",,22500,,22500,,22500,,0.8%,,
35,,,,,Common Stock (100 shares),,,,12741,,10750,,0.4%,,
36,,,,,,,,,94014,,92023,,3.2%,,
37,"Credit Central Holdings of Delaware, LLC  (22), (34)",,Ohio / Consumer Finance,,"Senior Secured Revolving Credit Facility - $60,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 12/31/2022)  (4), (25)",,38082,,38082,,38082,,1.3%,,
38,,,,,Common Stock (100 shares),,,,9581,,12237,,0.4%,,
39,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,3040,,0.1%,,
40,,,,,,,,,47663,,53359,,1.8%,,
41,"Energy Solutions Holdings, Inc.  (8)",,Texas / Energy,,"Junior Secured Note (18.00%, due 12/12/2016)",,4250,,4250,,4250,,0.2%,,
42,,,,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",,3500,,3500,,3500,,0.1%,,,
43,,,,,"Subordinated Secured Note to Freedom Marine Holdings, LLC (12.00% (LIBOR + 6.11% with 5.89% LIBOR floor) plus 4.00% PIK, in non-accrual status effective 10/1/2010, past due)  (4)",,14048,,12504,,9750,,0.3%,,
44,,,,,"Senior Secured Debt to Yatesville Coal Holdings, Inc. (Non-accrual status effective 1/1/2009, past due)",,1449,,1449,,-,,0.0%,,
45,,,,,Common Stock (100 shares),,,,8318,,6090,,0.2%,,
46,,,,,,,,,30021,,23590,,0.8%,,
47,"First Tower Holdings of Delaware, LLC  (22), (29)",,Mississippi / Consumer Finance,,"Senior Secured Revolving Credit Facility - $400,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 6/30/2022)  (4), (25)",,264760,,264760,,264760,,9.1%,,
48,,,,,"Common Stock (83,729,323 shares)",,,,43193,,34937,,1.2%,,
49,,,,,Net Revenue Interest (5% of Net Revenue & Distributions),,,,-,,13976,,0.5%,,
50,,,,,,,,,307953,,313673,,10.8%,,
51,"The Healing Staff, Inc.  (9)",,North Carolina / Contracting,,"Secured Promissory Notes (15.00%, in non-accrual status effective 12/22/2010, past due)",,1688,,1686,,-,,0.0%,,
52,,,,,"Senior Demand Note (15.00%, in non-accrual status effective 11/1/2010, past due)",,1170,,1170,,-,,0.0%,,
53,,,,,"Common Stock (1,000 shares)",,,,975,,-,,0.0%,,
54,,,,,,,,,3831,,-,,0.0%,,
55,"Manx Energy, Inc.  (12)",,Kansas / Oil & Gas Production,,"Senior Secured Note (13.00%, in non-accrual status effective 1/19/2010, past due)",,500,,500,,413,,0.0%,,
56,,,,,"Preferred Stock (6,635 shares)",,,,-,,-,,0.0%,,
57,,,,,"Common Stock (17,082 shares)",,,,-,,-,,0.0%,,
58,,,,,,,,,500,,413,,0.0%,,
59,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets,
60,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,,,
61,Control Investments (greater than 25.00% voting control)  (40),,,,,,,,,,,,,,
62,MITY Holdings of Delaware Inc.  (17),,Utah / Durable Consumer Products,,"Senior Secured Note (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 9/19/2019)  (4)",,"$ 22,792",,"$ 22,792",,"$ 22,792",,0.8%,,
63,,,,,"Senior Secured Note (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)  (4)",,18250,,18250,,18250,,0.6%,,
64,,,,,Common Stock (100 shares),,,,6943,,6943,,0.2%,,
65,,,,,,,,,47985,,47985,,1.6%,,
66,"Nationwide Acceptance Holdings, LLC  (22), (36)",,Illinois / Consumer Finance,,"Senior Secured Revolving Credit Facility - $30,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 1/31/2023)  (4), (25)",,21308,,21308,,21308,,0.7%,,
67,,,,,Membership Units (100 shares),,,,3843,,3843,,0.1%,,
68,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,1869,,0.1%,,
69,,,,,,,,,25151,,27020,,0.9%,,
70,"NMMB Holdings, Inc.  (24)",,New York / Media,,"Senior Term Loan (14.00%, due 5/6/2016)",,16000,,16000,,10727,,0.4%,,
71,,,,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)",,2800,,2800,,-,,0.0%,,,
72,,,,,"Series A Preferred Stock (4,400 shares)",,,,4400,,-,,0.0%,,
73,,,,,,,,,23200,,10727,,0.4%,,
74,"R-V Industries, Inc.",,Pennsylvania / Manufacturing,,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)  (3), (4)",,32750,,32750,,32750,,1.1%,,
75,,,,,"Warrants (200,000 warrants, expiring 6/30/2017)",,,,1682,,6754,,0.2%,,
76,,,,,"Common Stock (545,107 shares)",,,,5087,,18409,,0.7%,,
77,,,,,,,,,39519,,57913,,2.0%,,
78,"Valley Electric Holdings I, Inc.  (35)",,Washington / Construction & Engineering,,"Senior Secured Note (9.00% (LIBOR + 6.00%, with 3.00% LIBOR floor) plus 9.00% PIK, due 12/31/2018)  (4)",,34846,,34846,,33533,,1.2%,,
79,,,,,"Senior Secured Note (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)  (3), (4)",,10040,,10040,,10040,,0.3%,,
80,,,,,"Common Stock (50,000 shares)",,,,9526,,3139,,0.1%,,
81,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,899,,0.0%,,
82,,,,,,,,,54412,,47611,,1.6%,,
83,"Wolf Energy Holdings, Inc.  (12), (37)",,Kansas / Oil & Gas Production,,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",,22000,,-,,4210,,0.2%,,
84,,,,,"Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status effective 1/19/2010, past due)",,2698,,2000,,474,,0.0%,,
85,,,,,"Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status, past due)",,52,,50,,52,,0.0%,,
86,,,,,"Coalbed, LLC - Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, past due)  (6)",,8098,,5991,,-,,0.0%,,
87,,,,,Common Stock (100 shares),,,,-,,-,,0.0%,,
88,,,,,Net Profits Interest (8.00% payable on Equity distributions)  (7),,,,-,,520,,0.0%,,
89,,,,,,,,,8041,,5256,,0.2%,,
90,,,,,Total Control Investments,,970400,,947572,,32.6%,,,,
91,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets,
92,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,,,
93,Affiliate Investments (5.00% to 24.99% voting control)  (41),,,,,,,,,,,,,,
94,BNN Holdings Corp. (f/k/a Biotronic NeuroNetwork),,Michigan / Healthcare,,"Senior Secured Note (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 12/17/2017)  (3), (4)",,"$ 29,400",,"$ 29,400",,"$ 29,400",,1.0%,,
95,,,,,"Preferred Stock Series A (9,925.455 shares)  (13)",,,,2300,,1805,,0.1%,,
96,,,,,"Preferred Stock Series B (1,753.64 shares)  (13)",,,,579,,384,,0.0%,,
97,,,,,,,,,32279,,31589,,1.1%,,
98,Boxercraft Incorporated  (20),,Georgia / Textiles & Leather,,"Senior Secured Term Loan A (10.00% plus 1.00% PIK, due 9/15/2015)",,1717,,1717,,1717,,0.1%,,
99,,,,,"Senior Secured Term Loan B (10.00% plus 1.00% PIK, due 9/15/2015)",,4905,,4905,,3801,,0.1%,,
100,,,,,"Senior Secured Term Loan C (10.00% plus 1.00% PIK, due 9/15/2015)",,2377,,2377,,-,,0.0%,,
101,,,,,"Senior Secured Term Loan (10.00% plus 1.00% PIK, due 9/15/2015)",,8346,,8046,,-,,0.0%,,
102,,,,,"Preferred Stock (1,000,000 shares)",,,,-,,-,,0.0%,,
103,,,,,"Common Stock (10,000 shares)",,,,-,,-,,0.0%,,
104,,,,,"Warrants (1 warrant, expiring 8/31/2022)",,,,-,,-,,0.0%,,
105,,,,,,,,,17045,,5518,,0.2%,,
106,"Smart, LLC  (14)",,New York / Diversified / Conglomerate Service,,Membership Interest,,,,-,,318,,0.0%,,
107,,,,,,,,,-,,318,,0.0%,,
108,,,,,Total Affiliate Investments,,49324,,37425,,1.3%,,,,
109,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,,,
