,0,1,2,3,4,5,6,7,8,9,10,11
0,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",,69635,,,69635,,,69635.0,2.0%
1,"Common Stock (307,846 shares)",Various / Real Estate,24383,,34319,,1.0%,69635,,,,
2,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,,7360,,0.2%,69635,,,,
3,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,,94018,,111314,69635,3.2%,,,
4,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",,94018,31640,111314,33882,,1.0%,,
5,"Class E Units (21,080 units)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",20230,94018,18942,111314,0.6%,,,,
6,Class A Units (700 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",9006,94018,-,111314,-%,,,,
7,Class C Units (10 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,94018,-,111314,-%,,,,
8,Class C Units (10 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,60876,-,52824,-%,1.6%,,,
9,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12538,60876,12538,52824,12538,,0.4%,,
10,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9158,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",9158,60876,9158,52824,0.3%,,,,
11,"Common Stock (14,857 shares)",9158,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6636,60876,19294,52824,0.6%,,,,
12,"Common Stock (14,857 shares)",9158,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6636,28332,19294,40990,0.6%,1.3%,,,
13,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",6636,28332,98273,40990,75501,,2.2%,,
14,"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",15227,28332,-,40990,-%,,,,
15,"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",15227,113500,-,75501,-%,2.2%,,,
16,"Credit Central Loan Company, LLC(34)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",36333,113500,36333,75501,36333,,1.1%,,
17,"Class A Shares (7,500,000 shares)(22)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",11633,113500,13938,75501,0.4%,,,,
18,Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",-,113500,3920,75501,0.1%,,,,
19,Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",-,47966,3920,54191,0.1%,1.6%,,,
20,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",40808,47966,40808,54191,40808,,1.2%,,
21,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,47966,25480,54191,0.7%,,,,
22,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,60715,25480,66288,0.7%,1.9%,,,
23,"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(19)(25)",19907,60715,-,66288,-,,-%,,
24,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(6)",6077,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(19)(25)",6077,60715,6077,66288,0.2%,,,,
25,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(6)",27430,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(19)(25)",20931,60715,21192,66288,0.6%,,,,
26,"Class A Common Units (370,964.14 units)",27430,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(19)(25)",6577,60715,8400,66288,0.2%,,,,
27,"Class A Common Units (370,964.14 units)",27430,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(19)(25)",6577,33585,8400,35669,0.2%,1.0%,,,
28,First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(22)",255249,33585,255249,35669,255249,,7.4%,,
29,"Class A Shares (86,711,624.89 shares)(22)",Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(22)",70476,33585,102822,35669,3.0%,,,,
