,0,1,2,3,4,5,6,7,8,9,10,11
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,
2,"Arctic Energy Services, LLC(18)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(16)",,,31640,,,17370,,0.5%,
3,"Class E Units (21,080 units)(16)",,20230,,-,,-%,,,,,
4,Class A Units (700 units)(16),,9006,,-,,-%,,,,,
5,Class C Units (10 units)(16),,-,,-,,-%,,,,,
6,,,,,60876,,17370,,0.5%,,,
7,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2966,,2966,,2966,,0.1%,,
8,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(48)",18216,,18216,,18216,,0.5%,,,,
9,"Common Stock (14,857 shares)",,6759,,21870,,0.7%,,,,,
10,,,,,27941,,43052,,1.3%,,,
11,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(16)",,98273,,72216,,2.2%,,,
12,"Common Stock (2,924 shares)(16)",,15227,,-,,-%,,,,,
13,,,,,113500,,72216,,2.2%,,,
14,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(48)",51855,,45255,,51855,,1.5%,,
15,"Class A Units (10,640,642 units)(14)(16)",,13731,,9881,,0.3%,,,,,
16,Net Revenues Interest (25% of Net Revenues)(14)(16),,-,,2699,,0.1%,,,,,
17,,,,,58986,,64435,,1.9%,,,
18,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(48)",31055,,31055,,31055,,0.9%,,
19,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(13)(48)",16044,,16044,,16044,,0.5%,,,,
20,Membership Interest (99%),,22738,,24219,,0.7%,,,,,
21,,,,,69837,,71318,,2.1%,,,
22,"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",7834,,7834,,7834,,0.2%,,
23,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(48)",6905,,6905,,6905,,0.2%,,,,
24,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 6/9/2020)",31870,,23829,,31870,,1.0%,,,,
25,"Class A Units (370,964 units)(16)",,6577,,286,,-%,,,,,
26,,,,,45145,,46895,,1.4%,,,
27,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(48)",261114,,261114,,261114,,7.8%,,
28,"Class A Units (93,997,533 units)(14)(16)",,78481,,104474,,3.1%,,,,,
29,,,,,339595,,365588,,10.9%,,,
30,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),,42610,,23994,,0.7%,,,
31,,,,,42610,,23994,,0.7%,,,
32,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
33,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
34,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,
35,"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",,26250,,,26250,,,26250.0,0.8%
