,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,,,,,,,,,,,
1,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (12.46% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)(46)",10/1/2017,,35622,,,35622,,,35622.0,,1.2%,,,,,,,,
2,"Senior Secured Term Loan A to Spartan Energy Services, Inc. (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 12/31/2022)(13)",10/20/2014,13156,,13156,,13156,,0.5%,,,,,,,,,,,,,
3,"Senior Secured Term Loan B to Spartan Energy Services, Inc. (15.00% PIK (LIBOR + 14.00% with 1.00% LIBOR floor), in non-accrual status effective 1/1/2020, due 12/31/2022)(13)",10/20/2014,24302,,23361,,6400,,0.2%,,,,,,,,,,,,,
4,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,,,63225,,17591,,0.6%,,,,,,,,,,,,,
5,"Common Stock (102,924 shares)(16)",8/2/2013,,,86241,,-,,-%,,,,,,,,,,,,,
6,,,,,,,221605,,72769,,2.5%,,,,,,,,,,,
7,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,59785,,56705,,59785,,2.0%,,,,,,,,,,,
8,"Class A Units (14,867,312 units)(14)(16)",12/28/2012,,,19331,,11802,,0.4%,,,,,,,,,,,,,
9,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,,,-,,-,,-%,,,,,,,,,,,,,
10,,,,,,,76036,,71587,,2.4%,,,,,,,,,,,
11,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,42572,,42572,,42572,,1.5%,,,,,,,,,,,
12,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,20399,,20399,,20399,,0.7%,,,,,,,,,,,,,
13,Membership Interest (100%)(16),3/31/2014,,,22738,,21869,,0.7%,,,,,,,,,,,,,
14,,,,,,,85709,,84840,,2.9%,,,,,,,,,,,
15,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,274350,,274350,,274350,,9.3%,,,,,,,,,,,
16,"Class A Units (95,709,910 units)(14)(16)",6/14/2012,,,81146,,198835,,6.8%,,,,,,,,,,,,,
17,,,,,,,355496,,473185,,16.1%,,,,,,,,,,,
18,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),11/9/2006,,,43892,,15418,,0.5%,,,,,,,,,,,
19,,,,,,,43892,,15418,,0.5%,,,,,,,,,,,
20,"InterDent, Inc.(29)",Health Care Providers & Services,"Senior Secured Term Loan A/B (7.05% (LIBOR + 5.05% with 2.00% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,,14000,,14000,,0.5%,,,,,,,,,,,
21,"Senior Secured Term Loan A (6.49% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,,77994,,77994,,2.6%,,,,,,,,,,,,,
22,"Senior Secured Term Loan B (10.00% PIK, due 9/5/2020)(46)",8/3/2012,125276,,125276,,110358,,3.8%,,,,,,,,,,,,,
23,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,46800,,35766,,-,,-%,,,,,,,,,,,,,
24,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,8834,,8751,,-,,-%,,,,,,,,,,,,,
25,"Common Stock (99,900 shares)(16)",5/3/2019,,,1,,-,,-%,,,,,,,,,,,,,
26,,,,,,,261788,,202352,,6.9%,,,,,,,,,,,
27,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
28,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,,,,,,,,,,,
29,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%)(16),8/26/2019,,,,2378,,,3838,,0.1%,,,,,,,,,
30,,,,,,,2378,,3838,,0.1%,,,,,,,,,,,
31,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 6/30/2020)(3)(11)",9/19/2013,,26250,,26250,,26250,,0.9%,,,,,,,,,,
32,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 6/30/2020)(3)(11)(46)",9/19/2013,32187,,32187,,28923,,1.0%,,,,,,,,,,,,,
33,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5683,,6488,,-,,-%,,,,,,,,,,,,,
34,"Common Stock (42,053 shares)(16)",9/19/2013,,,6849,,-,,-%,,,,,,,,,,,,,
35,,,,,,,71774,,55173,,1.9%,,,,,,,,,,,
36,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,311218,,311218,,311218,,10.6%,,,,,,,,,,,
37,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,59316,,59316,,57639,,2.0%,,,,,,,,,,,,,
38,"Senior Secured Term Loan C (13.46% (LIBOR + 12.00% with 1.00% LIBOR floor) plus 2.25% PIK, due 12/31/2023)(11)(46)",10/31/2019,78359,,78359,,78359,,2.7%,,,,,,,,,,,,,
39,Residual Profit Interest(37),12/31/2018,,,-,,36934,,1.2%,,,,,,,,,,,,,
40,"Common Stock (3,253,060 shares)(52)",12/31/2013,,,183426,,415862,,14.2%,,,,,,,,,,,,,
41,,,,,,,632319,,900012,,30.7%,,,,,,,,,,,
42,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2020)(14)(46)",6/18/2014,19588,,19588,,19588,,0.7%,,,,,,,,,,,
43,"Class A Units (38,550,460 units)(14)",1/31/2013,,,20462,,15678,,0.5%,,,,,,,,,,,,,
44,,,,,,,40050,,35266,,1.2%,,,,,,,,,,,
