,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
1,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",Principal Value,2881,Fair  Value(2),% of Net Assets,2881,,,2881.0,,0.1%,,,,,
2,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17819,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",17819,2881,17819,% of Net Assets,0.5%,,,2881.0,,0.1%,,,,,
3,"Common Stock (14,857 shares)(16)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,2881,15056,% of Net Assets,0.4%,,,2881.0,,0.1%,,,,,
4,"Common Stock (14,857 shares)(16)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,2881,27459,% of Net Assets,35756,,1.0%,2881.0,,0.1%,,,,,
5,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",35048,2881,35048,% of Net Assets,35048,,1.0%,2881.0,,0.1%,,,,,
6,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",-,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",63225,2881,63225,% of Net Assets,1.9%,,1.0%,2881.0,,0.1%,,,,,
7,"Common Stock (102,924 shares)(16)",-,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",81203,2881,24988,% of Net Assets,0.7%,,1.0%,2881.0,,0.1%,,,,,
8,"Common Stock (102,924 shares)(16)",-,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",81203,2881,179476,% of Net Assets,123261,,3.6%,2881.0,,0.1%,,,,,
9,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",51855,2881,47496,% of Net Assets,51855,,1.5%,2881.0,,0.1%,,,,,
10,"Class A Units (10,640,642 units)(14)(16)",-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",13731,2881,23196,% of Net Assets,0.7%,,1.5%,2881.0,,0.1%,,,,,
11,Net Revenues Interest (25% of Net Revenues)(14)(16),-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",-,2881,1626,% of Net Assets,0.1%,,1.5%,2881.0,,0.1%,,,,,
12,Net Revenues Interest (25% of Net Revenues)(14)(16),-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",-,2881,61227,% of Net Assets,76677,,2.3%,2881.0,,0.1%,,,,,
13,"Echelon Transportation, LLC (f/a/a Echelon Aviation, LLC)",New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",31055,2881,31055,% of Net Assets,31055,,0.9%,2881.0,,0.1%,,,,,
14,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",16044,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",16044,2881,16044,% of Net Assets,0.5%,,0.9%,2881.0,,0.1%,,,,,
15,Membership Interest (100%)(16),-,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",22738,2881,35179,% of Net Assets,1.0%,,0.9%,2881.0,,0.1%,,,,,
