,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,
3,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",,78635,,,78635,,,78635.0,2.2%
4,"Common Stock (301,845 shares)",,22912,,33531,,0.9%,,,,,
5,Net Operating Income Interest (5% of Net Operating Income),,-,,8182,,0.2%,,,,,
6,,,,,101547,,120348,,3.3%,,,
7,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,Class D Units (32915.09 units),,31640,,32915,,1.0%,,,
8,"Class E Units (21,080 units)",,20230,,21080,,0.6%,,,,,
9,Class A Units (700 units),,9006,,1600,,-%,,,,,
10,Class C Units (10 units),,-,,745,,-%,,,,,
11,,,,,60876,,56340,,1.6%,,,
12,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12650,,12650,,12650,,0.4%,,
13,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9000,,9000,,9000,,0.2%,,,,
14,"Common Stock (14,857 shares)",,6636,,14756,,0.4%,,,,,
15,,,,,28286,,36406,,1.0%,,,
16,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(20)",11035,,11035,,11035,,0.3%,,
17,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, in non-accrual status effective 9/30/2015, due 4/1/2019)(3)(4)(6)(20)",75930,,72238,,71826,,2.0%,,,,
18,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(6)(20)",15924,,15000,,-,,-%,,,,
19,"Common Stock (2,924 shares)",,15227,,-,,-%,,,,,
20,,,,,113500,,82861,,2.3%,,,
21,"Credit Central Loan Company, LLC(34)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",36333,,36333,,36333,,1.1%,,
22,"Class A Shares (7,500,000 shares)(22)",,,11633,,16110,,0.4%,,,,
23,Net Revenues Interest (25% of Net Revenues)(22),,-,,4066,,0.1%,,,,,
24,,,,,47966,,56509,,1.6%,,,
25,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",40808,,40808,,40808,,1.2%,,
26,Membership Interest (99%),,,19907,,19745,,0.5%,,,,
27,,,,,60715,,60553,,1.7%,,,
28,"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",-,,-,,-,,-%,,
29,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(6)",5948,,5948,,5875,,0.2%,,,,
30,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(6)",26746,,20249,,19868,,0.5%,,,,
