,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,
3,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,78077,,,78077,,,78077.0,2.1%
4,"Common Stock (301,845 shares)",,22115,,32098,,0.9%,,,,,
5,Net Operating Income Interest (5% of Net Operating Income),,-,,8081,,0.2%,,,,,
6,,,,,100192,,118256,,3.2%,,,
7,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,,31640,,31640,,0.9%,,
8,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,,20230,,20230,,0.5%,,,,
9,Class A Units (700 units),,8879,,8374,,0.2%,,,,,
10,Class C Units (10 units),,127,,120,,-%,,,,,
11,,,,,60876,,60364,,1.6%,,,
12,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16763,,16763,,16763,,0.5%,,
13,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8844,,8844,,8844,,0.2%,,,,
14,"Common Stock (14,857 shares)",,8553,,15745,,0.4%,,,,,
15,,,,,34160,,41352,,1.1%,,,
16,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,,11035,,11035,,0.3%,,
17,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(3)(4)",74493,,74493,,74493,,2.0%,,,,
18,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15563,,15563,,5481,,0.2%,,,,
19,"Common Stock (2,924 shares)",,15227,,-,,-%,,,,,
20,,,,,116318,,91009,,2.5%,,,
21,"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,,36333,,36333,,1.0%,,
22,"Class A Shares (7,500,000 shares)(22)",,11633,,14529,,0.4%,,,,,
23,Net Revenues Interest (25% of Net Revenues)(22),,-,,4310,,0.1%,,,,,
24,,,,,47966,,55172,,1.5%,,,
25,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",40808,,40808,,40808,,1.1%,,
26,"Class A Shares (11,335,318 shares)",,19907,,28133,,0.8%,,,,,
27,,,,,60715,,68941,,1.9%,,,
28,"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",4896,,4896,,4896,,0.1%,,
29,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)",5875,,5875,,5875,,0.2%,,,,
