,0,1,2,3,4,5,6,7,8,9,10,11
0,AMU Holdings Inc.(27),Pennsylvania / Property Management,"Senior Secured Term Loan A to Airmall Inc. (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)(3)(4)",,27587,,,27587,,,27587.0,0.8%
1,"Senior Secured Term Loan B to Airmall Inc. (12.00% plus 6.00% PIK, due 12/31/2015)",19993,"Senior Secured Term Loan A to Airmall Inc. (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)(3)(4)",19993,27587,17697,,0.5%,,,,
2,"Series A Preferred Stock of AMU Holdings Inc. (9,919.684 shares)",19993,9920,19993,-,17697,-%,0.5%,,,,
3,Common Stock of AMU Holdings Inc. (100 shares),19993,-,19993,-,17697,-%,0.5%,,,,
4,Common Stock of AMU Holdings Inc. (100 shares),19993,-,19993,57500,17697,45284,0.5%,1.3%,,,
5,"APH Property Holdings, LLC(32)",Florida / Real Estate,"Senior Term Loan to American Property REIT Corp. (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",167743,57500,167743,45284,167743,,4.6%,,
6,"Membership Interest in APH Property Holdings, LLC",Florida / Real Estate,35024,167743,38416,167743,1.1%,167743,,,,
7,"Membership Interest in APH Property Holdings, LLC",Florida / Real Estate,35024,167743,202767,167743,206159,167743,5.7%,,,
8,"Arctic Oilfield Equipment USA, Inc. (45)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan to Arctic Energy Services, LLC (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(4)",31640,202767,31640,206159,31640,,0.9%,,
9,"Senior Subordinated Term Loan to Arctic Energy Services, LLC (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(4)",20230,"Senior Secured Term Loan to Arctic Energy Services, LLC (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(4)",20230,202767,20230,206159,0.6%,,,,
10,"Common Stock of Arctic Oilfield Equipment USA, Inc. (100 shares)",20230,9006,20230,9244,20230,0.2%,0.6%,,,,
11,"Common Stock of Arctic Oilfield Equipment USA, Inc. (100 shares)",20230,9006,20230,60876,20230,61114,0.6%,1.7%,,,
12,"ARRM Services, Inc.  (f/k/a ARRM Holdings Inc.)(42)",South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19337,60876,19337,61114,19337,,0.5%,,
13,"Series B Preferred Stock of ARRM Services, Inc. (25,000 shares)",South Carolina / Manufacturing,21156,19337,6199,19337,0.2%,19337,,,,
14,"Series A Convertible Preferred Stock of ARRM Services, Inc. (6,142.60 shares)",South Carolina / Manufacturing,6057,19337,-,19337,-%,19337,,,,
15,"Common Stock of ARRM Services, Inc. (6.00 shares)",South Carolina / Manufacturing,-,19337,-,19337,-%,19337,,,,
16,"Common Stock of ARRM Services, Inc. (6.00 shares)",South Carolina / Manufacturing,-,19337,46550,19337,25536,19337,0.7%,,,
17,"AWC, LLC(19)",North Carolina / Machinery,"Members Units – Class A (1,800,000 units)",19337,-,19337,-,19337,-%,,,
18,Members Units – Class B-1 (1 unit),North Carolina / Machinery,-,19337,-,19337,-%,19337,,,,
19,"Members Units – Class B-2 (7,999,999 units)",North Carolina / Machinery,-,19337,-,19337,-%,19337,,,,
20,"Members Units – Class B-2 (7,999,999 units)",North Carolina / Machinery,-,19337,-,19337,-,19337,-%,,,
21,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,19337,,,,
22,"BXC Company, Inc.  (f/k/a BXC Holding Company)(20)","Georgia / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",Principal Value,1629,Fair  Value(2),% of Net Assets,1621,,,1629.0,0.1%
23,"Senior Secured Term Loan B to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",4942,"Senior Secured Term Loan A to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",4917,1629,486,% of Net Assets,-%,,,,
24,"Senior Secured Term Loan C to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",2395,"Senior Secured Term Loan A to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",2383,1629,-,% of Net Assets,-%,,,,
25,"Senior Secured Term Loan D to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 4/18/2014, due 9/15/2015)",301,"Senior Secured Term Loan A to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",300,1629,-,% of Net Assets,-%,,,,
26,"Senior Secured Term Loan to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",8410,"Senior Secured Term Loan A to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",8227,1629,-,% of Net Assets,-%,,,,
27,"Series A Preferred Stock of BXC Company, Inc. (12,520,000 shares)",8410,-,8227,-,-,-%,-%,,,,
28,"Series B Preferred Stock of BXC Company, Inc. (2,400,000 shares)",8410,-,8227,-,-,-%,-%,,,,
29,"Common Stock of BXC Company, Inc.  (138,250 shares)",8410,-,8227,-,-,-%,-%,,,,
30,"Warrant (to purchase 15% of all classes of equity of BXC Company, Inc., expires 8/31/2022)",8410,-,8227,-,-,-%,-%,,,,
31,"Warrant (to purchase 15% of all classes of equity of BXC Company, Inc., expires 8/31/2022)",8410,-,8227,17448,-,2115,-%,0.1%,,,
32,CCPI Holdings Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A to CCPI Inc. (10.00%, due 12/31/2017)(3)",17213,17448,17213,2115,17213,,0.5%,,
33,"Senior Secured Term Loan B to CCPI Inc. (12.00% plus 7.00% PIK, due 12/31/2017)",8245,"Senior Secured Term Loan A to CCPI Inc. (10.00%, due 12/31/2017)(3)",8245,17448,8245,2115,0.2%,,,,
34,Common Stock of CCPI Holdings Inc. (100 shares),8245,8579,8245,7136,8245,0.2%,0.2%,,,,
35,Common Stock of CCPI Holdings Inc. (100 shares),8245,8579,8245,34037,8245,32594,0.2%,0.9%,,,
36,CP Holdings of Delaware LLC(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,34037,11035,32594,11035,,0.3%,,
37,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(4)",72238,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",72238,34037,72238,32594,2.0%,,,,
