,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,American Property REIT Corp.(32),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",Principal Value,105958,Fair  Value(2),% of Net Assets,105958,,,105958.0,2.9%
2,"Common Stock (272,116 shares)",Various / Real Estate,24769,Principal Value,30692,Fair  Value(2),0.8%,105958,,,,
3,"Common Stock (272,116 shares)",Various / Real Estate,24769,Principal Value,130727,Fair  Value(2),136650,105958,3.7%,,,
4,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,130727,31640,136650,31640,,0.9%,,
5,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,130727,20230,136650,0.5%,,,,
6,Class A Units (700 units),20230,9006,20230,9774,20230,0.3%,0.5%,,,,
7,Class A Units (700 units),20230,9006,20230,60876,20230,61644,0.5%,1.7%,,,
8,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16988,60876,16988,61644,16988,,0.5%,,
9,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8539,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",8539,60876,8539,61644,0.2%,,,,
10,"Common Stock (14,857 shares)",8539,8553,8539,8011,8539,0.2%,0.2%,,,,
11,"Common Stock (14,857 shares)",8539,8553,8539,34080,8539,33538,0.2%,0.9%,,,
12,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,34080,11035,33538,11035,,0.3%,,
13,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(3)(4)",72238,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",72238,34080,72238,33538,1.9%,,,,
14,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15000,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",15000,34080,15000,33538,0.4%,,,,
15,"Common Stock (2,924 shares)",15000,15227,15000,20499,15000,0.6%,0.4%,,,,
