,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,,
3,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.60% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,,35048,,,35048,,,35048,,1.1,%,,,,,,
4,"Senior Secured Term Loan A to Spartan Energy Services, LLC (10.44% (LIBOR + 8.00% with 1.00% LIBOR floor), due 12/2/2019)(13)",10/20/2014,13156,,13156,,13156,,0.4,%,,,,,,,,,,,
5,"Senior Secured Term Loan B to Spartan Energy Services, LLC (16.44% PIK (LIBOR + 14.00% with 1.00% LIBOR floor), due 12/2/2019)(13)(46)",10/20/2014,21243,,21243,,21243,,0.6,%,,,,,,,,,,,
6,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,,,63225,,63225,,1.9,%,,,,,,,,,,,
7,"Common Stock (102,924 shares)(16)",8/2/2013,,,81203,,6259,,0.2,%,,,,,,,,,,,
8,,,,,,,213875,,138931,,4.2,%,,,,,,,,,
9,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,55899,,52579,,55899,,1.7,%,,,,,,,,,
10,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,,,13731,,15518,,0.5,%,,,,,,,,,,,
11,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,,,-,,-,,-,%,,,,,,,,,,,
12,,,,,,,66310,,71417,,2.2,%,,,,,,,,,
13,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (12.25% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,36778,,36778,,36778,,1.1,%,,,,,,,,,
14,"Senior Secured Term Loan (11.50% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,18063,,18063,,18063,,0.5,%,,,,,,,,,,,
15,Membership Interest (100%)(16),3/31/2014,,,22738,,34860,,1.1,%,,,,,,,,,,,
16,,,,,,,77579,,89701,,2.7,%,,,,,,,,,
17,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,277411,,277411,,277411,,8.4,%,,,,,,,,,
18,"Class A Units (95,709,910 units)(14)(16)",6/24/2014,,,81146,,216625,,6.6,%,,,,,,,,,,,
19,,,,,,,358557,,494036,,15.0,%,,,,,,,,,
20,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),10/1/2009,,,43892,,14920,,0.5,%,,,,,,,,,
21,,,,,,,43892,,14920,,0.5,%,,,,,,,,,
22,"InterDent, Inc. (52)",Health Care Providers & Services,"Senior Secured Term Loan A/B (2.66% (LIBOR + 0.25% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,,14000,,14000,,0.4,%,,,,,,,,,
23,"Senior Secured Term Loan A (7.91% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,,77994,,77994,,2.4,%,,,,,,,,,,,
24,"Senior Secured Term Loan B (16.00% PIK, due 9/5/2020)(46)",8/3/2012,116111,,116111,,116111,,3.5,%,,,,,,,,,,,
25,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,40873,,35766,,16771,,0.5,%,,,,,,,,,,,
26,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,5039,,5001,,-,,-,%,,,,,,,,,,,
27,"Common Stock (99,900 shares)(16)",5/3/2019,,,1,,-,,-,%,,,,,,,,,,,
28,,,,,,,248873,,224876,,6.8,%,,,,,,,,,
29,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
30,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
31,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,,
32,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",9/19/2013,,26250,,,26250,,,26250,,0.8,%,,,,,,
33,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 6/30/2020)(3)(11)(46)",6/23/2014,29586,,29586,,20652,,0.6,%,,,,,,,,,,,
34,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5635,,6915,,-,,-,%,,,,,,,,,,,
35,"Common Stock (42,053 shares)(16)",9/19/2013,,,6849,,-,,-,%,,,,,,,,,,,
36,,,,,,,69600,,46902,,1.4,%,,,,,,,,,
37,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,433553,,433553,,433553,,13.1,%,,,,,,,,,
38,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,172000,,172000,,172000,,5.2,%,,,,,,,,,,,
39,Residual Profit Interest (25% of Residual Profit),12/31/2018,,,-,,96609,,2.9,%,,,,,,,,,,,
40,"Common Stock (3,110,101 shares)",12/31/2018,,,163836,,302303,,9.2,%,,,,,,,,,,,
41,,,,,,,769389,,1004465,,30.4,%,,,,,,,,,
42,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2020)(14)(46)",6/18/2014,18616,,18616,,18616,,0.6,%,,,,,,,,,
43,"Class A Units (32,456,159 units)(14)",1/31/2013,,,21962,,14359,,0.4,%,,,,,,,,,,,
44,,,,,,,40578,,32975,,1.0,%,,,,,,,,,
45,"NMMB, Inc.(28)",Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",5/6/2011,3114,,3114,,3114,,0.1,%,,,,,,,,,
46,"Series A Preferred Stock (7,200 shares)(16)",12/12/2013,,,7200,,11788,,0.3,%,,,,,,,,,,,
