0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Portfolio Company,0,Locale / Industry,0,Investments  (1),0,Principal  Value,0,Cost,0,Fair  Value  (2),0,% of Net  Assets
0,"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",0,"$ 27,881",0,"$ 27,881",0,"$ 27,881",0,0.9%
0,"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",0,19698,0,19698,0,19698,0,0.6%
0,"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,"Convertible Preferred Stock (9,919.684 shares)",0,19698,0,9920,0,1888,0,0.1%
0,"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,Common Stock (100 shares),0,19698,0,-,0,-,0,0.0%
0,"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,Common Stock (100 shares),0,19698,0,57499,0,49467,0,1.6%
0,"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,"Senior Secured Note (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",0,19536,0,19536,0,19536,0,0.6%
0,"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,"Convertible Preferred Stock - Series B (25,000 shares)",0,19536,0,25000,0,5045,0,0.2%
0,"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,"Convertible Preferred Stock - Series A (6,142.6 shares)",0,19536,0,6057,0,-,0,0.0%
0,"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,Unrestricted Common Stock (6 shares),0,19536,0,-,0,-,0,0.0%
0,"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,Unrestricted Common Stock (6 shares),0,19536,0,50593,0,24581,0,0.8%
0,"APH Property Holdings, LLC  (32)",0,Florida / Real Estate,0,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",0,161662,0,161662,0,161662,0,5.0%
0,"APH Property Holdings, LLC  (32)",0,Florida / Real Estate,0,Membership Units (100 shares),0,161662,0,32240,0,32240,0,1.0%
0,"APH Property Holdings, LLC  (32)",0,Florida / Real Estate,0,Membership Units (100 shares),0,161662,0,193902,0,193902,0,6.0%
0,"AWCNC, LLC  (19)",0,North Carolina / Machinery,0,"Members Units - Class A (1,800,000 units)",0,161662,0,-,0,-,0,0.0%
0,"AWCNC, LLC  (19)",0,North Carolina / Machinery,Members Units - Class B-1 (1 unit),"Members Units - Class A (1,800,000 units)",0,161662,-,-,-,0,0.0%,0
0,"AWCNC, LLC  (19)",0,North Carolina / Machinery,Members Units - Class B-1 (1 unit),"Members Units - Class B-2 (7,999,999 units)",0,161662,-,-,0,-,0,0.0%
0,"AWCNC, LLC  (19)",0,North Carolina / Machinery,Members Units - Class B-1 (1 unit),"Members Units - Class B-2 (7,999,999 units)",0,161662,-,-,0,-,0,0.0%
0,"Borga, Inc.",0,California / Manufacturing,Members Units - Class B-1 (1 unit),"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",0,1150,-,1095,0,474,0,0.0%
