,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,
3,American Property REIT Corp.(8),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",,51905,,,51905,,,51905.0,,1.4%,,,,,,,
4,"Common Stock (318,249 shares)",-,,24382,,43170,,1.3%,,,,,,,,,,,,
5,Net Operating Income Interest (5% of Net Operating Income),-,,-,,12418,,0.4%,,,,,,,,,,,,
6,,,,,76287,,107493,,3.1%,,,,,,,,,,,
7,"Arctic Energy Services, LLC(9)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,,31639,,33116,,1.0%,,,,,,,,,,
8,"Class E Units (21,080 units)",-,,20230,,4500,,0.1%,,,,,,,,,,,,
9,Class A Units (700 units),-,,9006,,-,,-%,,,,,,,,,,,,
10,Class C Units (10 units),-,,-,,-,,-%,,,,,,,,,,,,
11,,,,,60875,,37616,,1.1%,,,,,,,,,,,
12,CCPI Inc.(10),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12425,,12425,,12425,,0.4%,,,,,,,,,,
13,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9320,,9320,,9320,,0.3%,,,,,,,,,,,,
14,"Common Stock (14,957 shares)",-,,6636,,19108,,0.5%,,,,,,,,,,,,
15,,,,,28381,,40853,,1.2%,,,,,,,,,,,
16,CP Energy Services Inc.(11),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",-,,98272,,75423,,2.2%,,,,,,,,,,
17,"Common Stock (2,924 shares)",-,,15227,,-,,-%,,,,,,,,,,,,
18,,,,,113499,,75423,,2.2%,,,,,,,,,,,
19,"Credit Central Loan Company, LLC(12)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(32)",36333,,36333,,36333,,1.0%,,,,,,,,,,
20,"Class A Shares (7,500,000 shares)(32)",-,,11633,,12426,,0.4%,,,,,,,,,,,,
21,Net Revenues Interest (25% of Net Revenues)(32),-,,-,,3627,,0.1%,,,,,,,,,,,,
22,,,,,47966,,52386,,1.5%,,,,,,,,,,,
23,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(30)",37855,,37855,,37855,,1.1%,,,,,,,,,,
24,Membership Interest (99%),-,,19907,,19109,,0.6%,,,,,,,,,,,,
25,,,,,57762,,56964,,1.7%,,,,,,,,,,,
26,"Edmentum Ultimate Holdings, LLC(13)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(33)",-,,2742,,2742,,0.1%,,,,,,,,,,
27,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(6)",6209,,6209,,6209,,0.2%,,,,,,,,,,,,
28,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(6)",28131,,21632,,25092,,0.7%,,,,,,,,,,,,
29,"Class A Common Units (370,964.14 units)",-,,6577,,6245,,0.2%,,,,,,,,,,,,
