,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,CP Energy Services Inc. (20),Energy Equipment & Services,Senior Secured Term Loan,10/1/2017,12.00% (3ML+ 11.00%),1.00,,12/29/2022,,36744,,,36744,,,36744,,1.2%,(10)(45),,,,,
1,"Senior Secured Term Loan A to Spartan Energy Services, LLC",10/20/2014,9.00% (1ML+ 8.00%),1.00,12.00% (3ML+ 11.00%),12/31/2022,13156,12/29/2022,13156,36744,13156,,0.4%,(10),,36744,,1.2%,(10)(45),,,,,
2,"Senior Secured Term Loan B to Spartan Energy Services, LLC",10/20/2014,15.00% PIK (1ML+ 14.00%),1.00,12.00% (3ML+ 11.00%),12/31/2022,25234,12/29/2022,23360,36744,5555,,0.1%,(9)(10),,36744,,1.2%,(10)(45),,,,,
3,Series B Convertible Preferred Stock (790 shares),10/30/2015,15.00% PIK (1ML+ 14.00%),-,12.00% (3ML+ 11.00%),12/31/2022,-,12/29/2022,63225,36744,14430,,0.5%,(16),,36744,,1.2%,(10)(45),,,,,
4,"Common Stock (102,924 shares)",8/2/2013,15.00% PIK (1ML+ 14.00%),-,12.00% (3ML+ 11.00%),12/31/2022,-,12/29/2022,86241,36744,-,,-%,(16),,36744,,1.2%,(10)(45),,,,,
5,"Common Stock (102,924 shares)",8/2/2013,15.00% PIK (1ML+ 14.00%),-,12.00% (3ML+ 11.00%),12/31/2022,-,12/29/2022,86241,222726,-,69885,-%,2.2%,,36744,,1.2%,(10)(45),,,,,
6,"Credit Central Loan Company, LLC (21)",Consumer Finance,Subordinated Term Loan,12/28/2012,10.00% plus 10.00% PIK,-,-,6/26/2024,62859,222726,59870,69885,62859,2.2%,2.1%,(14)(45),,1.2%,(10)(45),,,,,
7,"Class A Units (14,867,312 units)",12/28/2012,Subordinated Term Loan,-,10.00% plus 10.00% PIK,-,-,6/26/2024,19331,222726,12826,69885,0.4%,(14)(16),2.1%,(14)(45),,1.2%,(10)(45),,,,,
8,Net Revenues Interest (25% of Net Revenues),1/28/2015,Subordinated Term Loan,-,10.00% plus 10.00% PIK,-,-,6/26/2024,-,222726,-,69885,-%,(14)(16),2.1%,(14)(45),,1.2%,(10)(45),,,,,
9,Net Revenues Interest (25% of Net Revenues),1/28/2015,Subordinated Term Loan,-,10.00% plus 10.00% PIK,-,-,6/26/2024,-,79201,-,75685,-%,2.5%,2.1%,(14)(45),,1.2%,(10)(45),,,,,
10,"Echelon Transportation, LLC",Aerospace & Defense,Senior Secured Term Loan,3/31/2014,11.75% (1ML+ 9.75%) plus 2.25% PIK,2.00,-,3/31/2022,45072,79201,45072,75685,45072,2.5%,1.4%,(10)(45),,1.2%,(10)(45),,,,,
11,Senior Secured Term Loan,12/9/2016,11.00% (1ML+ 9.00%) plus 1.00% PIK,2.00,11.75% (1ML+ 9.75%) plus 2.25% PIK,12/7/2024,20399,3/31/2022,20399,79201,20399,75685,0.7%,(10)(45),1.4%,(10)(45),,1.2%,(10)(45),,,,,
12,Membership Interest (100%),3/31/2014,11.00% (1ML+ 9.00%) plus 1.00% PIK,-,11.75% (1ML+ 9.75%) plus 2.25% PIK,12/7/2024,-,3/31/2022,22737,79201,20156,75685,0.7%,(16),1.4%,(10)(45),,1.2%,(10)(45),,,,,
13,Membership Interest (100%),3/31/2014,11.00% (1ML+ 9.00%) plus 1.00% PIK,-,11.75% (1ML+ 9.75%) plus 2.25% PIK,12/7/2024,-,3/31/2022,22737,88208,20156,85627,0.7%,2.8%,1.4%,(10)(45),,1.2%,(10)(45),,,,,
14,First Tower Finance Company LLC (23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC",6/24/2014,10.00% plus 10.50% PIK,-,-,6/24/2024,277069,88208,277069,85627,277069,2.8%,9.0%,(14)(45),,1.2%,(10)(45),,,,,
15,"Class A Units (95,709,910 units)",6/14/2012,"Subordinated Term Loan to First Tower, LLC",-,10.00% plus 10.50% PIK,-,-,6/24/2024,81146,88208,231396,85627,7.6%,(14)(16),9.0%,(14)(45),,1.2%,(10)(45),,,,,
16,"Class A Units (95,709,910 units)",6/14/2012,"Subordinated Term Loan to First Tower, LLC",-,10.00% plus 10.50% PIK,-,-,6/24/2024,81146,358215,231396,508465,7.6%,16.6%,9.0%,(14)(45),,1.2%,(10)(45),,,,,
17,"Freedom Marine Solutions, LLC (24)",Energy Equipment & Services,Membership Interest (100%),11/9/2006,10.00% plus 10.50% PIK,-,-,6/24/2024,-,358215,43892,508465,12351,16.6%,0.4%,(16),,1.2%,(10)(45),,,,,
18,"Freedom Marine Solutions, LLC (24)",Energy Equipment & Services,Membership Interest (100%),11/9/2006,10.00% plus 10.50% PIK,-,-,6/24/2024,-,43892,43892,12351,12351,0.4%,0.4%,(16),,1.2%,(10)(45),,,,,
19,"InterDent, Inc. (29)",Health Care Providers & Services,Senior Secured Term Loan A/B,8/1/2018,7.05% (1ML+ 5.05%),2.00,-,9/5/2020,14249,43892,14249,12351,14249,0.4%,0.5%,(10)(45),,1.2%,(10)(45),,,,,
20,Senior Secured Term Loan A,8/3/2012,6.25% (1ML+ 5.50%),0.75,7.05% (1ML+ 5.05%),9/5/2020,79242,9/5/2020,79242,43892,79242,12351,2.6%,(10)(45),0.5%,(10)(45),,1.2%,(10)(45),,,,,
21,Senior Secured Term Loan B,8/3/2012,10.00% PIK,-,7.05% (1ML+ 5.05%),9/5/2020,128443,9/5/2020,128443,43892,128443,12351,4.2%,(45),0.5%,(10)(45),,1.2%,(10)(45),,,,,
22,Senior Secured Term Loan C,3/22/2018,18.00% PIK,-,7.05% (1ML+ 5.05%),9/5/2020,48929,9/5/2020,35767,43892,8823,12351,0.3%,(9),0.5%,(10)(45),,1.2%,(10)(45),,,,,
23,Senior Secured Term Loan D,9/19/2018,1.00% PIK,-,7.05% (1ML+ 5.05%),9/5/2020,9458,9/5/2020,9351,43892,-,12351,-%,(9),0.5%,(10)(45),,1.2%,(10)(45),,,,,
24,"Common Stock (99,900 shares)",5/3/2019,1.00% PIK,-,7.05% (1ML+ 5.05%),9/5/2020,-,9/5/2020,1,43892,-,12351,-%,(16),0.5%,(10)(45),,1.2%,(10)(45),,,,,
25,"Common Stock (99,900 shares)",5/3/2019,1.00% PIK,-,7.05% (1ML+ 5.05%),9/5/2020,-,9/5/2020,267053,43892,230757,12351,7.6%,(16),0.5%,(10)(45),,1.2%,(10)(45),,,,,
26,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%),8/26/2019,7.05% (1ML+ 5.05%),-,-,9/5/2020,-,43892,2378,12351,3286,(16),0.1%,(16),,1.2%,(10)(45),,,,,
27,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%),8/26/2019,7.05% (1ML+ 5.05%),-,-,9/5/2020,-,2378,2378,3286,3286,0.1%,0.1%,(16),,1.2%,(10)(45),,,,,
28,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,3286,3286,0.1%,0.1%,(16),,1.2%,(10)(45),,,,,
29,"MITY, Inc. (25)",Commercial Services & Supplies,Senior Secured Note A,9/19/2013,10.00% (3ML+ 7.00%),3.00,Legal Maturity,4/30/2025,Amortized Cost,26250,% of  Net Assets,3286,26250,0.1%,0.1%,26250,,0.9%,(10),,,,,
30,Senior Secured Note B,6/23/2014,10.00% (3ML+ 7.00%) plus 10.00% PIK,3.00,10.00% (3ML+ 7.00%),4/30/2025,33008,4/30/2025,33008,26250,25655,3286,0.8%,(10)(45),0.1%,26250,,0.9%,(10),,,,,
31,Subordinated Unsecured Note to Broda Enterprises ULC,9/19/2013,10.00%,-,10.00% (3ML+ 7.00%),1/1/2028,7200,4/30/2025,6350,26250,-,3286,-%,(14),0.1%,26250,,0.9%,(10),,,,,
32,"Common Stock (42,053 shares)",9/19/2013,10.00%,-,10.00% (3ML+ 7.00%),1/1/2028,-,4/30/2025,6849,26250,-,3286,-%,(16),0.1%,26250,,0.9%,(10),,,,,
33,"Common Stock (42,053 shares)",9/19/2013,10.00%,-,10.00% (3ML+ 7.00%),1/1/2028,-,4/30/2025,6849,72457,-,51905,-%,1.7%,0.1%,26250,,0.9%,(10),,,,,
34,National Property REIT Corp. (26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,Senior Secured Term Loan A,12/31/2018,4.44% (3ML+ 1.44%) plus 3.53% PIK,3.00,-,12/31/2023,302633,72457,302633,51905,302633,1.7%,9.9%,(10)(45),,0.9%,(10),,,,,
35,Senior Secured Term Loan B,12/31/2018,5.00% (3ML+ 2.00%) plus 5.50% PIK,3.00,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,45950,12/31/2023,45950,72457,45950,51905,1.5%,(10)(45),9.9%,(10)(45),,0.9%,(10),,,,,
36,Senior Secured Term Loan C,10/31/2019,11.00% (3ML+ 10.00%) plus 2.25% PIK,1.00,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,79200,12/31/2023,79200,72457,79200,51905,2.6%,(10)(45),9.9%,(10)(45),,0.9%,(10),,,,,
37,Senior Secured Term Loan D,6/19/2020,3.50% (3ML+ 0.50%) plus 2.50% PIK,3.00,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,183425,12/31/2023,183425,72457,183425,51905,6.0%,(10)(45),9.9%,(10)(45),,0.9%,(10),,,,,
38,Residual Profit Interest,12/31/2018,3.50% (3ML+ 0.50%) plus 2.50% PIK,-,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,-,12/31/2023,-,72457,21461,51905,0.7%,(37),9.9%,(10)(45),,0.9%,(10),,,,,
39,"Common Stock (3,254,594 shares)",12/31/2013,3.50% (3ML+ 0.50%) plus 2.50% PIK,-,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,-,12/31/2023,210,72457,246064,51905,8.1%,(37),9.9%,(10)(45),,0.9%,(10),,,,,
40,"Common Stock (3,254,594 shares)",12/31/2013,3.50% (3ML+ 0.50%) plus 2.50% PIK,-,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,-,12/31/2023,210,611418,246064,878733,8.1%,28.8%,9.9%,(10)(45),,0.9%,(10),,,,,
41,Nationwide Loan Company LLC (27),Consumer Finance,Senior Subordinated Term Loan to Nationwide Acceptance LLC,6/18/2014,10.00% plus 10.00% PIK,-,-,6/18/2021,20087,611418,20087,878733,20087,28.8%,0.6%,(14)(45),,0.9%,(10),,,,,
42,"Class A Units (38,550,460 units)",1/31/2013,Senior Subordinated Term Loan to Nationwide Acceptance LLC,-,10.00% plus 10.00% PIK,-,-,6/18/2021,20462,611418,17151,878733,0.6%,(14)(16),0.6%,(14)(45),,0.9%,(10),,,,,
