0,1,2,3,4,5,6,7,8,9,10,11
"Arctic Energy Services, LLC(15)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(39)",0,0,31640,0,0,18555,0,0.5%,0
Class C Units (10 units)(39),Wyoming / Energy Equipment & Services,-,0,60876,31640,18555,0,0.5%,0,0,0
CCPI Inc.(16),Ohio / Metals & Mining,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12088,60876,12088,18555,12088,0,0.3%,0,0
"Common Stock (14,857 shares)",9320,6759,9320,28167,9320,42877,0.3%,1.2%,0,0,0
CP Energy Services Inc.(17),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(39)",9320,98272,9320,73048,0.3%,2.1%,0,0,0
"Common Stock (2,924 shares)(39)",Oklahoma / Energy Equipment & Services,15227,9320,113499,9320,73048,0.3%,2.1%,0,0,0
"Credit Central Loan Company, LLC(18)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(40)",51370,113499,44112,73048,51370,0,1.5%,0,0
Net Revenues Interest (25% of Net Revenues)(13)(39),South Carolina / Consumer Finance,-,51370,57843,44112,62981,51370,1.8%,0,0,0
Echelon Aviation LLC,New York / Diversified Financial Services,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(40)",31055,57843,31055,62981,31055,0,0.9%,0,0
Membership Interest (99%),16044,22738,16044,69837,16044,76859,0.5%,2.2%,0,0,0
"Edmentum Ultimate Holdings, LLC(19)",Minnesota / Internet Software & Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",-,69837,-,76859,-,0,-%,0,0
"Class A Units (370,964 units)(39)",30326,6577,23829,37025,26561,36612,0.8%,1.1%,0,0,0
First Tower Finance Company LLC(20),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(13)(40)",258210,37025,258210,36612,258210,0,7.5%,0,0
"Class A Units (93,997,533 units)(13)(39)",Mississippi / Consumer Finance,78481,258210,336691,258210,355608,258210,10.3%,0,0,0
"Freedom Marine Solutions, LLC(21)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(39),258210,41411,258210,26671,258210,0.8%,0,0,0
"Freedom Marine Solutions, LLC(21)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(39),258210,41411,258210,26671,258210,0.8%,0,0,0
Gulf Coast Machine & Supply Company,Texas / Energy Equipment & Services,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",Principal Value,41980,Fair  Value(2),% of Net Assets,35403,0,0,7487.0,0.2%
Common Stock (100 shares)(39),-,25950,-,61353,-,7487,-%,0.2%,0,0,0
"MITY, Inc.(22)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",18250,61353,18250,7487,18250,0,0.5%,0,0
"Common Stock (42,053 shares)",5478,6849,7200,48741,5478,56959,0.2%,1.6%,0,0,0
National Property REIT Corp.(23),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(40)",284421,48741,284421,56959,284421,0,8.2%,0,0
Net Operating Income Interest (5% of Net Operating Income)(39),-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(40)",-,810254,68948,948621,1.9%,27.5%,0,0,0
Nationwide Loan Company LLC(24),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(13)(40)",16819,810254,16819,948621,16819,0,0.5%,0,0
"Class A Units (29,559,899 units)(13)",Illinois / Consumer Finance,16293,16819,33112,16819,36275,16819,1.1%,0,0,0
"NMMB, Inc.(25)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,33112,3714,36275,3714,0,0.1%,0,0
"Series B Preferred Stock (5,669 shares)(39)",7000,5669,7000,23583,7000,15286,0.2%,0.4%,0,0,0
"R-V Industries, Inc.",Pennsylvania / Construction & Engineering,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(10)(11)",28622,23583,28622,15286,28622,0,0.8%,0,0
"Common Stock (745,107 shares)",Pennsylvania / Construction & Engineering,6941,28622,35563,28622,35531,28622,1.0%,0,0,0
USES Corp.(26),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",Principal Value,27091,Fair  Value(2),% of Net Assets,26158,0,0,27091.0,0.8%
"Common Stock (268,962 shares)(39)",37880,-,35568,61726,16013,43104,0.4%,1.2%,0,0,0
"Valley Electric Company, Inc.(27)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(10)(11)(40)",10430,61726,10430,43104,10430,0,0.3%,0,0
"Common Stock (50,000 shares)(39)",24568,26204,24568,61202,20491,30921,0.6%,0.9%,0,0,0
"Wolf Energy, LLC",Kansas / Energy Equipment & Services,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",41758,61202,-,30921,-,0,-%,0,0
Net Profits Interest (8% of Equity Distributions)(4)(39),Kansas / Energy Equipment & Services,-,41758,-,-,15,-,-%,0,0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Trading Companies & Distributors,"Class A Units (32,500 units)(39)",Principal Value,Amortized Cost,289,% of Net Assets,54.0%,679,0,-%,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Trading Companies & Distributors,"Class A Units (32,500 units)(39)",Principal Value,289,289,679,54.0%,-%,0,0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(8)(10)(11)",11771,289,11649,679,11771,0,0.3%,0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(8)(10)(11)",11771,11649,11649,11771,11771,0.3%,0,0,0
American Gilsonite Company(29),Utah / Metals & Mining,Membership Interest (1.93%)(39),11771,-,11649,-,11771,-%,0,0,0
American Gilsonite Company(29),Utah / Metals & Mining,Membership Interest (1.93%)(39),11771,-,11649,-,11771,-%,0,0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.57%, due 7/15/2023)(5)(13)",23525,-,19276,-,17295,0,0.5%,0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.57%, due 7/15/2023)(5)(13)",23525,19276,19276,17295,17295,0.5%,0,0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.96%, due 1/17/2023)(5)(13)",40500,19276,30870,17295,26902,0,0.8%,0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.96%, due 1/17/2023)(5)(13)",40500,30870,30870,26902,26902,0.8%,0,0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.28%, due 4/15/2025)(5)(13)",44063,30870,32596,26902,29821,0,0.9%,0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.28%, due 4/15/2025)(5)(13)",44063,32596,32596,29821,29821,0.9%,0,0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.36%, due 10/20/2025)(5)(13)",36515,32596,29887,29821,24655,0,0.7%,0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.36%, due 10/20/2025)(5)(13)",36515,29887,29887,24655,24655,0.7%,0,0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.08%, due 10/20/2027)(5)(6)(13)",31350,29887,26710,24655,26752,0,0.8%,0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.08%, due 10/20/2027)(5)(6)(13)",31350,26710,26710,26752,26752,0.8%,0,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(10)(11)",150000,26710,150000,26752,150000,0,4.3%,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(10)(11)",150000,150000,150000,150000,150000,4.3%,0,0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",21322,150000,20353,150000,9074,0,0.3%,0,0
"Senior Secured Term Loan B (12.50% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",25282,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",23239,43592,-,9074,-%,0.3%,0,0,0
Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,43592,6918,9074,6918,0,0.2%,0,0
Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,6918,6918,6918,6918,0.2%,0,0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Health Care Providers & Services,"Revolving Line of Credit – $7,000 Commitment (9.50% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(14)",2350,6918,2350,6918,2350,0,0.1%,0,0
"Senior Term Loan (9.50% (LIBOR + 8.00% with 1.50% LIBOR floor), due 2/21/2020)(3)(10)(11)",79968,"Revolving Line of Credit – $7,000 Commitment (9.50% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(14)",79968,82318,79968,82318,2.3%,2.4%,0,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.56%, due 1/15/2026)(5)(6)(13)",52250,82318,42034,82318,41223,0,1.2%,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.56%, due 1/15/2026)(5)(6)(13)",52250,42034,42034,41223,41223,1.2%,0,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(12)",Principal Value,119262,Fair  Value(2),% of Net Assets,119262,0,0,119262.0,3.5%
"Senior Secured Term Loan B (13.50% (LIBOR + 12.25% with 1.25% LIBOR floor), due 6/03/2021)(10)(12)",120491,"Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(12)",120491,239753,120491,239753,3.4%,6.9%,0,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 6.98%, due 4/17/2025)(5)(13)",26000,239753,18734,239753,15918,0,0.5%,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 6.98%, due 4/17/2025)(5)(13)",26000,18734,18734,15918,15918,0.5%,0,0,0
California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 13.15%, due 10/16/2028)(5)(13)",58915,18734,40253,15918,34799,0,1.0%,0,0
