,0,1,2,3,4,5,6,7,8,9,10,11,12
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,
2,"Arctic Energy Services, LLC(37)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",,,,31640,,,18235,,0.6%,
3,"Class E Units (14.00%, 21,080 units)(16)",,,20230,,-,,-%,,,,,
4,"Class A Units (14.00%, 700 units)(16)",,,9006,,-,,-%,,,,,
5,Class C Units (10 units)(16),,,-,,-,,-%,,,,,
6,,,,,,60876,,18235,,0.6%,,,
7,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2938,,2938,,2938,,0.1%,,,
8,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17988,,17988,,17988,,0.5%,,,,,
9,"Common Stock (14,857 shares)(16)",,,6759,,19710,,0.6%,,,,,
10,,,,,,27685,,40636,,1.2%,,,
11,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",,,98273,,87341,,2.7%,,,
12,"Common Stock (2,924 shares)(16)",,,15227,,-,,-%,,,,,
13,,,,,,113500,,87341,,2.7%,,,
14,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",51855,,45685,,51855,,1.5%,,,
15,"Class A Units (10,640,642 units)(14)(16)",,,13731,,11953,,0.4%,,,,,
16,Net Revenues Interest (25% of Net Revenues)(14)(16),,,-,,2277,,0.1%,,,,,
17,,,,,,59416,,66085,,2.0%,,,
18,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",31055,,31055,,31055,,0.9%,,,
19,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(13)(46)",16044,,16044,,16044,,0.5%,,,,,
20,Membership Interest (99%)(16),,,22738,,23403,,0.7%,,,,,
21,,,,,,69837,,70502,,2.1%,,,
22,"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",,,-,,-,,-%,,,
23,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(46)",7055,,7055,,7055,,0.2%,,,,,
24,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 6/9/2020)",32685,,23829,,22693,,0.7%,,,,,
25,"Class A Units (370,964 units)(16)",,,6577,,1132,,-%,,,,,
26,,,,,,37461,,30880,,0.9%,,,
27,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",260073,,260073,,260073,,7.9%,,,
28,"Class A Units (93,997,533 units)(14)(16)",,,78481,,113604,,3.5%,,,,,
29,,,,,,338554,,373677,,11.4%,,,
30,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),,,42812,,25055,,0.8%,,,
31,,,,,,42812,,25055,,0.8%,,,
32,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
33,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
34,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,
35,"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",,26250,,,26250,,,26250.0,,0.8%
36,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(10)(11)(46)",24442,,24442,,24442,,0.7%,,,,,
37,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(14)",5897,,7200,,5897,,0.2%,,,,,
38,"Common Stock (42,053 shares)(16)",,,6849,,21147,,0.7%,,,,,
39,,,,,,64741,,77736,,2.4%,,,
40,National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",292426,,292426,,292426,,8.9%,,,
41,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(46)",137512,,137512,,137512,,4.2%,,,,,
42,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(14)(46)",30305,,30305,,30305,,0.9%,,,,,
43,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 12/15/2020)(10)(11)(14)(46)",116547,,116547,,116547,,3.5%,,,,,
44,"Common Stock (2,280,992 shares)(16)",,,242939,,347263,,10.6%,,,,,
45,Net Operating Income Interest (5% of Net Operating Income),,,-,,88956,,2.7%,,,,,
46,,,,,,819729,,1013009,,30.8%,,,
47,Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",16964,,16964,,16964,,0.5%,,,
48,"Class A Units (32,456,159 units)(14)(16)",,,18183,,19188,,0.6%,,,,,
49,,,,,,35147,,36152,,1.1%,,,
50,"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",3714,,3714,,3714,,0.1%,,,
51,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6900,,6900,,6900,,0.2%,,,,,
52,"Series A Preferred Stock (7,200 shares)(16)",,,7200,,6090,,0.2%,,,,,
53,"Series B Preferred Stock (5,669 shares)(16)",,,5669,,4795,,0.1%,,,,,
54,,,,,,23483,,21499,,0.6%,,,
55,"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",28622,,28622,,27094,,0.8%,,,
56,"Common Stock (745,107 shares)(16)",,,6866,,764,,-%,,,,,
57,,,,,,35488,,27858,,0.8%,,,
58,"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",,,-,,982,,-%,,,
59,Common Stock (100 shares)(16),,,-,,-,,-%,,,,,
60,,,,,,-,,982,,-%,,,
61,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
62,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
63,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,
64,USES Corp.(30),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",,33051,,,30102,,,5384.0,,0.2%
65,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",42590,,35568,,-,,-%,,,,,
66,"Common Stock (268,962 shares)(16)",,,-,,-,,-%,,,,,
67,,,,,,65670,,5384,,0.2%,,,
68,"Valley Electric Company, Inc.(31)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(46)",10430,,10430,,10430,,0.3%,,,
69,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2024)(46)",26168,,26168,,26148,,0.8%,,,,,
70,"Common Stock (50,000 shares)(16)",,,26204,,-,,-%,,,,,
71,,,,,,62802,,36578,,1.1%,,,
72,"Wolf Energy, LLC(32)",Kansas / Energy Equipment & Services,Membership Interest (100%)(16),,,-,,-,,-%,,,
73,"Membership Interest in Wolf Energy Services Company, LLC (100%)(16)",,,4029,,1747,,0.1%,,,,,
74,Net Profits Interest (8% of Equity Distributions)(4)(16),,,-,,10,,-%,,,,,
75,,,,,,4029,,1757,,0.1%,,,
76,Total Control Investments (Level 3),,,1861230,,,1933366,,58.8%,,,,
77,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
78,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
