,0,1,2,3,4,5,6,7,8,9,10,11
0,American Property  REIT Corp.(32),Various /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,169511,,,169511,,,169511.0,4.6%
1,"Common Stock (272,116 shares)",Various /  Real Estate,35006,,28178,,0.8%,169511,,,,
2,"Common Stock (272,116 shares)",Various /  Real Estate,35006,,204517,,197689,169511,5.4%,,,
3,"Arctic Energy  Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,204517,31640,197689,31640,,0.9%,,
4,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,204517,20230,197689,0.5%,,,,
5,Class A Units (700 units),20230,9006,20230,9505,20230,0.3%,0.5%,,,,
6,Class A Units (700 units),20230,9006,20230,60876,20230,61375,0.5%,1.7%,,,
7,"ARRM Services, Inc.(42)",South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19337,60876,19337,61375,19337,,0.5%,,
8,"Series B Preferred Stock (25,000 shares)",South Carolina / Manufacturing,21156,19337,9399,19337,0.3%,19337,,,,
9,"Series A Convertible Preferred Stock (6,142.60 shares)",South Carolina / Manufacturing,6057,19337,-,19337,-%,19337,,,,
10,Common Stock (6.00 shares),South Carolina / Manufacturing,-,19337,-,19337,-%,19337,,,,
11,Common Stock (6.00 shares),South Carolina / Manufacturing,-,19337,46550,19337,28736,19337,0.8%,,,
12,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",17100,46550,17100,28736,17100,,0.5%,,
13,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8390,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",8390,46550,8390,28736,0.2%,,,,
14,"Common Stock (14,857 shares)",8390,8553,8390,7143,8390,0.2%,0.2%,,,,
15,"Common Stock (14,857 shares)",8390,8553,8390,34043,8390,32633,0.2%,0.9%,,,
16,"Change Clean Energy Company, LLC(8)",Maine / Energy,Membership Interest (100%),8390,-,8390,-,0.2%,-%,,,
17,"Change Clean Energy Company, LLC(8)",Maine / Energy,Membership Interest (100%),8390,-,8390,-,0.2%,-%,,,
18,"Coalbed, LLC(12)",Tennessee / Oil & Gas Production,"Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, past due)(6)",8771,-,5991,-,-,,-%,,
19,Membership Interest (100%),Tennessee / Oil & Gas Production,-,8771,-,5991,-%,-,,,,
20,Membership Interest (100%),Tennessee / Oil & Gas Production,-,8771,5991,5991,-,-,-%,,,
