0,1,2,3,4,5,6,7,8,9,10,11
American Property  REIT Corp.(32),Various /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",Principal Value,169511,Fair  Value(2),% of Net Assets,169511,0,0,169511.0,4.6%
"Common Stock (272,116 shares)",Various /  Real Estate,35006,Principal Value,204517,Fair  Value(2),197689,169511,5.4%,0,0,0
"Arctic Energy  Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,204517,31640,197689,31640,0,0.9%,0,0
Class A Units (700 units),20230,9006,20230,60876,20230,61375,0.5%,1.7%,0,0,0
"ARRM Services, Inc.(42)",South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19337,60876,19337,61375,19337,0,0.5%,0,0
Common Stock (6.00 shares),South Carolina / Manufacturing,-,19337,46550,19337,28736,19337,0.8%,0,0,0
CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",17100,46550,17100,28736,17100,0,0.5%,0,0
"Common Stock (14,857 shares)",8390,8553,8390,34043,8390,32633,0.2%,0.9%,0,0,0
"Change Clean Energy Company, LLC(8)",Maine / Energy,Membership Interest (100%),8390,-,8390,-,0.2%,-%,0,0,0
"Change Clean Energy Company, LLC(8)",Maine / Energy,Membership Interest (100%),8390,-,8390,-,0.2%,-%,0,0,0
"Coalbed, LLC(12)",Tennessee / Oil & Gas Production,"Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, past due)(6)",8771,-,5991,-,-,0,-%,0,0
Membership Interest (100%),Tennessee / Oil & Gas Production,-,8771,5991,5991,-,-,-%,0,0,0
CP Energy  Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,5991,11035,-,11035,0,0.3%,0,0
"Common Stock (2,924 shares)",15000,15227,15000,113500,15000,129186,0.4%,3.5%,0,0,0
"Credit Central Loan  Company, LLC(22)(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)",36333,113500,36333,129186,36333,0,1.0%,0,0
"Class A Shares (7,500,000 shares)",Ohio / Consumer Finance,11632,36333,47965,36333,46881,36333,1.3%,0,0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Revolving Credit Facility – $150,000 Commitment (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(25)",40808,47965,40808,46881,40808,0,1.1%,0,0
"Class A Shares (11,335,318 shares)",New York / Aerospace & Defense,19907,40808,60715,40808,51704,40808,1.4%,0,0,0
First Tower Finance Company LLC(22)(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)",Principal Value,251246,Fair  Value(2),% of Net Assets,251246,0,0,251246.0,6.9%
"Class A Shares (83,729,323 shares)",Mississippi / Consumer Finance,64544,Principal Value,315790,Fair  Value(2),324975,251246,8.9%,0,0,0
"Freedom Marine Solutions, LLC(8)",Louisiana / Energy,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,315790,3500,324975,3500,0,0.1%,0,0
Membership Interest (100%),16000,7807,16000,39811,16000,34909,0.4%,0.9%,0,0,0
Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 10/12/2017)(4)",19500,39811,19500,34909,13674,0,0.4%,0,0
"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,19500,45450,19500,13674,13674,0.4%,0,0,0
"Harbortouch  Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(4)",130589,45450,130589,13674,130589,0,3.6%,0,0
Class A Shares (535 shares),26431,7489,26431,301735,26431,318251,0.7%,8.7%,0,0,0
"The Healing Staff, Inc.(9)",North Carolina / Contracting,"Secured Promissory Notes to The Healing Staff, Inc. and Vets Securing America, Inc. (15.00%, in non-accrual status effective 12/22/2010, past due)",1688,301735,1687,318251,-,0,-%,0,0
"Common Stock of Vets Securing America, Inc. (1 share)",1170,975,1170,3832,-,-,-%,-%,0,0,0
"Manx Energy, Inc.(6)(12)",Kansas / Oil & Gas Production,"Senior Secured Note (13.00%, in non-accrual status effective 1/19/2010, past due)",50,3832,50,-,-,0,-%,0,0
"Common Stock (17,082 shares)",Kansas / Oil & Gas Production,-,50,50,50,-,-,-%,0,0,0
"MITY, Inc.(17)",Utah / Durable Consumer Products,"Revolving Line of Credit – $7,500 Commitment (9.50% (LIBOR + 7.00% with 2.50% LIBOR floor), due 12/23/2014)(4)(25)",500,50,500,-,500,0,-%,0,0
"Common Stock (42,053 shares)",6593,7456,6593,48568,6593,52527,0.2%,1.4%,0,0,0
National Property  REIT Corp.(40),Various /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",Principal Value,138367,Fair  Value(2),% of Net Assets,138367,0,0,138367.0,3.8%
"Common Stock (84,567 shares)",Various /  Real Estate,26913,Principal Value,165280,Fair  Value(2),166830,138367,4.6%,0,0,0
