,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
1,"Arctic Energy Services, LLC(15)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",Principal Value,Amortized Cost,31640,% of Net Assets,,20167,,0.6%,,
2,"Class E Units (21,080 units)",Wyoming / Oil & Gas Services,20230,Principal Value,-,31640,-%,,20167,,,,
3,Class A Units (700 units),Wyoming / Oil & Gas Services,9006,Principal Value,-,31640,-%,,20167,,,,
4,Class C Units (10 units),Wyoming / Oil & Gas Services,-,Principal Value,-,31640,-%,,20167,,,,
5,Class C Units (10 units),Wyoming / Oil & Gas Services,-,Principal Value,60876,31640,20167,,0.6%,,,,
6,CCPI Inc.(16),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12200,60876,12200,20167,12200,0.6%,0.4%,,,
7,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(39)",9320,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",9320,60876,9320,20167,0.3%,0.6%,,,,
8,"Common Stock (14,857 shares)",9320,6759,9320,20722,9320,0.5%,0.3%,0.6%,,,,
9,"Common Stock (14,857 shares)",9320,6759,9320,28279,9320,42242,0.3%,1.2%,,,,
10,CP Energy Services Inc.(17),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",9320,98273,9320,76002,0.3%,2.2%,,,,
11,"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,15227,9320,-,9320,-%,0.3%,2.2%,,,,
12,"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,15227,9320,113500,9320,76002,0.3%,2.2%,,,,
13,"Credit Central Loan Company, LLC(18)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(39)",50510,113500,42989,76002,50510,2.2%,1.5%,,,
14,"Class A Shares (10,640,642 shares)(13)",South Carolina / Consumer Finance,13731,50510,9341,42989,0.3%,50510,2.2%,,,,
15,Net Revenues Interest (25% of Net Revenues)(13),South Carolina / Consumer Finance,-,50510,4069,42989,0.1%,50510,2.2%,,,,
16,Net Revenues Interest (25% of Net Revenues)(13),South Carolina / Consumer Finance,-,50510,56720,42989,63920,50510,1.9%,,,,
17,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(39)",31055,56720,31055,63920,31055,1.9%,0.9%,,,
18,Membership Interest (99%),New York / Aerospace & Defense,19907,31055,23988,31055,0.7%,31055,1.9%,,,,
19,Membership Interest (99%),New York / Aerospace & Defense,19907,31055,50962,31055,55043,31055,1.6%,,,,
20,"Edmentum Ultimate Holdings, LLC(19)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",-,50962,-,55043,-,1.6%,-%,,,
21,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(39)",6478,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",6478,50962,6478,55043,0.2%,1.6%,,,,
22,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(39)",29571,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",23073,50962,24766,55043,0.7%,1.6%,,,,
23,"Class A Common Units (370,964 units)",29571,6577,23073,4241,24766,0.1%,0.7%,1.6%,,,,
24,"Class A Common Units (370,964 units)",29571,6577,23073,36128,24766,35485,0.7%,1.0%,,,,
25,First Tower Finance Company LLC(20),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(13)(39)",256578,36128,256578,35485,256578,1.0%,7.5%,,,
26,"Class A Shares (86,711,625 shares)(13)",Mississippi / Consumer Finance,70476,256578,95275,256578,2.7%,256578,1.0%,,,,
27,"Class A Shares (86,711,625 shares)(13)",Mississippi / Consumer Finance,70476,256578,327054,256578,351853,256578,10.2%,,,,
28,"Freedom Marine Solutions, LLC(21)",Louisiana / Oil & Gas Services,Membership Interest (100%),256578,41411,256578,26671,256578,0.8%,,,,
29,"Freedom Marine Solutions, LLC(21)",Louisiana / Oil & Gas Services,Membership Interest (100%),256578,41411,256578,26671,256578,0.8%,,,,
30,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",38906,41411,33403,26671,7394,0.8%,0.2%,,,
31,"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,38906,-,33403,-%,7394,0.8%,,,,
32,"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,38906,59353,33403,7394,7394,0.2%,,,,
33,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,7394,0.2%,,,,
34,"MITY, Inc.(22)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(10)(11)",Principal Value,18250,Fair  Value(2),% of Net Assets,18250,0.2%,,18250.0,,0.5%
