,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,
3,AMU Holdings Inc.(27),Pennsylvania / Property Management,"Senior Secured Term Loan A to Airmall Inc. (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)(3)(4)",,27587,,,27587,,,27587.0,0.8%
4,"Senior Secured Term Loan B to Airmall Inc. (12.00% plus 6.00% PIK, due 12/31/2015)",19993,,19993,,17697,,0.5%,,,,
5,"Series A Preferred Stock of AMU Holdings Inc. (9,919.684 shares)",,9920,,-,,-%,,,,,
6,Common Stock of AMU Holdings Inc. (100 shares),,-,,-,,-%,,,,,
7,,,,,57500,,45284,,1.3%,,,
8,"APH Property Holdings, LLC(32)",Florida / Real Estate,"Senior Term Loan to American Property REIT Corp. (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",167743,,167743,,167743,,4.6%,,
9,"Membership Interest in APH Property Holdings, LLC",,35024,,38416,,1.1%,,,,,
10,,,,,202767,,206159,,5.7%,,,
11,"Arctic Oilfield Equipment USA, Inc. (45)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan to Arctic Energy Services, LLC (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(4)",31640,,31640,,31640,,0.9%,,
12,"Senior Subordinated Term Loan to Arctic Energy Services, LLC (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(4)",20230,,20230,,20230,,0.6%,,,,
13,"Common Stock of Arctic Oilfield Equipment USA, Inc. (100 shares)",,9006,,9244,,0.2%,,,,,
14,,,,,60876,,61114,,1.7%,,,
15,"ARRM Services, Inc.  (f/k/a ARRM Holdings Inc.)(42)",South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19337,,19337,,19337,,0.5%,,
16,"Series B Preferred Stock of ARRM Services, Inc. (25,000 shares)",,21156,,6199,,0.2%,,,,,
17,"Series A Convertible Preferred Stock of ARRM Services, Inc. (6,142.60 shares)",,6057,,-,,-%,,,,,
18,"Common Stock of ARRM Services, Inc. (6.00 shares)",,-,,-,,-%,,,,,
19,,,,,46550,,25536,,0.7%,,,
20,"AWC, LLC(19)",North Carolina / Machinery,"Members Units – Class A (1,800,000 units)",,-,,-,,-%,,,
21,Members Units – Class B-1 (1 unit),,-,,-,,-%,,,,,
22,"Members Units – Class B-2 (7,999,999 units)",,-,,-,,-%,,,,,
23,,,,,-,,-,,-%,,,
24,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
25,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,
26,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,
27,"BXC Company, Inc.  (f/k/a BXC Holding Company)(20)","Georgia / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",,1629,,,1621,,,1629.0,0.1%
28,"Senior Secured Term Loan B to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",4942,,4917,,486,,-%,,,,
