,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
1,CP Energy Services Inc. (20),Energy Equipment & Services,Senior Secured Term Loan,10/1/2017,12.00% (3ML+ 11.00%),1.00,Legal Maturity,12/29/2022,Amortized Cost,37870,% of Net Assets,,37870,,,34894,,1.1,%,(10)(39),,,,
2,"Senior Secured Term Loan A to Spartan Energy Services, LLC",10/20/2014,9.00% (1ML+ 8.00%),1.00,12.00% (3ML+ 11.00%),12/31/2022,13156,12/29/2022,13156,37870,13156,,0.3,%,(10),34894,,1.1,%,(10)(39),,,,
3,"Series A Preferred Units to Spartan Energy Holdings, Inc. (10,000 shares)",9/25/2020,9.00% (1ML+ 8.00%),-,12.00% (3ML+ 11.00%),12/31/2022,-,12/29/2022,26193,37870,6259,,0.2,%,(16),34894,,1.1,%,(10)(39),,,,
4,Series B Convertible Preferred Stock (790 shares),10/30/2015,9.00% (1ML+ 8.00%),-,12.00% (3ML+ 11.00%),12/31/2022,-,12/29/2022,63225,37870,-,,-,%,(16),34894,,1.1,%,(10)(39),,,,
5,"Common Stock (102,924 shares)",8/2/2013,9.00% (1ML+ 8.00%),-,12.00% (3ML+ 11.00%),12/31/2022,-,12/29/2022,86240,37870,-,,-,%,(16),34894,,1.1,%,(10)(39),,,,
6,"Common Stock (102,924 shares)",8/2/2013,9.00% (1ML+ 8.00%),-,12.00% (3ML+ 11.00%),12/31/2022,-,12/29/2022,86240,37870,226684,,54309,%,1.6,%,,1.1,%,(10)(39),,,,
7,"Credit Central Loan Company, LLC (21)",Consumer Finance,Subordinated Term Loan,12/28/2012,10.00% plus 10.00% PIK,-,-,6/26/2024,66126,37870,63239,,66126,%,2.1,%,(14)(39),1.1,%,(10)(39),,,,
8,"Class A Units (14,867,312 units)",12/28/2012,Subordinated Term Loan,-,10.00% plus 10.00% PIK,-,-,6/26/2024,19331,37870,12198,,0.4,%,(14)(16),%,(14)(39),1.1,%,(10)(39),,,,
9,Net Revenues Interest (25% of Net Revenues),1/28/2015,Subordinated Term Loan,-,10.00% plus 10.00% PIK,-,-,6/26/2024,-,37870,-,,-,%,(14)(16),%,(14)(39),1.1,%,(10)(39),,,,
