,0,1,2,3,4,5,6,7,8,9,10,11
0,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,106686,,,106686,,,106686.0,2.9%
1,"Common Stock (272,116 shares)",Various / Real Estate,24769,,26236,,0.7%,106686,,,,
2,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,,10594,,0.3%,106686,,,,
3,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,,131455,,143516,106686,3.9%,,,
4,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,131455,31640,143516,31640,,0.9%,,
5,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,131455,20230,143516,0.5%,,,,
6,Class A Units (700 units),20230,9006,20230,10046,20230,0.3%,0.5%,,,,
7,Class A Units (700 units),20230,9006,20230,60876,20230,61916,0.5%,1.7%,,,
8,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16875,60876,16875,61916,16875,,0.5%,,
9,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8691,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",8691,60876,8691,61916,0.2%,,,,
10,"Common Stock (14,857 shares)",8691,8553,8691,11308,8691,0.3%,0.2%,,,,
11,"Common Stock (14,857 shares)",8691,8553,8691,34119,8691,36874,0.2%,1.0%,,,
12,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,34119,11035,36874,11035,,0.3%,,
13,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(3)(4)",73099,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",73099,34119,73099,36874,2.0%,,,,
14,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15214,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",15214,34119,15214,36874,0.4%,,,,
15,"Common Stock (2,924 shares)",15214,15227,15214,2290,15214,0.1%,0.4%,,,,
16,"Common Stock (2,924 shares)",15214,15227,15214,114575,15214,101638,0.4%,2.8%,,,
17,"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,114575,36333,101638,36333,,1.0%,,
18,"Class A Shares (7,500,000 shares)(22)",Ohio / Consumer Finance,11633,36333,10766,36333,0.3%,36333,,,,
