,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
1,"Arctic Energy Services, LLC(37)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",Principal Value,Amortized Cost,Fair  Value(2),31640,,,18235,,0.6%,
2,"Class E Units (14.00%, 21,080 units)(16)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",20230,Amortized Cost,-,31640,-%,,,,,
3,"Class A Units (14.00%, 700 units)(16)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",9006,Amortized Cost,-,31640,-%,,,,,
4,Class C Units (10 units)(16),Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",-,Amortized Cost,-,31640,-%,,,,,
5,Class C Units (10 units)(16),Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",-,Amortized Cost,60876,31640,18235,,0.6%,,,
6,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2938,Amortized Cost,2938,31640,2938,,0.1%,,,
7,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17988,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",17988,Amortized Cost,17988,31640,0.5%,,,,,
8,"Common Stock (14,857 shares)(16)",17988,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,Amortized Cost,19710,31640,0.6%,,,,,
9,"Common Stock (14,857 shares)(16)",17988,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,Amortized Cost,27685,31640,40636,,1.2%,,,
10,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",6759,Amortized Cost,98273,31640,87341,,2.7%,,,
11,"Common Stock (2,924 shares)(16)",Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",15227,Amortized Cost,-,31640,-%,,,,,
12,"Common Stock (2,924 shares)(16)",Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",15227,Amortized Cost,113500,31640,87341,,2.7%,,,
13,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",51855,Amortized Cost,45685,31640,51855,,1.5%,,,
14,"Class A Units (10,640,642 units)(14)(16)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",13731,Amortized Cost,11953,31640,0.4%,,,,,
15,Net Revenues Interest (25% of Net Revenues)(14)(16),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",-,Amortized Cost,2277,31640,0.1%,,,,,
