,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
1,CCPI Inc.(19),"Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",12/13/2012,Principal Value,2797,Fair  Value(2),% of Net Assets,2797,,,2797.0,,0.1%,,,,
2,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",12/13/2012,17566,12/13/2012,17566,2797,17566,% of Net Assets,0.5%,,,2797.0,,0.1%,,,,
3,"Common Stock (14,857 shares)(16)",12/13/2012,17566,12/13/2012,6759,2797,20919,% of Net Assets,0.6%,,,2797.0,,0.1%,,,,
4,"Common Stock (14,857 shares)(16)",12/13/2012,17566,12/13/2012,6759,2797,27122,% of Net Assets,41282,,1.2%,2797.0,,0.1%,,,,
5,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,35048,2797,35048,% of Net Assets,35048,,1.1%,2797.0,,0.1%,,,,
6,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,63225,2797,63225,% of Net Assets,1.9%,,1.1%,2797.0,,0.1%,,,,
7,"Common Stock (102,924 shares)(16)",8/2/2013,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,81203,2797,31945,% of Net Assets,1.0%,,1.1%,2797.0,,0.1%,,,,
8,"Common Stock (102,924 shares)(16)",8/2/2013,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,81203,2797,179476,% of Net Assets,130218,,4.0%,2797.0,,0.1%,,,,
9,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,53631,2797,50180,% of Net Assets,53631,,1.6%,2797.0,,0.1%,,,,
10,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,13731,2797,14292,% of Net Assets,0.5%,,1.6%,2797.0,,0.1%,,,,
11,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,-,2797,938,% of Net Assets,-%,,1.6%,2797.0,,0.1%,,,,
