,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
3,CCPI Inc.(19),"Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",12/13/2012,,2797,,,2797,,,2797.0,,0.1%,,,,
4,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",12/13/2012,17566,,17566,,17566,,0.5%,,,,,,,,,
5,"Common Stock (14,857 shares)(16)",12/13/2012,,,6759,,20919,,0.6%,,,,,,,,,
6,,,,,,,27122,,41282,,1.2%,,,,,,,
7,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,35048,,35048,,35048,,1.1%,,,,,,,
8,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,,,63225,,63225,,1.9%,,,,,,,,,
9,"Common Stock (102,924 shares)(16)",8/2/2013,,,81203,,31945,,1.0%,,,,,,,,,
10,,,,,,,179476,,130218,,4.0%,,,,,,,
11,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,53631,,50180,,53631,,1.6%,,,,,,,
12,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,,,13731,,14292,,0.5%,,,,,,,,,
13,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,,,-,,938,,-%,,,,,,,,,
14,,,,,,,63911,,68861,,2.1%,,,,,,,
15,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (11.83% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,33811,,33811,,33811,,1.0%,,,,,,,
16,"Senior Secured Term Loan (11.08% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,17012,,17012,,17012,,0.5%,,,,,,,,,
17,Membership Interest (100%)(16),3/31/2014,,,22738,,40997,,1.3%,,,,,,,,,
18,,,,,,,73561,,91820,,2.8%,,,,,,,
19,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.00% PIK, due 6/24/2019)(14)(46)",6/24/2014,272170,,272170,,272170,,8.2%,,,,,,,
20,"Class A Units (95,709,910 units)(14)(16)",6/24/2014,,,81146,,173197,,5.3%,,,,,,,,,
21,,,,,,,353316,,445367,,13.5%,,,,,,,
22,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),10/1/2009,,,43892,,10024,,0.3%,,,,,,,
23,,,,,,,43892,,10024,,0.3%,,,,,,,
24,"InterDent, Inc.(52)",Health Care Providers & Services,"Senior Secured Term Loan A (8.03% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,,77994,,77994,,2.4%,,,,,,,
25,"Senior Secured Term Loan B (16.00% PIK, due 9/5/2020)(46)",8/3/2012,107397,,107397,,107397,,3.2%,,,,,,,,,
26,"Senior Secured Term Loan A/B (2.78% (LIBOR + 0.25% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,,14000,,14000,,0.4%,,,,,,,,,
27,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,37447,,35766,,21967,,0.7%,,,,,,,,,
28,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,5014,,5001,,-,,-%,,,,,,,,,
29,"Warrants (to purchase 99,900 shares of Common Stock, expires 9/19/2030)(16)",2/23/2018,,,-,,-,,-%,,,,,,,,,
30,,,,,,,240158,,221358,,6.7%,,,,,,,
31,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
32,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
33,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
34,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",9/19/2013,,26250,,,26250,,,26250.0,,0.8%,,,,
35,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(11)(46)",6/23/2014,25498,,25498,,25498,,0.8%,,,,,,,,,
36,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5402,,7200,,451,,-%,,,,,,,,,
37,"Common Stock (42,053 shares)(16)",9/19/2013,,,6849,,-,,-%,,,,,,,,,
38,,,,,,,65797,,52199,,1.6%,,,,,,,
39,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,433553,,433553,,433553,,13.1%,,,,,,,
40,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,205000,,205000,,205000,,6.2%,,,,,,,,,
41,"Common Stock (3,110,101 shares)",12/31/2013,,,163836,,283430,,8.6%,,,,,,,,,
42,Residual Profit Interest (25% of Residual Profit),12/31/2018,,,-,,94476,,2.9%,,,,,,,,,
43,,,,,-,,802389,,1016459,,30.8%,,,,,,,
44,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",6/18/2014,17854,,17854,,17854,,0.5%,,,,,,,
45,"Class A Units (32,456,159 units)(14)(16)",1/31/2013,,,21962,,13413,,0.4%,,,,,,,,,
46,,,,,,,39816,,31267,,0.9%,,,,,,,
47,"NMMB, Inc.(28)",Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",5/6/2011,3714,,3714,,3714,,0.1%,,,,,,,
48,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6/12/2014,3900,,3900,,3900,,0.1%,,,,,,,,,
49,"Series A Preferred Stock (7,200 shares)(16)",12/12/2013,,,7200,,9193,,0.3%,,,,,,,,,
