,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,,,,,,,,,,,,
1,CP Energy Services Inc. (20),Energy Equipment & Services,Senior Secured Term Loan,10/1/2017,12.00% (3ML+ 11.00%),1.00,,12/29/2022,,37870,,,37870,,,34894,,1.1,%,(10)(39),,,,
2,"Senior Secured Term Loan A to Spartan Energy Services, LLC",10/20/2014,9.00% (1ML+ 8.00%),1.00,,12/31/2022,13156,,13156,,13156,,0.3,%,(10),,,,,,,,,
3,"Series A Preferred Units to Spartan Energy Holdings, Inc. (10,000 shares)",9/25/2020,,-,,,-,,26193,,6259,,0.2,%,(16),,,,,,,,,
4,Series B Convertible Preferred Stock (790 shares),10/30/2015,,-,,,-,,63225,,-,,-,%,(16),,,,,,,,,
5,"Common Stock (102,924 shares)",8/2/2013,,-,,,-,,86240,,-,,-,%,(16),,,,,,,,,
6,,,,,,,,,,,226684,,54309,,1.6,%,,,,,,,,
7,"Credit Central Loan Company, LLC (21)",Consumer Finance,Subordinated Term Loan,12/28/2012,10.00% plus 10.00% PIK,-,,6/26/2024,66126,,63239,,66126,,2.1,%,(14)(39),,,,,,,
8,"Class A Units (14,867,312 units)",12/28/2012,,-,,,-,,19331,,12198,,0.4,%,(14)(16),,,,,,,,,
9,Net Revenues Interest (25% of Net Revenues),1/28/2015,,-,,,-,,-,,-,,-,%,(14)(16),,,,,,,,,
10,,,,,,,,,,,82570,,78324,,2.5,%,,,,,,,,
11,"Echelon Transportation, LLC",Aerospace & Defense,Senior Secured Term Loan,3/31/2014,11.75% (1ML+ 9.75%) plus 2.25% PIK,2.00,,3/31/2022,48160,,48160,,48160,,1.5,%,(10)(39),,,,,,,
12,Senior Secured Term Loan,12/9/2016,11.00% (1ML+ 9.00%) plus 1.00% PIK,2.00,,12/7/2024,21637,,21637,,21637,,0.7,%,(10)(39),,,,,,,,,
13,Membership Interest (100%),3/31/2014,,-,,,-,,22738,,22327,,0.7,%,(16),,,,,,,,,
14,,,,,,,,,,,92535,,92124,,2.9,%,,,,,,,,
15,First Tower Finance Company LLC (23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC",6/24/2014,10.00% plus 12.00% PIK,-,,6/24/2024,272158,,272158,,272158,,8.6,%,(14)(39),,,,,,,
16,"Class A Units (95,709,910 units)",6/14/2012,,-,,,-,,81146,,237942,,7.5,%,(14)(16),,,,,,,,,
17,,,,,,,,,,,353304,,510100,,16.1,%,,,,,,,,
18,"Freedom Marine Solutions, LLC (24)",Energy Equipment & Services,Membership Interest (100%),11/9/2006,,-,,,-,,43892,,12351,,0.4,%,(16),,,,,,,
19,,,,,,,,,,,43892,,12351,,0.4,%,,,,,,,,
20,"InterDent, Inc. (29)",Health Care Providers & Services,Senior Secured Term Loan A/B,8/1/2018,11.85% (1ML+ 9.85%),2.00,,9/5/2022,14250,,14249,,14249,,0.4,%,(10)(39),,,,,,,
21,Senior Secured Term Loan A,8/3/2012,6.50% (1ML+ 5.50%),1.00,,9/5/2022,79242,,79242,,79242,,2.5,%,-10,,,,,,,,,
22,Senior Secured Term Loan B,8/3/2012,10.00% PIK,-,,9/5/2022,131725,,131725,,131725,,4.1,%,,,,,,,,,,
23,"Common Stock (99,900 shares)",5/3/2019,,-,,,-,,45118,,11768,,0.4,%,(16),,,,,,,,,
24,,,,,,,,,,,270334,,236984,,7.4,%,,,,,,,,
25,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%),8/26/2019,,-,,,-,,2378,,3000,,0.1,%,(16),,,,,,,
26,,,,,,,,,,,2378,,3000,,0.1,%,,,,,,,,
27,"MITY, Inc. (25)",Commercial Services & Supplies,Senior Secured Note A,9/19/2013,10.00% (3ML+ 7.00%),3.00,,4/30/2025,26250,,26250,,26250,,0.8,%,(10),,,,,,,
28,Senior Secured Note B,6/23/2014,10.00% (3ML+ 7.00%) plus 10.00% PIK,3.00,,4/30/2025,33859,,33859,,22729,,0.7,%,(10)(39),,,,,,,,,
29,Subordinated Unsecured Note to Broda Enterprises ULC,9/19/2013,10.00%,-,,1/1/2028,7200,,6205,,-,,-,%,(14),,,,,,,,,
30,"Common Stock (42,053 shares)",9/19/2013,,-,,,-,,6849,,-,,-,%,(16),,,,,,,,,
31,,,,,,,,,,,73163,,48979,,1.5,%,,,,,,,,
32,National Property REIT Corp. (26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,Senior Secured Term Loan A,12/31/2018,4.44% (3ML+ 1.44%) plus 3.53% PIK,3.00,,12/31/2023,319379,,319379,,319379,,10.0,%,(10)(39),,,,,,,
33,Senior Secured Term Loan B,12/31/2018,5.00% (3ML+ 2.00%) plus 5.50% PIK,3.00,,12/31/2023,30621,,30621,,30621,,1.0,%,(10)(39),,,,,,,,,
34,Senior Secured Term Loan C,10/31/2019,11.00% (3ML+ 10.00%) plus 2.25% PIK,1.00,,12/31/2023,101200,,101200,,101200,,3.2,%,(10)(39),,,,,,,,,
35,Senior Secured Term Loan D,6/19/2020,3.50% (3ML+ 0.50%) plus 2.50% PIK,3.00,,12/31/2023,183425,,183425,,183425,,5.8,%,(10)(39),,,,,,,,,
36,Residual Profit Interest,12/31/2018,,-,,,-,,-,,-,,-,%,(35),,,,,,,,,
37,"Common Stock (3,254,594 shares)",12/31/2013,,-,,,-,,210,,278955,,8.8,%,(45),,,,,,,,,
38,,,,,,,,,,,634835,,913580,,28.8,%,,,,,,,,
39,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
40,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,,,,,,,,,,,,
