,0,1,2,3,4,5,6,7,8,9,10,11
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(45),,,,,,,,,,,
2,"Arctic Energy Services, LLC(17)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(15)",,,31640,,,15258,,0.4%,
3,"Class E Units (21,080 units)(15)",,20230,,-,,-%,,,,,
4,Class A Units (700 units)(15),,9006,,-,,-%,,,,,
5,Class C Units (10 units)(15),,-,,-,,-%,,,,,
6,,,,,60876,,15258,,0.4%,,,
7,CCPI Inc.(18),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",11975,,11975,,11975,,0.4%,,
8,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(3)(44)",9320,,9320,,9320,,0.3%,,,,
9,"Common Stock (14,857 shares)",,6759,,20703,,0.5%,,,,,
10,,,,,28054,,41998,,1.2%,,,
11,CP Energy Services Inc.(19),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(15)",,98273,,71205,,2.1%,,,
12,"Common Stock (2,924 shares)(15)",,15227,,-,,-%,,,,,
13,,,,,113500,,71205,,2.1%,,,
14,"Credit Central Loan Company, LLC(20)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(44)",51855,,44897,,51855,,1.5%,,
15,"Class A Units (10,640,642 units)(13)(15)",,13731,,8342,,0.2%,,,,,
16,Net Revenues Interest (25% of Net Revenues)(13)(15),,-,,2775,,0.2%,,,,,
17,,,,,58628,,62972,,1.9%,,,
18,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(44)",31055,,31055,,31055,,0.9%,,
19,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(12)(44)",16044,,16044,,16044,,0.5%,,,,
20,Membership Interest (99%),,22738,,31676,,0.9%,,,,,
21,,,,,69837,,78775,,2.3%,,,
22,"Edmentum Ultimate Holdings, LLC(21)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(8)(14)",4896,,4896,,4896,,0.1%,,
23,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(8)(44)",6763,,6763,,6763,,0.2%,,,,
24,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 6/9/2020)(8)",31102,,23829,,29701,,0.9%,,,,
25,"Class A Units (370,964 units)(15)",,6577,,-,,-%,,,,,
26,,,,,42065,,41360,,1.2%,,,
27,First Tower Finance Company LLC(22),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(13)(44)",258869,,258869,,258869,,7.6%,,
28,"Class A Units (93,997,533 units)(13)(15)",,78481,,90556,,2.7%,,,,,
29,,,,,337350,,349425,,10.3%,,,
30,"Freedom Marine Solutions, LLC(23)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(15),,41811,,23994,,0.7%,,,
31,,,,,41811,,23994,,0.7%,,,
32,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
33,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
34,Control Investments (greater than 25.00% voting control)(45),,,,,,,,,,,
35,Gulf Coast Machine & Supply Company,Texas / Energy Equipment & Services,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",,47163,,,39403,,,7144.0,0.2%
36,"Series A Convertible Preferred Stock (99,900 shares)(15)",,25950,,-,,-%,,,,,
37,Common Stock (100 shares)(15),,-,,-,,-%,,,,,
38,,,,,65353,,7144,,0.2%,,,
