,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,
3,"Arctic Energy Services, LLC(15)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",,,31640,,,20167,,0.6%,,
4,"Class E Units (21,080 units)",,20230,,-,,-%,,,,,,
5,Class A Units (700 units),,9006,,-,,-%,,,,,,
6,Class C Units (10 units),,-,,-,,-%,,,,,,
7,,,,,60876,,20167,,0.6%,,,,
8,CCPI Inc.(16),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12200,,12200,,12200,,0.4%,,,
9,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(39)",9320,,9320,,9320,,0.3%,,,,,
10,"Common Stock (14,857 shares)",,6759,,20722,,0.5%,,,,,,
11,,,,,28279,,42242,,1.2%,,,,
12,CP Energy Services Inc.(17),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",,98273,,76002,,2.2%,,,,
13,"Common Stock (2,924 shares)",,15227,,-,,-%,,,,,,
14,,,,,113500,,76002,,2.2%,,,,
15,"Credit Central Loan Company, LLC(18)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(39)",50510,,42989,,50510,,1.5%,,,
16,"Class A Shares (10,640,642 shares)(13)",,13731,,9341,,0.3%,,,,,,
17,Net Revenues Interest (25% of Net Revenues)(13),,-,,4069,,0.1%,,,,,,
18,,,,,56720,,63920,,1.9%,,,,
19,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(39)",31055,,31055,,31055,,0.9%,,,
20,Membership Interest (99%),,19907,,23988,,0.7%,,,,,,
21,,,,,50962,,55043,,1.6%,,,,
22,"Edmentum Ultimate Holdings, LLC(19)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",-,,-,,-,,-%,,,
23,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(39)",6478,,6478,,6478,,0.2%,,,,,
24,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(39)",29571,,23073,,24766,,0.7%,,,,,
25,"Class A Common Units (370,964 units)",,6577,,4241,,0.1%,,,,,,
26,,,,,36128,,35485,,1.0%,,,,
27,First Tower Finance Company LLC(20),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(13)(39)",256578,,256578,,256578,,7.5%,,,
28,"Class A Shares (86,711,625 shares)(13)",,70476,,95275,,2.7%,,,,,,
29,,,,,327054,,351853,,10.2%,,,,
30,"Freedom Marine Solutions, LLC(21)",Louisiana / Oil & Gas Services,Membership Interest (100%),,41411,,26671,,0.8%,,,,
31,,,,,41411,,26671,,0.8%,,,,
32,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",38906,,33403,,7394,,0.2%,,,
33,"Series A Convertible Preferred Stock (99,900 shares)",,25950,,-,,-%,,,,,,
34,,,,,59353,,7394,,0.2%,,,,
35,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
36,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
37,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,
38,"MITY, Inc.(22)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(10)(11)",,18250,,,18250,,,18250.0,,0.5%
39,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(3)(10)(11)(39)",16442,,16442,,16442,,0.5%,,,,,
40,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(13)",5646,,7200,,5646,,0.2%,,,,,
41,"Common Stock (42,053 shares)",,6849,,13177,,0.4%,,,,,,
42,,,,,48741,,53515,,1.6%,,,,
43,National Property REIT Corp.(23),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",283972,,283972,,283972,,8.3%,,,
44,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(39)",212819,,212819,,212819,,6.2%,,,,,
45,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(39)",135818,,135818,,135818,,4.0%,,,,,
46,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(39)",11508,,11508,,11508,,0.3%,,,,,
47,"Common Stock (1,656,276 shares)",-,,188444,,267511,,7.7%,,,,,
48,Net Operating Income Interest (5% of Net Operating Income),-,,-,,68362,,2.0%,,,,,
49,,,,,832561,,979990,,28.5%,,,,
50,Nationwide Loan Company LLC(24),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(13)(39)",16819,,16819,,16819,,0.5%,,,
51,"Class A Shares (29,559,899 shares)(13)",,16292,,20690,,0.6%,,,,,,
52,,,,,33111,,37509,,1.1%,,,,
53,"NMMB, Inc.(25)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,,3714,,3404,,0.1%,,,
54,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,,7000,,6416,,0.2%,,,,,
55,"Series A Preferred Stock (7,200 shares)",,7200,,28,,-%,,,,,,
56,"Series B Preferred Stock (5,669 shares)",,5669,,35,,-%,,,,,,
57,,,,,23583,,9883,,0.3%,,,,
58,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(10)(11)",28622,,28622,,28622,,0.8%,,,
59,"Common Stock (545,107 shares)",,5087,,4824,,0.1%,,,,,,
60,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",,1681,,1769,,0.1%,,,,,,
61,,,,,35390,,35215,,1.0%,,,,
62,USES Corp.(26),Texas / Commercial Services,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",26683,,26158,,26683,,0.8%,,,
63,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",36905,,35568,,15704,,0.4%,,,,,
64,"Common Stock (268,962 shares)",,-,,-,,-%,,,,,,
65,,,,,61726,,42387,,1.2%,,,,
66,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
67,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
68,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,
69,"Valley Electric Company, Inc.(27)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(10)(11)(39)",,10430,,,10430,,,10430.0,,0.3%
70,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2019)(39)",24199,,24199,,20101,,0.6%,,,,,
71,"Common Stock (50,000 shares)",,26204,,-,,-%,,,,,,
72,,,,,60833,,30531,,0.9%,,,,
73,"Wolf Energy, LLC",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",38257,,-,,-,,-%,,,
74,Membership Interest (100%),,-,,-,,-%,,,,,,
75,Net Profits Interest (8% of Equity Distributions)(4),,-,,16,,-%,,,,,,
76,,,,,-,,16,,-%,,,,
77,,,1870228,,,1867823,,54.3%,,,,,
78,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
79,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
80,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,
81,"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",,,309,,,617,,-%,,
82,,,,,309,,617,,-%,,,,
