,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(45),,,,,,,,,,,
3,"Arctic Energy Services, LLC(17)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(15)",,,31640,,,15258,,0.4%,
4,"Class E Units (21,080 units)(15)",,20230,,-,,-%,,,,,
5,Class A Units (700 units)(15),,9006,,-,,-%,,,,,
6,Class C Units (10 units)(15),,-,,-,,-%,,,,,
7,,,,,60876,,15258,,0.4%,,,
8,CCPI Inc.(18),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",11975,,11975,,11975,,0.4%,,
9,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(3)(44)",9320,,9320,,9320,,0.3%,,,,
10,"Common Stock (14,857 shares)",,6759,,20703,,0.5%,,,,,
11,,,,,28054,,41998,,1.2%,,,
12,CP Energy Services Inc.(19),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(15)",,98273,,71205,,2.1%,,,
13,"Common Stock (2,924 shares)(15)",,15227,,-,,-%,,,,,
14,,,,,113500,,71205,,2.1%,,,
15,"Credit Central Loan Company, LLC(20)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(44)",51855,,44897,,51855,,1.5%,,
16,"Class A Units (10,640,642 units)(13)(15)",,13731,,8342,,0.2%,,,,,
17,Net Revenues Interest (25% of Net Revenues)(13)(15),,-,,2775,,0.2%,,,,,
18,,,,,58628,,62972,,1.9%,,,
19,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(44)",31055,,31055,,31055,,0.9%,,
20,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(12)(44)",16044,,16044,,16044,,0.5%,,,,
21,Membership Interest (99%),,22738,,31676,,0.9%,,,,,
22,,,,,69837,,78775,,2.3%,,,
23,"Edmentum Ultimate Holdings, LLC(21)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(8)(14)",4896,,4896,,4896,,0.1%,,
24,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(8)(44)",6763,,6763,,6763,,0.2%,,,,
25,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 6/9/2020)(8)",31102,,23829,,29701,,0.9%,,,,
26,"Class A Units (370,964 units)(15)",,6577,,-,,-%,,,,,
27,,,,,42065,,41360,,1.2%,,,
28,First Tower Finance Company LLC(22),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(13)(44)",258869,,258869,,258869,,7.6%,,
29,"Class A Units (93,997,533 units)(13)(15)",,78481,,90556,,2.7%,,,,,
30,,,,,337350,,349425,,10.3%,,,
31,"Freedom Marine Solutions, LLC(23)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(15),,41811,,23994,,0.7%,,,
32,,,,,41811,,23994,,0.7%,,,
33,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
34,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
35,Control Investments (greater than 25.00% voting control)(45),,,,,,,,,,,
36,Gulf Coast Machine & Supply Company,Texas / Energy Equipment & Services,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",,47163,,,39403,,,7144.0,0.2%
37,"Series A Convertible Preferred Stock (99,900 shares)(15)",,25950,,-,,-%,,,,,
38,Common Stock (100 shares)(15),,-,,-,,-%,,,,,
39,,,,,65353,,7144,,0.2%,,,
40,"MITY, Inc.(24)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",26250,,26250,,26250,,0.8%,,
41,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(10)(11)(44)",24442,,24442,,24442,,0.7%,,,,
42,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(13)",5531,,7200,,5531,,0.2%,,,,
43,"Common Stock (42,053 shares)",,6849,,19441,,0.5%,,,,,
44,,,,,64741,,75664,,2.2%,,,
45,National Property REIT Corp.(25),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(44)",297065,,297065,,297065,,8.8%,,
46,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(44)",132741,,132741,,132741,,3.9%,,,,
47,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(44)",99934,,99934,,99934,,2.9%,,,,
48,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 12/15/2020)(10)(11)(13)(44)",46918,,46918,,46918,,1.4%,,,,
49,"Common Stock (2,266,143 shares)(15)",,244044,,292221,,8.6%,,,,,
50,Net Operating Income Interest (5% of Net Operating Income)(15),,-,,90738,,2.7%,,,,,
51,,,,,820702,,959617,,28.3%,,,
52,Nationwide Loan Company LLC(26),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(13)(44)",16819,,16819,,16819,,0.5%,,
53,"Class A Units (29,559,899 units)(13)",,16293,,19285,,0.6%,,,,,
54,,,,,33112,,36104,,1.1%,,,
55,"NMMB, Inc.(27)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,,3714,,3714,,0.1%,,
56,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,,7000,,7000,,0.2%,,,,
57,"Series A Preferred Stock (7,200 shares)(15)",,7200,,3598,,0.1%,,,,,
58,"Series B Preferred Stock (5,669 shares)(15)",,5669,,2833,,0.1%,,,,,
59,,,,,23583,,17145,,0.5%,,,
60,"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (10.15% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",28622,,28622,,28622,,0.8%,,
61,"Common Stock (745,107 shares)",,6866,,8601,,0.3%,,,,,
62,,,,,35488,,37223,,1.1%,,,
63,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
64,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
65,Control Investments (greater than 25.00% voting control)(45),,,,,,,,,,,
66,USES Corp.(28),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",,29433,,,27658,,,23458.0,0.7%
67,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",39892,,35568,,-,,-%,,,,
68,"Common Stock (268,962 shares)(15)",,-,,-,,-%,,,,,
69,,,,,63226,,23458,,0.7%,,,
70,"Valley Electric Company, Inc.(29)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(10)(11)(44)",10430,,10430,,10430,,0.3%,,
71,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2019)(44)",25091,,25091,,22367,,0.7%,,,,
72,"Common Stock (50,000 shares)(15)",,26204,,-,,-%,,,,,
73,,,,,61725,,32797,,1.0%,,,
74,"Wolf Energy, LLC(30)",Kansas / Energy Equipment & Services,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",41757,,-,,93,,0.1%,,
75,Membership Interest (100%)(15),,-,,-,,-%,,,,,
76,"Membership Interest in Wolf Energy Services Company, LLC (100%)(15)",-,,19376,,18472,,0.5%,,,,
77,Net Profits Interest (8% of Equity Distributions)(4)(15),,-,,15,,-%,,,,,
78,,,,,19376,,18580,,0.6%,,,
79,,,1939427,,,1892719,,55.8%,,,,
80,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
