0,1,2,3,4,5,6,7,8,9,10,11,12
"Arctic Energy Services, LLC(37)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",0,0,0,31640,0,0,18235,0.0,0.6%,0
Class C Units (10 units)(16),Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",-,0,60876,31640,18235,0,0.6%,0.0,0,0
CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2938,0,2938,31640,2938,0,0.1%,0.0,0,0
"Common Stock (14,857 shares)(16)",17988,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",6759,0,27685,31640,40636,0,1.2%,0.0,0,0
CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",6759,0,98273,31640,87341,0,2.7%,0.0,0,0
"Common Stock (2,924 shares)(16)",Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (16.00%, 1,043 shares)(16)",15227,0,113500,31640,87341,0,2.7%,0.0,0,0
"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",51855,0,45685,31640,51855,0,1.5%,0.0,0,0
Net Revenues Interest (25% of Net Revenues)(14)(16),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",-,0,59416,31640,66085,0,2.0%,0.0,0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",31055,0,31055,31640,31055,0,0.9%,0.0,0,0
Membership Interest (99%)(16),16044,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",22738,0,69837,31640,70502,0,2.1%,0.0,0,0
"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",22738,0,-,31640,-,0,-%,0.0,0,0
"Class A Units (370,964 units)(16)",32685,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",6577,0,37461,31640,30880,0,0.9%,0.0,0,0
First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",260073,0,260073,31640,260073,0,7.9%,0.0,0,0
"Class A Units (93,997,533 units)(14)(16)",Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",78481,0,338554,31640,373677,0,11.4%,0.0,0,0
"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),78481,0,42812,31640,25055,0,0.8%,0.0,0,0
"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),78481,0,42812,31640,25055,0,0.8%,0.0,0,0
"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",Principal Value,26250,Fair  Value(2),% of Net Assets,26250,0,0,26250.0,0,0.8%
"Common Stock (42,053 shares)(16)",5897,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",6849,26250,64741,% of Net Assets,77736,0,2.4%,0.0,0,0
National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",292426,26250,292426,% of Net Assets,292426,0,8.9%,0.0,0,0
