,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,,,,,,,,,,,,
2,CP Energy Services Inc. (20),Energy Equipment & Services,Senior Secured Term Loan,10/1/2017,12.00% (3ML+ 11.00%),1.00,,12/29/2022,,37870,,,37870,,,34894,,1.1,%,(10)(39),,,,
3,"Senior Secured Term Loan A to Spartan Energy Services, LLC",10/20/2014,9.00% (1ML+ 8.00%),1.00,,12/31/2022,13156,,13156,,13156,,0.3,%,(10),,,,,,,,,
4,"Series A Preferred Units to Spartan Energy Holdings, Inc. (10,000 shares)",9/25/2020,,-,,,-,,26193,,6259,,0.2,%,(16),,,,,,,,,
5,Series B Convertible Preferred Stock (790 shares),10/30/2015,,-,,,-,,63225,,-,,-,%,(16),,,,,,,,,
6,"Common Stock (102,924 shares)",8/2/2013,,-,,,-,,86240,,-,,-,%,(16),,,,,,,,,
7,,,,,,,,,,,226684,,54309,,1.6,%,,,,,,,,
8,"Credit Central Loan Company, LLC (21)",Consumer Finance,Subordinated Term Loan,12/28/2012,10.00% plus 10.00% PIK,-,,6/26/2024,66126,,63239,,66126,,2.1,%,(14)(39),,,,,,,
9,"Class A Units (14,867,312 units)",12/28/2012,,-,,,-,,19331,,12198,,0.4,%,(14)(16),,,,,,,,,
10,Net Revenues Interest (25% of Net Revenues),1/28/2015,,-,,,-,,-,,-,,-,%,(14)(16),,,,,,,,,
11,,,,,,,,,,,82570,,78324,,2.5,%,,,,,,,,
12,"Echelon Transportation, LLC",Aerospace & Defense,Senior Secured Term Loan,3/31/2014,11.75% (1ML+ 9.75%) plus 2.25% PIK,2.00,,3/31/2022,48160,,48160,,48160,,1.5,%,(10)(39),,,,,,,
13,Senior Secured Term Loan,12/9/2016,11.00% (1ML+ 9.00%) plus 1.00% PIK,2.00,,12/7/2024,21637,,21637,,21637,,0.7,%,(10)(39),,,,,,,,,
14,Membership Interest (100%),3/31/2014,,-,,,-,,22738,,22327,,0.7,%,(16),,,,,,,,,
15,,,,,,,,,,,92535,,92124,,2.9,%,,,,,,,,
16,First Tower Finance Company LLC (23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC",6/24/2014,10.00% plus 12.00% PIK,-,,6/24/2024,272158,,272158,,272158,,8.6,%,(14)(39),,,,,,,
17,"Class A Units (95,709,910 units)",6/14/2012,,-,,,-,,81146,,237942,,7.5,%,(14)(16),,,,,,,,,
18,,,,,,,,,,,353304,,510100,,16.1,%,,,,,,,,
19,"Freedom Marine Solutions, LLC (24)",Energy Equipment & Services,Membership Interest (100%),11/9/2006,,-,,,-,,43892,,12351,,0.4,%,(16),,,,,,,
20,,,,,,,,,,,43892,,12351,,0.4,%,,,,,,,,
21,"InterDent, Inc. (29)",Health Care Providers & Services,Senior Secured Term Loan A/B,8/1/2018,11.85% (1ML+ 9.85%),2.00,,9/5/2022,14250,,14249,,14249,,0.4,%,(10)(39),,,,,,,
22,Senior Secured Term Loan A,8/3/2012,6.50% (1ML+ 5.50%),1.00,,9/5/2022,79242,,79242,,79242,,2.5,%,-10,,,,,,,,,
23,Senior Secured Term Loan B,8/3/2012,10.00% PIK,-,,9/5/2022,131725,,131725,,131725,,4.1,%,,,,,,,,,,
