,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,,,
1,"Arctic Energy Services, LLC(18)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",Principal Value,Cost,Fair  Value(2),31640,,,35815,,1.0%,,,,,,,,,,,
2,"Class E Units (21,080 units)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",20230,Cost,2525,31640,0.1%,,35815,,1.0%,,,,,,,,,,,
3,Class A Units (700 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",9006,Cost,-,31640,-%,,35815,,1.0%,,,,,,,,,,,
4,Class C Units (10 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,Cost,-,31640,-%,,35815,,1.0%,,,,,,,,,,,
5,Class C Units (10 units),Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,60876,-,38340,-%,1.1%,35815,,1.0%,,,,,,,,,,,
6,CCPI Inc.(19),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12313,60876,12313,38340,12313,1.1%,0.4%,,1.0%,,,,,,,,,,,
7,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(47)",9320,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",9320,60876,9320,38340,0.3%,1.1%,0.4%,,1.0%,,,,,,,,,,,
8,"Common Stock (14,857 shares)",9320,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6635,60876,19723,38340,0.5%,1.1%,0.4%,,1.0%,,,,,,,,,,,
9,"Common Stock (14,857 shares)",9320,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6635,28268,19723,41356,0.5%,1.2%,0.4%,,1.0%,,,,,,,,,,,
10,CP Energy Services Inc.(20),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",6635,28268,98273,41356,76002,1.2%,2.2%,,1.0%,,,,,,,,,,,
11,"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",15227,28268,-,41356,-%,1.2%,2.2%,,1.0%,,,,,,,,,,,
12,"Common Stock (2,924 shares)",Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",15227,113500,-,76002,-%,2.2%,2.2%,,1.0%,,,,,,,,,,,
13,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(15)(47)",36931,113500,36931,76002,36931,2.2%,1.1%,,1.0%,,,,,,,,,,,
14,"Class A Shares (7,500,000 shares)(15)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(15)(47)",11633,113500,11707,76002,0.3%,2.2%,1.1%,,1.0%,,,,,,,,,,,
15,Net Revenues Interest (25% of Net Revenues)(15),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(15)(47)",-,113500,3616,76002,0.1%,2.2%,1.1%,,1.0%,,,,,,,,,,,
16,Net Revenues Interest (25% of Net Revenues)(15),South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(15)(47)",-,48564,3616,52254,0.1%,1.5%,1.1%,,1.0%,,,,,,,,,,,
17,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(11)(14)(47)",37855,48564,37855,52254,37855,1.5%,1.1%,,1.0%,,,,,,,,,,,
18,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(11)(14)(47)",19907,48564,22966,52254,0.7%,1.5%,1.1%,,1.0%,,,,,,,,,,,
19,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(11)(14)(47)",19907,57762,22966,60821,0.7%,1.8%,1.1%,,1.0%,,,,,,,,,,,
20,"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(16)",6424,57762,6424,60821,6424,1.8%,0.2%,,1.0%,,,,,,,,,,,
21,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(47)",6341,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(16)",6341,57762,6341,60821,0.2%,1.8%,0.2%,,1.0%,,,,,,,,,,,
22,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(47)",28834,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(16)",22337,57762,25569,60821,0.7%,1.8%,0.2%,,1.0%,,,,,,,,,,,
23,"Class A Common Units (370,964 units)",28834,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(16)",6576,57762,6012,60821,0.2%,1.8%,0.2%,,1.0%,,,,,,,,,,,
24,"Class A Common Units (370,964 units)",28834,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(16)",6576,41678,6012,44346,0.2%,1.3%,0.2%,,1.0%,,,,,,,,,,,
25,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(15)(47)",255762,41678,255762,44346,255762,1.3%,7.4%,,1.0%,,,,,,,,,,,
26,"Class A Shares (86,711,625 shares)(15)",Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(15)(47)",70476,41678,96904,44346,2.8%,1.3%,7.4%,,1.0%,,,,,,,,,,,
27,"Class A Shares (86,711,625 shares)(15)",Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(15)(47)",70476,326238,96904,352666,2.8%,10.2%,7.4%,,1.0%,,,,,,,,,,,
28,"Freedom Marine Solutions, LLC(24)",Louisiana / Oil & Gas Services,Membership Interest (100%),70476,326238,40810,352666,26618,10.2%,0.8%,,1.0%,,,,,,,,,,,
29,"Freedom Marine Solutions, LLC(24)",Louisiana / Oil & Gas Services,Membership Interest (100%),70476,40810,40810,26618,26618,0.8%,0.8%,,1.0%,,,,,,,,,,,
30,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(11)(13)",38892,40810,34425,26618,7312,0.8%,0.2%,,1.0%,,,,,,,,,,,
31,"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(11)(13)",25950,40810,-,26618,-%,0.8%,0.2%,,1.0%,,,,,,,,,,,
32,"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(11)(13)",25950,60375,-,7312,-%,0.2%,0.2%,,1.0%,,,,,,,,,,,
33,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,-%,0.2%,0.2%,,1.0%,,,,,,,,,,,
34,"MITY, Inc.(26)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(11)(13)",Principal Value,18250,Fair  Value(2),% of Net Assets,18250,0.2%,0.2%,18250.0,1.0%,0.5%,,,,,,,,,,
35,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(3)(11)(13)(47)",16442,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(11)(13)",16442,18250,16442,% of Net Assets,0.5%,0.2%,0.2%,18250.0,1.0%,0.5%,,,,,,,,,,
36,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(15)",7200,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(11)(13)",7200,18250,5667,% of Net Assets,0.2%,0.2%,0.2%,18250.0,1.0%,0.5%,,,,,,,,,,
37,"Common Stock (42,053 shares)",7200,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(11)(13)",6848,18250,13690,% of Net Assets,0.4%,0.2%,0.2%,18250.0,1.0%,0.5%,,,,,,,,,,
38,"Common Stock (42,053 shares)",7200,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(11)(13)",6848,48740,13690,54049,0.4%,1.6%,0.2%,18250.0,1.0%,0.5%,,,,,,,,,,
39,National Property REIT Corp.(27),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(11)(13)(47)",248677,48740,248677,54049,248677,1.6%,7.2%,18250.0,1.0%,0.5%,,,,,,,,,,
40,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(11)(13)(47)",212819,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(11)(13)(47)",212819,48740,212819,54049,6.2%,1.6%,7.2%,18250.0,1.0%,0.5%,,,,,,,,,,
41,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(11)(13)(15)(47)",99972,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(11)(13)(47)",99972,48740,99972,54049,2.9%,1.6%,7.2%,18250.0,1.0%,0.5%,,,,,,,,,,
42,"Common Stock (1,533,899 shares)",99972,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(11)(13)(47)",165908,48740,215491,54049,6.3%,1.6%,7.2%,18250.0,1.0%,0.5%,,,,,,,,,,
43,Net Operating Income Interest (5% of Net Operating Income),99972,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(11)(13)(47)",-,48740,66974,54049,2.0%,1.6%,7.2%,18250.0,1.0%,0.5%,,,,,,,,,,
44,Net Operating Income Interest (5% of Net Operating Income),99972,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(11)(13)(47)",-,727376,66974,843933,2.0%,24.6%,7.2%,18250.0,1.0%,0.5%,,,,,,,,,,
45,Nationwide Loan Company LLC(28),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(15)(47)",16696,727376,16696,843933,16696,24.6%,0.5%,18250.0,1.0%,0.5%,,,,,,,,,,
46,"Class A Shares (29,343,795 shares)(15)",Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(15)(47)",16201,727376,19117,843933,0.5%,24.6%,0.5%,18250.0,1.0%,0.5%,,,,,,,,,,
47,"Class A Shares (29,343,795 shares)(15)",Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(15)(47)",16201,32897,19117,35813,0.5%,1.0%,0.5%,18250.0,1.0%,0.5%,,,,,,,,,,
48,"NMMB, Inc.(29)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,32897,3714,35813,3442,1.0%,0.1%,18250.0,1.0%,0.5%,,,,,,,,,,
49,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,"Senior Secured Note (14.00%, due 5/6/2021)",7000,32897,6487,35813,0.2%,1.0%,0.1%,18250.0,1.0%,0.5%,,,,,,,,,,
50,"Series A Preferred Stock (7,200 shares)",7000,"Senior Secured Note (14.00%, due 5/6/2021)",7200,32897,44,35813,-%,1.0%,0.1%,18250.0,1.0%,0.5%,,,,,,,,,,
51,"Series B Preferred Stock (5,669 shares)",7000,"Senior Secured Note (14.00%, due 5/6/2021)",5669,32897,34,35813,-%,1.0%,0.1%,18250.0,1.0%,0.5%,,,,,,,,,,
52,"Series B Preferred Stock (5,669 shares)",7000,"Senior Secured Note (14.00%, due 5/6/2021)",5669,23583,34,10007,-%,0.3%,0.1%,18250.0,1.0%,0.5%,,,,,,,,,,
53,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(11)(13)",28622,23583,28622,10007,28622,0.3%,0.8%,18250.0,1.0%,0.5%,,,,,,,,,,
54,"Common Stock (545,107 shares)",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(11)(13)",5087,23583,6039,10007,0.2%,0.3%,0.8%,18250.0,1.0%,0.5%,,,,,,,,,,
