,0,1,2,3,4,5,6,7,8,9,10,11
0,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",,78635,,,78635,,,78635.0,2.2%
1,"Common Stock (301,845 shares)",Various / Real Estate,22912,,33531,,0.9%,78635,,,,
2,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,,8182,,0.2%,78635,,,,
3,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,,101547,,120348,78635,3.3%,,,
4,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,Class D Units (32915.09 units),,31640,,32915,78635,1.0%,,,
5,"Class E Units (21,080 units)",Wyoming / Oil & Gas Services,20230,,21080,,0.6%,78635,,,,
6,Class A Units (700 units),Wyoming / Oil & Gas Services,9006,,1600,,-%,78635,,,,
7,Class C Units (10 units),Wyoming / Oil & Gas Services,-,,745,,-%,78635,,,,
8,Class C Units (10 units),Wyoming / Oil & Gas Services,-,,60876,,56340,78635,1.6%,,,
9,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12650,60876,12650,56340,12650,,0.4%,,
10,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9000,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",9000,60876,9000,56340,0.2%,,,,
11,"Common Stock (14,857 shares)",9000,6636,9000,14756,9000,0.4%,0.2%,,,,
12,"Common Stock (14,857 shares)",9000,6636,9000,28286,9000,36406,0.2%,1.0%,,,
13,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(20)",11035,28286,11035,36406,11035,,0.3%,,
14,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, in non-accrual status effective 9/30/2015, due 4/1/2019)(3)(4)(6)(20)",75930,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(20)",72238,28286,71826,36406,2.0%,,,,
15,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(6)(20)",15924,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(20)",15000,28286,-,36406,-%,,,,
16,"Common Stock (2,924 shares)",15924,15227,15000,-,-,-%,-%,,,,
17,"Common Stock (2,924 shares)",15924,15227,15000,113500,-,82861,-%,2.3%,,,
18,"Credit Central Loan Company, LLC(34)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",36333,113500,36333,82861,36333,,1.1%,,
19,"Class A Shares (7,500,000 shares)(22)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",11633,113500,16110,82861,0.4%,,,,
20,Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,-,11633,4066,16110,0.1%,0.4%,,,,
21,Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,-,11633,47966,16110,56509,0.4%,1.6%,,,
22,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",40808,47966,40808,56509,40808,,1.2%,,
23,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,47966,19745,56509,0.5%,,,,
24,Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,60715,19745,60553,0.5%,1.7%,,,
25,"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",-,60715,-,60553,-,,-%,,
26,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(6)",5948,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",5948,60715,5875,60553,0.2%,,,,
27,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(6)",26746,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",20249,60715,19868,60553,0.5%,,,,
28,"Class A Common Units (370,964.14 units)",26746,6577,20249,6577,19868,0.2%,0.5%,,,,
29,"Class A Common Units (370,964.14 units)",26746,6577,20249,32774,19868,32320,0.5%,0.9%,,,
30,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,0.5%,,,,
31,First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(22)",Principal Value,251246,Fair  Value(2),% of Net Assets,251246,,,251246.0,7.0%
32,"Class A Shares (83,729,323 shares)(22)",Mississippi / Consumer Finance,66473,Principal Value,112378,Fair  Value(2),3.1%,251246,,,,
33,"Class A Shares (83,729,323 shares)(22)",Mississippi / Consumer Finance,66473,Principal Value,317719,Fair  Value(2),363624,251246,10.1%,,,
34,"Freedom Marine Solutions, LLC(8)",Louisiana / Oil & Gas Services,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,317719,3500,363624,3500,,0.1%,,
35,"Senior Secured Note to Vessel Company II, LLC (13.00%, due 11/25/2018)",13000,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",12504,317719,8682,363624,0.2%,,,,
36,"Senior Secured Note to Vessel Company III, LLC (13.00%, due 12/3/2018)",16000,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",16000,317719,13794,363624,0.4%,,,,
37,Membership Interest (100%),16000,7808,16000,1121,13794,-%,0.4%,,,,
38,Membership Interest (100%),16000,7808,16000,39812,13794,27097,0.4%,0.7%,,,
39,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)(20)",30535,39812,28925,27097,8896,,0.2%,,
40,"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,30535,-,28925,-%,8896,,,,
41,"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,30535,54875,28925,8896,8896,0.2%,,,
42,"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(20)",128820,54875,128820,8896,128820,,3.6%,,
43,"Senior Secured Term Loan B (5.50% (LIBOR + 4.00% with 1.50% LIBOR floor) plus 5.50% PIK, due 3/31/2018)(4)(6)(20)",144878,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(20)",144878,54875,144878,8896,4.0%,,,,
44,"Senior Secured Term Loan C (13.00% (LIBOR + 9.00% with 4.00% LIBOR floor), due 9/29/2018)(4)(20)",21762,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(20)",21762,54875,21762,8896,0.6%,,,,
45,Class C Shares (535 shares),21762,8712,21762,62899,21762,1.7%,0.6%,,,,
46,Class C Shares (535 shares),21762,8712,21762,304172,21762,358359,0.6%,9.9%,,,
47,"MITY, Inc.(17)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(20)",18250,304172,18250,358359,18250,,0.5%,,
48,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(4)(6)(20)",16442,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(20)",16442,304172,16442,358359,0.5%,,,,
49,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(22)",7200,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(20)",7200,304172,5496,358359,0.2%,,,,
50,"Common Stock (42,053 shares)",7200,6849,7200,12261,5496,0.3%,0.2%,,,,
51,"Common Stock (42,053 shares)",7200,6849,7200,48741,5496,52449,0.2%,1.5%,,,
52,National Property REIT Corp.(40),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",203332,48741,203332,52449,203332,,5.7%,,
53,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(4)(6)(20)",131606,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",131606,48741,131606,52449,3.6%,,,,
54,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(4)(6)(20)",99133,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",99133,48741,99133,52449,2.7%,,,,
55,"Common Stock (643,175 shares)",99133,102020,99133,92124,99133,2.5%,2.7%,,,,
56,Net Operating Income Interest (5% of Net Operating Income),99133,-,99133,21101,99133,0.6%,2.7%,,,,
57,Net Operating Income Interest (5% of Net Operating Income),99133,-,99133,536091,99133,547296,2.7%,15.1%,,,
58,Nationwide Loan Company LLC(36),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(6)(22)",14820,536091,14820,547296,14820,,0.4%,,
59,"Class A Shares (26,974,454.27 shares)(22)",Illinois / Consumer Finance,14794,14820,19018,14820,0.5%,14820,,,,
60,"Class A Shares (26,974,454.27 shares)(22)",Illinois / Consumer Finance,14794,14820,29614,14820,33838,14820,0.9%,,,
61,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,14820,,,,
62,"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",Principal Value,3714,Fair  Value(2),% of Net Assets,3714,,,3714.0,0.1%
63,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2016)",7000,"Senior Secured Note (14.00%, due 5/6/2016)",7000,3714,7000,% of Net Assets,0.2%,,,,
64,"Series A Preferred Stock (7,200 shares)",7000,"Senior Secured Note (14.00%, due 5/6/2016)",7200,3714,2306,% of Net Assets,0.1%,,,,
65,"Series B Preferred Stock (5,669 shares)",7000,5669,7200,-,2306,-%,0.1%,,,,
66,"Series B Preferred Stock (5,669 shares)",7000,5669,7200,23583,2306,13020,0.1%,0.4%,,,
67,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(20)",29237,23583,29237,13020,29237,,0.8%,,
68,"Common Stock (545,107 shares)",Pennsylvania / Manufacturing,5087,29237,2775,29237,0.1%,29237,,,,
69,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1682,29237,1018,29237,-%,29237,,,,
70,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1682,29237,36006,29237,33030,29237,0.9%,,,
71,United Property REIT Corp.(41),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",64506,36006,64506,33030,64506,,1.8%,,
72,"Common Stock (74,449 shares)",Various / Real Estate,13165,64506,14809,64506,0.4%,64506,,,,
73,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,64506,10632,64506,0.3%,64506,,,,
74,Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,64506,77671,64506,89947,64506,2.5%,,,
75,"Valley Electric Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(20)",10406,77671,10406,89947,10406,,0.3%,,
76,"Senior Secured Note (10.00% plus 8.50% PIK, due 12/31/2018)(6)",22767,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(20)",22767,77671,22767,89947,0.6%,,,,
77,"Common Stock (50,000 shares)",22767,26204,22767,4223,22767,0.1%,0.6%,,,,
78,"Common Stock (50,000 shares)",22767,26204,22767,59377,22767,37396,0.6%,1.0%,,,
