0,1,2,3,4,5,6,7,8,9,10,11
American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",0,78077,0,0,78077,0,0,78077.0,2.1%
Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,0,100192,0,118256,78077,3.2%,0,0.0,0
"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,100192,31640,118256,31640,0,0.9%,0.0,0
Class C Units (10 units),20230,127,20230,60876,20230,60364,0.5%,1.6%,0,0.0,0
CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16763,60876,16763,60364,16763,0,0.5%,0.0,0
"Common Stock (14,857 shares)",8844,8553,8844,34160,8844,41352,0.2%,1.1%,0,0.0,0
CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,34160,11035,41352,11035,0,0.3%,0.0,0
"Common Stock (2,924 shares)",15563,15227,15563,116318,5481,91009,0.2%,2.5%,0,0.0,0
"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,116318,36333,91009,36333,0,1.0%,0.0,0
Net Revenues Interest (25% of Net Revenues)(22),Ohio / Consumer Finance,-,36333,47966,36333,55172,36333,1.5%,0,0.0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",40808,47966,40808,55172,40808,0,1.1%,0.0,0
"Class A Shares (11,335,318 shares)",New York / Aerospace & Defense,19907,40808,60715,40808,68941,40808,1.9%,0,0.0,0
"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",4896,60715,4896,68941,4896,0,0.1%,0.0,0
"Class A Common Units (370,964.14 units)",19868,6577,19868,37216,19868,37216,0.5%,1.0%,0,0.0,0
First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(22)",Principal Value,251578,Fair  Value(2),% of Net Assets,251578,0,0,251578.0,6.8%
"Class A Shares (83,729,323 shares)(22)",Mississippi / Consumer Finance,66473,Principal Value,318051,Fair  Value(2),365950,251578,9.9%,0,0.0,0
"Freedom Marine Solutions, LLC(8)",Louisiana / Oil & Gas Services,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,318051,3500,365950,3500,0,0.1%,0.0,0
Membership Interest (100%),16000,7808,16000,39812,13790,27090,0.4%,0.7%,0,0.0,0
Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)",26844,39812,26000,27090,6918,0,0.2%,0.0,0
"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,26844,51950,26000,6918,6918,0.2%,0,0.0,0
"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)",128980,51950,128980,6918,128980,0,3.5%,0.0,0
Class C Shares (535 shares),22876,8725,22876,305459,22876,376936,0.6%,10.2%,0,0.0,0
"MITY, Inc.(17)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)",18250,305459,18250,376936,18250,0,0.5%,0.0,0
"Common Stock (42,053 shares)",7200,6849,7200,48600,5827,50795,0.2%,1.4%,0,0.0,0
National Property REIT Corp.(40),Various,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",202629,48600,202629,50795,202629,0,5.5%,0.0,0
Net Operating Income Interest (5% of Net Operating Income),30582,-,30582,449660,30582,471889,0.8%,12.7%,0,0.0,0
Nationwide Loan Company LLC  (f/k/a Nationwide Acceptance LLC)(36),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(22)",Principal Value,14820,Fair  Value(2),% of Net Assets,14820,0,0,14820.0,0.4%
"Class A Shares (26,974,454.27 shares)(22)",Illinois / Consumer Finance,14795,Principal Value,29615,Fair  Value(2),34550,14820,0.9%,0,0.0,0
"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",3714,29615,3714,34550,3714,0,0.1%,0.0,0
"Series B Preferred Stock (5,669 shares)",7000,5669,7000,23583,7000,12052,0.2%,0.3%,0,0.0,0
"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)",29237,23583,29237,12052,29237,0,0.8%,0.0,0
