,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value,10,11,12,13
0,No value,35,Investments,,,,,,,,,,,
1,No value,36,Non-controlled/non-affiliate company investments,,,,,,,,,,,
2,No value,37,Debt investments,,,,,,,,,,,
3,No value,38,Aerospace and Defense,,,,,,,,,,,
4,No value,39,"ILC Dover, LP  *^#",One stop,L + 9.00(a),8.24 cash/2.00 PIK,,17617.0,17521.0,1.8,17617.0,,,
5,No value,40,"ILC Dover, LP",One stop,L + 9.00(a)(c),8.24 cash/2.00 PIK,,801.0,797.0,0.1,801,,,
6,No value,41,NTS Technical Systems  *^#,One stop,L + 6.25(a),7.49,,21773.0,21486.0,2.3,21773,,,
7,No value,42,NTS Technical Systems  (4),One stop,L + 6.25,N/A  (5),,0.0,,,0,0,,
8,No value,43,NTS Technical Systems  (4),One stop,L + 6.25,N/A  (5),,0.0,,,0,0,,
9,No value,44,"Tresys Technology Holdings, Inc.  (6)",One stop,L + 6.75(c),8.08,,3899.0,3845.0,0.1,1170,,,
10,No value,45,"Tresys Technology Holdings, Inc.  (6)",One stop,L + 6.75(c),8.06,,659.0,658.0,0.1,659,,,
11,No value,46,"Tronair Parent, Inc.  #",Senior loan,L + 4.75(c)(e),6.06,,191.0,189.0,0.0,191,,,
12,No value,47,"Tronair Parent, Inc.",Senior loan,L + 4.50(c),5.81,,32.0,31.0,0.0,31,,,
13,No value,48,Whitcraft LLC  *^#,One stop,L + 6.25(c),7.58,,12564.0,12390.0,1.3,12564,,,
14,No value,49,Whitcraft LLC,One stop,P + 5.25(e),9.50,,17.0,16.0,0.0,17,,,
15,No value,50,Whitcraft LLC  (4),One stop,L + 6.25,N/A  (5),,0.0,,,0,0,,
16,No value,51,Whitcraft LLC  (4),57553.0,56736,5.7,54823.0,,,,,,,
17,No value,52,Automobile,,,,,,,,,,,
18,No value,53,Dent Wizard International Corporation  *,Senior loan,L + 4.75(a),5.98,,4522.0,4499.0,0.5,4522,,,
19,No value,54,OEConnection LLC  *,Senior loan,L + 5.00(c),6.33,,4834.0,4735.0,0.5,4852,,,
20,No value,55,OEConnection LLC  ^,Senior loan,L + 4.75(c),6.08,,2590.0,2565.0,0.3,2573,,,
21,No value,56,OEConnection LLC  (4),Senior loan,L + 5.00,N/A  (5),,0.0,,,0,0,,
22,No value,57,T5 Merger Corporation  *^,One stop,L + 6.25(a),7.49,,4380.0,4312.0,0.4,4380,,,
23,No value,58,T5 Merger Corporation  *,One stop,L + 6.25(a),7.48,,190.0,188.0,0.0,190,,,
24,No value,59,T5 Merger Corporation  *,One stop,L + 6.25(a),7.48,,60.0,59.0,0.0,60,,,
25,No value,60,T5 Merger Corporation,One stop,L + 6.50(a),7.74,,8.0,6.0,0.0,8,,,
26,No value,61,T5 Merger Corporation,16584.0,16363,1.7,16585.0,,,,,,,
27,No value,62,Banking,,,,,,,,,,,
28,No value,63,HedgeServ Holding L.P.  *#,One stop,L + 8.00(c),7.23 cash/2.00 PIK,,17182.0,17147.0,1.8,17182.0,,,
29,No value,64,HedgeServ Holding L.P.  (4),One stop,L + 6.00,N/A  (5),,0.0,,,0,0,,
30,No value,65,HedgeServ Holding L.P.  (4),17182.0,17144,1.8,17182.0,,,,,,,
31,No value,66,"Beverage, Food and Tobacco",,,,,,,,,,,
32,No value,67,"Abita Brewing Co., L.L.C.",One stop,L + 5.75(a),6.99,,7763.0,7655.0,0.8,7530,,,
33,No value,68,"Abita Brewing Co., L.L.C.  (4)",One stop,L + 5.75,N/A  (5),,0.0,,,0,(2,),
34,No value,69,ABP Corporation  *,Senior loan,L + 4.75(c),6.07,,4647.0,4632.0,0.5,4647,,,
35,No value,70,ABP Corporation,Senior loan,P + 3.50(e),7.75,,334.0,332.0,0.0,334,,,
36,No value,71,"Benihana, Inc.  *^",One stop,L + 7.00(a)(c),8.32,,16099.0,15945.0,1.7,15951,,,
37,No value,72,"Benihana, Inc.",One stop,L + 7.00(c)(e),9.16,,1726.0,1711.0,0.2,1706,,,
38,No value,73,"C. J. Foods, Inc.  *^",One stop,L + 6.25(c),7.58,,5205.0,5164.0,0.5,5205,,,
39,No value,74,"C. J. Foods, Inc.",One stop,L + 6.25(c),7.58,,656.0,651.0,0.1,656,,,
40,No value,75,"C. J. Foods, Inc.",One stop,L + 6.25(c),7.56,,129.0,125.0,0.0,129,,,
41,No value,76,"Cafe Rio Holding, Inc.  *^",One stop,L + 5.75(c),7.08,,10475.0,10294.0,1.1,10371,,,
42,No value,77,"Cafe Rio Holding, Inc.  (4)",One stop,L + 5.75,N/A  (5),,0.0,,,0,(1,),
43,No value,78,"Cafe Rio Holding, Inc.  (4)",One stop,L + 5.75,N/A  (5),,0.0,,,0,(3,),
44,No value,79,"Firebirds International, LLC  *",One stop,L + 5.75(c),7.06,,1063.0,1058.0,0.1,1063,,,
45,No value,80,"Firebirds International, LLC  *",One stop,L + 5.75(c),7.06,,299.0,297.0,0.0,299,,,
46,No value,81,"Firebirds International, LLC  ^",One stop,L + 5.75(c),7.06,,96.0,95.0,0.0,96,,,
47,No value,82,"Firebirds International, LLC",One stop,L + 5.75,N/A  (5),,0.0,0.0,0.0,0,,,
48,No value,84,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,
49,No value,85,"Firebirds International, LLC  (4)",One stop,L + 5.75,N/A  (5),,0.0,,,0.0,0.0,,
50,No value,86,FWR Holding Corporation  ^,One stop,L + 6.00(c),7.40,,5312.0,5234.0,0.6,5259,,,
51,No value,87,FWR Holding Corporation,One stop,L + 6.00(a)(c),7.28,,18.0,17.0,0.0,18,,,
52,No value,88,FWR Holding Corporation  (4),One stop,L + 6.00,N/A  (5),,0.0,,,0,(2,),
53,No value,89,"Global Franchise Group, LLC  *",Senior loan,L + 5.75(c),7.07,,3530.0,3496.0,0.4,3495,,,
54,No value,90,"Global Franchise Group, LLC",Senior loan,L + 5.75,N/A  (5),,0.0,0.0,0.0,0,,,
55,No value,91,"Hopdoddy Holdings, LLC",One stop,L + 8.00(a),9.24,,653.0,645.0,0.1,653,,,
56,No value,92,"Hopdoddy Holdings, LLC",One stop,L + 8.00(a),9.24,,266.0,265.0,0.0,266,,,
57,No value,93,"Hopdoddy Holdings, LLC",One stop,L + 8.00,N/A  (5),,0.0,0.0,0.0,0,,,
58,No value,94,Julio & Sons Company,One stop,L + 5.50,N/A  (5),,0.0,0.0,0.0,0,,,
59,No value,95,"Mid-America Pet Food, L.L.C.  ^",One stop,L + 5.50(c),6.83,,5640.0,5568.0,0.6,5640,,,
60,No value,96,"Mid-America Pet Food, L.L.C.  (4)",One stop,L + 5.50,N/A  (5),,0.0,,,0,0,,
61,No value,97,"NBC Intermediate, LLC  #",Senior loan,L + 4.50(a),5.74,,2288.0,2265.0,0.2,2265,,,
62,No value,98,"NBC Intermediate, LLC",Senior loan,L + 4.50,N/A  (5),,0.0,0.0,0.0,0,,,
63,No value,99,"P&P Food Safety US Acquisition, Inc.  *",One stop,L + 6.50(c),7.82,,4126.0,4083.0,0.4,4126,,,
64,No value,100,"P&P Food Safety US Acquisition, Inc.",One stop,P + 5.25(e),9.50,,13.0,13.0,0.0,13,,,
65,No value,101,"Purfoods, LLC",One stop,L + 6.25(c),7.57,,8561.0,8407.0,0.9,8561,,,
66,No value,102,"Purfoods, LLC",One stop,No Value,3.50 cash/7.00 PIK,,109.0,109.0,0.0,112,,,
67,No value,103,"Purfoods, LLC",One stop,L + 6.25(a)(c),7.55,,70.0,69.0,0.0,70,,,
68,No value,104,"Purfoods, LLC",One stop,L + 6.25(c),7.58,,15.0,15.0,0.0,15,,,
69,No value,105,"Purfoods, LLC",One stop,L + 6.25(a),7.49,,15.0,15.0,0.0,15,,,
70,No value,106,"Purfoods, LLC",One stop,L + 6.25(c),7.58,,14.0,14.0,0.0,14,,,
71,No value,107,"Purfoods, LLC",One stop,L + 6.25(c),7.58,,11.0,11.0,0.0,11,,,
72,No value,108,"Purfoods, LLC",One stop,L + 6.25(c),7.58,,10.0,10.0,0.0,10,,,
73,No value,109,"Restaurant Holding Company, LLC  #",Senior loan,L + 7.75(a),8.99,,4469.0,4455.0,0.4,4246,,,
74,No value,110,"Rubio's Restaurants, Inc.  *^",Senior loan,L + 4.75(c),6.07,,8828.0,8807.0,0.9,8828,,,
75,No value,111,Smashburger Finance LLC,Senior loan,L + 5.50(c),6.83,,79.0,79.0,0.0,69,,,
76,No value,112,Smashburger Finance LLC  (4),Senior loan,L + 5.50,N/A  (5),,0.0,,,0,0,,
77,No value,113,Surfside Coffee Company LLC  #c,One stop,L + 5.25(c),6.58,,4436.0,4411.0,0.5,4436,,,
78,No value,114,Surfside Coffee Company LLC,One stop,L + 5.25(c),6.58,,335.0,334.0,0.0,335,,,
